PANTHER GO-Slim Biological Process	background_genes.fst.txt - REFLIST (11890)	(31)	(expected)	(over/under)	(fold Enrichment)	P-value
positive regulation of cysteine-type endopeptidase activity (GO:2001056)	17	0	.04	-	 < 0.01	1.00E00
regulation of innate immune response (GO:0045088)	24	0	.06	-	 < 0.01	1.00E00
innate immune response (GO:0045087)	26	0	.07	-	 < 0.01	1.00E00
negative regulation of proteasomal protein catabolic process (GO:1901799)	5	0	.01	-	 < 0.01	1.00E00
heme biosynthetic process (GO:0006783)	5	0	.01	-	 < 0.01	1.00E00
protein activation cascade (GO:0072376)	5	0	.01	-	 < 0.01	1.00E00
alcohol biosynthetic process (GO:0046165)	31	0	.08	-	 < 0.01	1.00E00
heart development (GO:0007507)	51	0	.13	-	 < 0.01	1.00E00
cellular anatomical entity morphogenesis (GO:0032989)	171	0	.45	-	 < 0.01	1.00E00
protein-containing complex disassembly (GO:0032984)	41	0	.11	-	 < 0.01	1.00E00
regulation of translation (GO:0006417)	46	0	.12	-	 < 0.01	1.00E00
mitochondrial respiratory chain complex I assembly (GO:0032981)	6	0	.02	-	 < 0.01	1.00E00
mesoderm morphogenesis (GO:0048332)	7	0	.02	-	 < 0.01	1.00E00
porphyrin-containing compound metabolic process (GO:0006778)	10	0	.03	-	 < 0.01	1.00E00
translational termination (GO:0006415)	3	0	.01	-	 < 0.01	1.00E00
translational elongation (GO:0006414)	20	0	.05	-	 < 0.01	1.00E00
translational initiation (GO:0006413)	28	0	.07	-	 < 0.01	1.00E00
translation (GO:0006412)	122	0	.32	-	 < 0.01	1.00E00
chromosome organization involved in meiotic cell cycle (GO:0070192)	11	0	.03	-	 < 0.01	1.00E00
regulation of complement activation (GO:0030449)	1	0	.00	-	 < 0.01	1.00E00
organophosphate ester transport (GO:0015748)	46	0	.12	-	 < 0.01	1.00E00
citrate transport (GO:0015746)	4	0	.01	-	 < 0.01	1.00E00
succinate transport (GO:0015744)	3	0	.01	-	 < 0.01	1.00E00
regulation of actin filament-based process (GO:0032970)	82	0	.21	-	 < 0.01	1.00E00
mRNA export from nucleus (GO:0006406)	26	0	.07	-	 < 0.01	1.00E00
C4-dicarboxylate transport (GO:0015740)	12	0	.03	-	 < 0.01	1.00E00
RNA export from nucleus (GO:0006405)	32	0	.08	-	 < 0.01	1.00E00
RNA localization (GO:0006403)	40	0	.10	-	 < 0.01	1.00E00
mRNA catabolic process (GO:0006402)	44	0	.11	-	 < 0.01	1.00E00
RNA catabolic process (GO:0006401)	48	0	.13	-	 < 0.01	1.00E00
circulatory system development (GO:0072359)	90	0	.23	-	 < 0.01	1.00E00
tRNA modification (GO:0006400)	38	0	.10	-	 < 0.01	1.00E00
folic acid-containing compound metabolic process (GO:0006760)	10	0	.03	-	 < 0.01	1.00E00
pigment biosynthetic process (GO:0046148)	10	0	.03	-	 < 0.01	1.00E00
positive regulation of chemotaxis (GO:0050921)	8	0	.02	-	 < 0.01	1.00E00
regulation of chemotaxis (GO:0050920)	8	0	.02	-	 < 0.01	1.00E00
positive regulation of transcription elongation by RNA polymerase II (GO:0032968)	7	0	.02	-	 < 0.01	1.00E00
mitotic spindle assembly (GO:0090307)	13	0	.03	-	 < 0.01	1.00E00
regulated exocytosis (GO:0045055)	30	0	.08	-	 < 0.01	1.00E00
axon extension (GO:0048675)	2	0	.01	-	 < 0.01	1.00E00
microtubule cytoskeleton organization involved in mitosis (GO:1902850)	37	0	.10	-	 < 0.01	1.00E00
nucleoside phosphate metabolic process (GO:0006753)	113	0	.29	-	 < 0.01	1.00E00
regulation of membrane lipid distribution (GO:0097035)	25	0	.07	-	 < 0.01	1.00E00
positive chemotaxis (GO:0050918)	2	0	.01	-	 < 0.01	1.00E00
regulation of transmembrane transporter activity (GO:0022898)	40	0	.10	-	 < 0.01	1.00E00
sensory perception of bitter taste (GO:0050913)	1	0	.00	-	 < 0.01	1.00E00
detection of chemical stimulus involved in sensory perception of taste (GO:0050912)	1	0	.00	-	 < 0.01	1.00E00
chemical synaptic transmission, postsynaptic (GO:0099565)	4	0	.01	-	 < 0.01	1.00E00
siRNA processing (GO:0030422)	1	0	.00	-	 < 0.01	1.00E00
nicotinamide nucleotide metabolic process (GO:0046496)	30	0	.08	-	 < 0.01	1.00E00
sprouting angiogenesis (GO:0002040)	8	0	.02	-	 < 0.01	1.00E00
synaptic membrane adhesion (GO:0099560)	5	0	.01	-	 < 0.01	1.00E00
regulation of actin cytoskeleton organization (GO:0032956)	81	0	.21	-	 < 0.01	1.00E00
protein insertion into ER membrane (GO:0045048)	3	0	.01	-	 < 0.01	1.00E00
protein targeting to ER (GO:0045047)	12	0	.03	-	 < 0.01	1.00E00
cell morphogenesis involved in neuron differentiation (GO:0048667)	125	0	.33	-	 < 0.01	1.00E00
neuron development (GO:0048666)	205	0	.53	-	 < 0.01	1.00E00
glutathione metabolic process (GO:0006749)	14	0	.04	-	 < 0.01	1.00E00
bile acid and bile salt transport (GO:0015721)	5	0	.01	-	 < 0.01	1.00E00
heterochromatin formation (GO:0031507)	20	0	.05	-	 < 0.01	1.00E00
ubiquinone biosynthetic process (GO:0006744)	5	0	.01	-	 < 0.01	1.00E00
sensory perception of taste (GO:0050909)	2	0	.01	-	 < 0.01	1.00E00
detection of chemical stimulus involved in sensory perception (GO:0050907)	2	0	.01	-	 < 0.01	1.00E00
detection of stimulus involved in sensory perception (GO:0050906)	6	0	.02	-	 < 0.01	1.00E00
intrinsic apoptotic signaling pathway by p53 class mediator (GO:0072332)	4	0	.01	-	 < 0.01	1.00E00
signal transduction by p53 class mediator (GO:0072331)	5	0	.01	-	 < 0.01	1.00E00
monocarboxylic acid biosynthetic process (GO:0072330)	27	0	.07	-	 < 0.01	1.00E00
leukocyte migration (GO:0050900)	9	0	.02	-	 < 0.01	1.00E00
monocarboxylic acid transport (GO:0015718)	34	0	.09	-	 < 0.01	1.00E00
protein insertion into mitochondrial inner membrane (GO:0045039)	3	0	.01	-	 < 0.01	1.00E00
regulation of mononuclear cell proliferation (GO:0032944)	5	0	.01	-	 < 0.01	1.00E00
mononuclear cell proliferation (GO:0032943)	1	0	.00	-	 < 0.01	1.00E00
NADP metabolic process (GO:0006739)	4	0	.01	-	 < 0.01	1.00E00
organic anion transport (GO:0015711)	129	0	.34	-	 < 0.01	1.00E00
secretion by cell (GO:0032940)	96	0	.25	-	 < 0.01	1.00E00
monocarboxylic acid catabolic process (GO:0072329)	33	0	.09	-	 < 0.01	1.00E00
regulation of sodium ion transport (GO:0002028)	20	0	.05	-	 < 0.01	1.00E00
glycerophospholipid catabolic process (GO:0046475)	8	0	.02	-	 < 0.01	1.00E00
phosphatidylcholine metabolic process (GO:0046470)	7	0	.02	-	 < 0.01	1.00E00
SREBP signaling pathway (GO:0032933)	6	0	.02	-	 < 0.01	1.00E00
anatomical structure formation involved in morphogenesis (GO:0048646)	83	0	.22	-	 < 0.01	1.00E00
early endosome to late endosome transport (GO:0045022)	4	0	.01	-	 < 0.01	1.00E00
activation of GTPase activity (GO:0090630)	35	0	.09	-	 < 0.01	1.00E00
terpenoid metabolic process (GO:0006721)	9	0	.02	-	 < 0.01	1.00E00
isoprenoid metabolic process (GO:0006720)	17	0	.04	-	 < 0.01	1.00E00
lymphocyte migration (GO:0072676)	3	0	.01	-	 < 0.01	1.00E00
immune system process (GO:0002376)	111	0	.29	-	 < 0.01	1.00E00
monosaccharide metabolic process (GO:0005996)	27	0	.07	-	 < 0.01	1.00E00
regulation of postsynaptic membrane potential (GO:0060078)	11	0	.03	-	 < 0.01	1.00E00
acylglycerol catabolic process (GO:0046464)	9	0	.02	-	 < 0.01	1.00E00
canonical Wnt signaling pathway (GO:0060070)	55	0	.14	-	 < 0.01	1.00E00
cellular response to lipopolysaccharide (GO:0071222)	9	0	.02	-	 < 0.01	1.00E00
neutral lipid catabolic process (GO:0046461)	9	0	.02	-	 < 0.01	1.00E00
activin receptor signaling pathway (GO:0032924)	3	0	.01	-	 < 0.01	1.00E00
positive regulation of developmental process (GO:0051094)	75	0	.20	-	 < 0.01	1.00E00
circadian regulation of gene expression (GO:0032922)	20	0	.05	-	 < 0.01	1.00E00
positive regulation of NF-kappaB transcription factor activity (GO:0051092)	11	0	.03	-	 < 0.01	1.00E00
positive regulation of DNA-binding transcription factor activity (GO:0051091)	17	0	.04	-	 < 0.01	1.00E00
regulation of DNA-binding transcription factor activity (GO:0051090)	25	0	.07	-	 < 0.01	1.00E00
mRNA destabilization (GO:0061157)	26	0	.07	-	 < 0.01	1.00E00
morphogenesis of an epithelium (GO:0002009)	13	0	.03	-	 < 0.01	1.00E00
establishment of protein localization to vacuole (GO:0072666)	24	0	.06	-	 < 0.01	1.00E00
autophagosome maturation (GO:0097352)	7	0	.02	-	 < 0.01	1.00E00
protein localization to vacuole (GO:0072665)	26	0	.07	-	 < 0.01	1.00E00
small molecule biosynthetic process (GO:0044283)	106	0	.28	-	 < 0.01	1.00E00
small molecule catabolic process (GO:0044282)	83	0	.22	-	 < 0.01	1.00E00
leukocyte activation involved in immune response (GO:0002366)	3	0	.01	-	 < 0.01	1.00E00
TORC2 signaling (GO:0038203)	4	0	.01	-	 < 0.01	1.00E00
cellular response to molecule of bacterial origin (GO:0071219)	9	0	.02	-	 < 0.01	1.00E00
TORC1 signaling (GO:0038202)	1	0	.00	-	 < 0.01	1.00E00
icosanoid biosynthetic process (GO:0046456)	7	0	.02	-	 < 0.01	1.00E00
cellular response to biotic stimulus (GO:0071216)	9	0	.02	-	 < 0.01	1.00E00
positive regulation of cell cycle G1/S phase transition (GO:1902808)	8	0	.02	-	 < 0.01	1.00E00
leucine biosynthetic process (GO:0009098)	1	0	.00	-	 < 0.01	1.00E00
regulation of cell cycle G1/S phase transition (GO:1902806)	18	0	.05	-	 < 0.01	1.00E00
chaperone cofactor-dependent protein refolding (GO:0051085)	6	0	.02	-	 < 0.01	1.00E00
response to oxygen levels (GO:0070482)	17	0	.04	-	 < 0.01	1.00E00
nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)	12	0	.03	-	 < 0.01	1.00E00
establishment of protein localization to mitochondrion (GO:0072655)	19	0	.05	-	 < 0.01	1.00E00
sulfur compound catabolic process (GO:0044273)	7	0	.02	-	 < 0.01	1.00E00
glycogen biosynthetic process (GO:0005978)	2	0	.01	-	 < 0.01	1.00E00
vesicle cytoskeletal trafficking (GO:0099518)	16	0	.04	-	 < 0.01	1.00E00
glycogen metabolic process (GO:0005977)	6	0	.02	-	 < 0.01	1.00E00
cellular nitrogen compound biosynthetic process (GO:0044271)	353	0	.92	-	 < 0.01	1.00E00
polysaccharide metabolic process (GO:0005976)	13	0	.03	-	 < 0.01	1.00E00
cellular nitrogen compound catabolic process (GO:0044270)	106	0	.28	-	 < 0.01	1.00E00
carbohydrate metabolic process (GO:0005975)	78	0	.20	-	 < 0.01	1.00E00
tube development (GO:0035295)	40	0	.10	-	 < 0.01	1.00E00
response to organonitrogen compound (GO:0010243)	86	0	.22	-	 < 0.01	1.00E00
lysine biosynthetic process (GO:0009085)	1	0	.00	-	 < 0.01	1.00E00
cellular response to transforming growth factor beta stimulus (GO:0071560)	20	0	.05	-	 < 0.01	1.00E00
branched-chain amino acid biosynthetic process (GO:0009082)	2	0	.01	-	 < 0.01	1.00E00
branched-chain amino acid metabolic process (GO:0009081)	9	0	.02	-	 < 0.01	1.00E00
rRNA base methylation (GO:0070475)	5	0	.01	-	 < 0.01	1.00E00
ncRNA transcription (GO:0098781)	14	0	.04	-	 < 0.01	1.00E00
regulation of proteasomal protein catabolic process (GO:0061136)	30	0	.08	-	 < 0.01	1.00E00
receptor signaling pathway via STAT (GO:0097696)	8	0	.02	-	 < 0.01	1.00E00
cardiac muscle contraction (GO:0060048)	15	0	.04	-	 < 0.01	1.00E00
heart contraction (GO:0060047)	19	0	.05	-	 < 0.01	1.00E00
synaptic vesicle cycle (GO:0099504)	49	0	.13	-	 < 0.01	1.00E00
response to transforming growth factor beta (GO:0071559)	20	0	.05	-	 < 0.01	1.00E00
organophosphate catabolic process (GO:0046434)	44	0	.11	-	 < 0.01	1.00E00
vesicle fusion to plasma membrane (GO:0099500)	6	0	.02	-	 < 0.01	1.00E00
retina development in camera-type eye (GO:0060041)	1	0	.00	-	 < 0.01	1.00E00
multicellular organismal reproductive process (GO:0048609)	29	0	.08	-	 < 0.01	1.00E00
cellular response to amino acid starvation (GO:0034198)	9	0	.02	-	 < 0.01	1.00E00
reproductive structure development (GO:0048608)	2	0	.01	-	 < 0.01	1.00E00
aromatic amino acid family catabolic process (GO:0009074)	9	0	.02	-	 < 0.01	1.00E00
aromatic amino acid metabolic process (GO:0009072)	12	0	.03	-	 < 0.01	1.00E00
inorganic ion homeostasis (GO:0098771)	94	0	.25	-	 < 0.01	1.00E00
MAPK cascade (GO:0000165)	19	0	.05	-	 < 0.01	1.00E00
regulation of immune effector process (GO:0002697)	5	0	.01	-	 < 0.01	1.00E00
positive regulation of leukocyte activation (GO:0002696)	5	0	.01	-	 < 0.01	1.00E00
positive regulation of receptor signaling pathway via JAK-STAT (GO:0046427)	2	0	.01	-	 < 0.01	1.00E00
negative regulation of leukocyte activation (GO:0002695)	6	0	.02	-	 < 0.01	1.00E00
regulation of leukocyte activation (GO:0002694)	11	0	.03	-	 < 0.01	1.00E00
regulation of receptor signaling pathway via JAK-STAT (GO:0046425)	6	0	.02	-	 < 0.01	1.00E00
microtubule polymerization (GO:0046785)	19	0	.05	-	 < 0.01	1.00E00
negative regulation of small GTPase mediated signal transduction (GO:0051058)	10	0	.03	-	 < 0.01	1.00E00
positive regulation of leukocyte chemotaxis (GO:0002690)	8	0	.02	-	 < 0.01	1.00E00
aspartate family amino acid biosynthetic process (GO:0009067)	8	0	.02	-	 < 0.01	1.00E00
ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway (GO:0043162)	11	0	.03	-	 < 0.01	1.00E00
regulation of small GTPase mediated signal transduction (GO:0051056)	42	0	.11	-	 < 0.01	1.00E00
aspartate family amino acid metabolic process (GO:0009066)	12	0	.03	-	 < 0.01	1.00E00
proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161)	103	0	.27	-	 < 0.01	1.00E00
negative regulation of DNA metabolic process (GO:0051053)	13	0	.03	-	 < 0.01	1.00E00
amino acid catabolic process (GO:0009063)	31	0	.08	-	 < 0.01	1.00E00
regulation of DNA metabolic process (GO:0051052)	34	0	.09	-	 < 0.01	1.00E00
fatty acid catabolic process (GO:0009062)	30	0	.08	-	 < 0.01	1.00E00
negative regulation of transport (GO:0051051)	30	0	.08	-	 < 0.01	1.00E00
positive regulation of transport (GO:0051050)	36	0	.09	-	 < 0.01	1.00E00
aerobic respiration (GO:0009060)	28	0	.07	-	 < 0.01	1.00E00
cellular respiration (GO:0045333)	33	0	.09	-	 < 0.01	1.00E00
phospholipid translocation (GO:0045332)	21	0	.05	-	 < 0.01	1.00E00
intraciliary transport (GO:0042073)	18	0	.05	-	 < 0.01	1.00E00
rRNA modification (GO:0000154)	17	0	.04	-	 < 0.01	1.00E00
mitochondrial gene expression (GO:0140053)	25	0	.07	-	 < 0.01	1.00E00
protein O-linked mannosylation (GO:0035269)	5	0	.01	-	 < 0.01	1.00E00
cellular lipid catabolic process (GO:0044242)	61	0	.16	-	 < 0.01	1.00E00
protein mannosylation (GO:0035268)	8	0	.02	-	 < 0.01	1.00E00
positive regulation of leukocyte migration (GO:0002687)	12	0	.03	-	 < 0.01	1.00E00
cytoskeleton-dependent intracellular transport (GO:0030705)	57	0	.15	-	 < 0.01	1.00E00
regulation of leukocyte migration (GO:0002685)	15	0	.04	-	 < 0.01	1.00E00
positive regulation of immune system process (GO:0002684)	68	0	.18	-	 < 0.01	1.00E00
negative regulation of immune system process (GO:0002683)	16	0	.04	-	 < 0.01	1.00E00
regulation of immune system process (GO:0002682)	97	0	.25	-	 < 0.01	1.00E00
regulation of transport (GO:0051049)	160	0	.42	-	 < 0.01	1.00E00
DNA biosynthetic process (GO:0071897)	19	0	.05	-	 < 0.01	1.00E00
positive regulation of secretion (GO:0051047)	7	0	.02	-	 < 0.01	1.00E00
macromolecule catabolic process (GO:0009057)	314	0	.82	-	 < 0.01	1.00E00
regulation of secretion (GO:0051046)	43	0	.11	-	 < 0.01	1.00E00
regulation of monoatomic cation transmembrane transport (GO:1904062)	45	0	.12	-	 < 0.01	1.00E00
detoxification (GO:0098754)	6	0	.02	-	 < 0.01	1.00E00
late endosome to vacuole transport (GO:0045324)	27	0	.07	-	 < 0.01	1.00E00
gliogenesis (GO:0042063)	16	0	.04	-	 < 0.01	1.00E00
leukocyte activation (GO:0045321)	18	0	.05	-	 < 0.01	1.00E00
wound healing (GO:0042060)	18	0	.05	-	 < 0.01	1.00E00
protein localization to lysosome (GO:0061462)	6	0	.02	-	 < 0.01	1.00E00
stress fiber assembly (GO:0043149)	5	0	.01	-	 < 0.01	1.00E00
regulation of double-strand break repair via homologous recombination (GO:0010569)	6	0	.02	-	 < 0.01	1.00E00
regulation of cell cycle process (GO:0010564)	105	0	.27	-	 < 0.01	1.00E00
negative regulation of phosphorus metabolic process (GO:0010563)	37	0	.10	-	 < 0.01	1.00E00
positive regulation of phosphorus metabolic process (GO:0010562)	116	0	.30	-	 < 0.01	1.00E00
intracellular signaling cassette (GO:0141124)	152	0	.40	-	 < 0.01	1.00E00
neuron projection extension (GO:1990138)	5	0	.01	-	 < 0.01	1.00E00
regulation of epidermal growth factor receptor signaling pathway (GO:0042058)	11	0	.03	-	 < 0.01	1.00E00
cell-cell adhesion via plasma-membrane adhesion molecules (GO:0098742)	68	0	.18	-	 < 0.01	1.00E00
detection of chemical stimulus involved in sensory perception of bitter taste (GO:0001580)	1	0	.00	-	 < 0.01	1.00E00
reproductive system development (GO:0061458)	2	0	.01	-	 < 0.01	1.00E00
establishment of mitotic spindle orientation (GO:0000132)	9	0	.02	-	 < 0.01	1.00E00
synaptic transmission, glutamatergic (GO:0035249)	17	0	.04	-	 < 0.01	1.00E00
negative regulation of macromolecule biosynthetic process (GO:0010558)	273	0	.71	-	 < 0.01	1.00E00
mRNA transport (GO:0051028)	28	0	.07	-	 < 0.01	1.00E00
import across plasma membrane (GO:0098739)	66	0	.17	-	 < 0.01	1.00E00
microtubule bundle formation (GO:0001578)	22	0	.06	-	 < 0.01	1.00E00
phosphatidylinositol 3-kinase/protein kinase B signal transduction (GO:0043491)	8	0	.02	-	 < 0.01	1.00E00
phospholipid catabolic process (GO:0009395)	12	0	.03	-	 < 0.01	1.00E00
kinetochore organization (GO:0051383)	8	0	.02	-	 < 0.01	1.00E00
kinetochore assembly (GO:0051382)	6	0	.02	-	 < 0.01	1.00E00
regulation of neuron differentiation (GO:0045664)	9	0	.02	-	 < 0.01	1.00E00
vasculogenesis (GO:0001570)	4	0	.01	-	 < 0.01	1.00E00
exocytic process (GO:0140029)	13	0	.03	-	 < 0.01	1.00E00
negative regulation of transcription by RNA polymerase II (GO:0000122)	112	0	.29	-	 < 0.01	1.00E00
tube morphogenesis (GO:0035239)	38	0	.10	-	 < 0.01	1.00E00
RNA stabilization (GO:0043489)	14	0	.04	-	 < 0.01	1.00E00
regulation of mRNA stability (GO:0043488)	52	0	.14	-	 < 0.01	1.00E00
regulation of RNA stability (GO:0043487)	53	0	.14	-	 < 0.01	1.00E00
establishment of protein localization to extracellular region (GO:0035592)	19	0	.05	-	 < 0.01	1.00E00
negative regulation of canonical NF-kappaB signal transduction (GO:0043124)	5	0	.01	-	 < 0.01	1.00E00
positive regulation of canonical NF-kappaB signal transduction (GO:0043123)	22	0	.06	-	 < 0.01	1.00E00
actin filament bundle assembly (GO:0051017)	21	0	.05	-	 < 0.01	1.00E00
regulation of canonical NF-kappaB signal transduction (GO:0043122)	31	0	.08	-	 < 0.01	1.00E00
regulation of RNA splicing (GO:0043484)	58	0	.15	-	 < 0.01	1.00E00
barbed-end actin filament capping (GO:0051016)	17	0	.04	-	 < 0.01	1.00E00
blood vessel development (GO:0001568)	37	0	.10	-	 < 0.01	1.00E00
toll-like receptor 4 signaling pathway (GO:0034142)	5	0	.01	-	 < 0.01	1.00E00
isoprenoid biosynthetic process (GO:0008299)	11	0	.03	-	 < 0.01	1.00E00
endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000479)	4	0	.01	-	 < 0.01	1.00E00
regulation of membrane potential (GO:0042391)	95	0	.25	-	 < 0.01	1.00E00
mitotic nuclear division (GO:0140014)	41	0	.11	-	 < 0.01	1.00E00
meiotic nuclear division (GO:0140013)	33	0	.09	-	 < 0.01	1.00E00
maturation of LSU-rRNA (GO:0000470)	17	0	.04	-	 < 0.01	1.00E00
snRNA processing (GO:0016180)	19	0	.05	-	 < 0.01	1.00E00
bone development (GO:0060348)	7	0	.02	-	 < 0.01	1.00E00
regulation of protein localization to membrane (GO:1905475)	10	0	.03	-	 < 0.01	1.00E00
receptor clustering (GO:0043113)	8	0	.02	-	 < 0.01	1.00E00
regulation of cellular localization (GO:0060341)	47	0	.12	-	 < 0.01	1.00E00
pigmentation (GO:0043473)	13	0	.03	-	 < 0.01	1.00E00
regulation of cell growth (GO:0001558)	11	0	.03	-	 < 0.01	1.00E00
negative regulation of mitotic sister chromatid segregation (GO:0033048)	9	0	.02	-	 < 0.01	1.00E00
aromatic compound catabolic process (GO:0019439)	112	0	.29	-	 < 0.01	1.00E00
regulation of mitotic sister chromatid segregation (GO:0033047)	10	0	.03	-	 < 0.01	1.00E00
insulin receptor signaling pathway (GO:0008286)	7	0	.02	-	 < 0.01	1.00E00
aromatic compound biosynthetic process (GO:0019438)	192	0	.50	-	 < 0.01	1.00E00
negative regulation of sister chromatid segregation (GO:0033046)	9	0	.02	-	 < 0.01	1.00E00
maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000466)	7	0	.02	-	 < 0.01	1.00E00
negative regulation of cell population proliferation (GO:0008285)	14	0	.04	-	 < 0.01	1.00E00
regulation of sister chromatid segregation (GO:0033045)	19	0	.05	-	 < 0.01	1.00E00
positive regulation of cell population proliferation (GO:0008284)	62	0	.16	-	 < 0.01	1.00E00
regulation of chromosome organization (GO:0033044)	30	0	.08	-	 < 0.01	1.00E00
cell population proliferation (GO:0008283)	7	0	.02	-	 < 0.01	1.00E00
regulation of organelle organization (GO:0033043)	191	0	.50	-	 < 0.01	1.00E00
maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000463)	11	0	.03	-	 < 0.01	1.00E00
maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000462)	17	0	.04	-	 < 0.01	1.00E00
triglyceride catabolic process (GO:0019433)	3	0	.01	-	 < 0.01	1.00E00
triglyceride biosynthetic process (GO:0019432)	10	0	.03	-	 < 0.01	1.00E00
maturation of 5.8S rRNA (GO:0000460)	15	0	.04	-	 < 0.01	1.00E00
secondary metabolite biosynthetic process (GO:0044550)	4	0	.01	-	 < 0.01	1.00E00
type I interferon-mediated signaling pathway (GO:0060337)	2	0	.01	-	 < 0.01	1.00E00
negative regulation of adenylate cyclase activity (GO:0007194)	2	0	.01	-	 < 0.01	1.00E00
protein palmitoylation (GO:0018345)	20	0	.05	-	 < 0.01	1.00E00
positive regulation of myeloid cell differentiation (GO:0045639)	4	0	.01	-	 < 0.01	1.00E00
regulation of myeloid cell differentiation (GO:0045637)	6	0	.02	-	 < 0.01	1.00E00
negative regulation of lyase activity (GO:0051350)	2	0	.01	-	 < 0.01	1.00E00
regulation of G protein-coupled receptor signaling pathway (GO:0008277)	17	0	.04	-	 < 0.01	1.00E00
export from cell (GO:0140352)	109	0	.28	-	 < 0.01	1.00E00
non-canonical Wnt signaling pathway (GO:0035567)	26	0	.07	-	 < 0.01	1.00E00
cell chemotaxis (GO:0060326)	16	0	.04	-	 < 0.01	1.00E00
regulation of phospholipase activity (GO:0010517)	1	0	.00	-	 < 0.01	1.00E00
lipid localization (GO:0010876)	83	0	.22	-	 < 0.01	1.00E00
positive regulation of lyase activity (GO:0051349)	9	0	.02	-	 < 0.01	1.00E00
head development (GO:0060322)	44	0	.11	-	 < 0.01	1.00E00
cilium or flagellum-dependent cell motility (GO:0001539)	14	0	.04	-	 < 0.01	1.00E00
positive regulation of transferase activity (GO:0051347)	72	0	.19	-	 < 0.01	1.00E00
tricarboxylic acid cycle (GO:0006099)	16	0	.04	-	 < 0.01	1.00E00
negative regulation of hydrolase activity (GO:0051346)	25	0	.07	-	 < 0.01	1.00E00
positive regulation of hydrolase activity (GO:0051345)	68	0	.18	-	 < 0.01	1.00E00
glycolytic process (GO:0006096)	16	0	.04	-	 < 0.01	1.00E00
retina homeostasis (GO:0001895)	2	0	.01	-	 < 0.01	1.00E00
tissue homeostasis (GO:0001894)	4	0	.01	-	 < 0.01	1.00E00
snRNA 3'-end processing (GO:0034472)	17	0	.04	-	 < 0.01	1.00E00
amino acid import across plasma membrane (GO:0089718)	9	0	.02	-	 < 0.01	1.00E00
generation of precursor metabolites and energy (GO:0006091)	64	0	.17	-	 < 0.01	1.00E00
ncRNA processing (GO:0034470)	170	0	.44	-	 < 0.01	1.00E00
endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000447)	2	0	.01	-	 < 0.01	1.00E00
transforming growth factor beta receptor signaling pathway (GO:0007179)	20	0	.05	-	 < 0.01	1.00E00
transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0007178)	31	0	.08	-	 < 0.01	1.00E00
positive regulation of autophagy (GO:0010508)	16	0	.04	-	 < 0.01	1.00E00
negative regulation of autophagy (GO:0010507)	9	0	.02	-	 < 0.01	1.00E00
epidermal growth factor receptor signaling pathway (GO:0007173)	14	0	.04	-	 < 0.01	1.00E00
regulation of autophagy (GO:0010506)	35	0	.09	-	 < 0.01	1.00E00
protein-RNA complex organization (GO:0071826)	71	0	.19	-	 < 0.01	1.00E00
regulation of lyase activity (GO:0051339)	12	0	.03	-	 < 0.01	1.00E00
homotypic cell-cell adhesion (GO:0034109)	7	0	.02	-	 < 0.01	1.00E00
regulation of transferase activity (GO:0051338)	126	0	.33	-	 < 0.01	1.00E00
protein-DNA complex organization (GO:0071824)	118	0	.31	-	 < 0.01	1.00E00
heterocycle catabolic process (GO:0046700)	106	0	.28	-	 < 0.01	1.00E00
regulation of hydrolase activity (GO:0051336)	118	0	.31	-	 < 0.01	1.00E00
liver development (GO:0001889)	2	0	.01	-	 < 0.01	1.00E00
angiogenesis (GO:0001525)	32	0	.08	-	 < 0.01	1.00E00
regulation of tissue remodeling (GO:0034103)	3	0	.01	-	 < 0.01	1.00E00
retinoid metabolic process (GO:0001523)	5	0	.01	-	 < 0.01	1.00E00
regulation of autophagosome maturation (GO:1901096)	5	0	.01	-	 < 0.01	1.00E00
pseudouridine synthesis (GO:0001522)	11	0	.03	-	 < 0.01	1.00E00
tetrapyrrole metabolic process (GO:0033013)	12	0	.03	-	 < 0.01	1.00E00
non-membrane-bounded organelle assembly (GO:0140694)	99	0	.26	-	 < 0.01	1.00E00
transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169)	169	0	.44	-	 < 0.01	1.00E00
enzyme-linked receptor protein signaling pathway (GO:0007167)	206	0	.54	-	 < 0.01	1.00E00
cell surface receptor signaling pathway (GO:0007166)	439	0	1.14	-	 < 0.01	6.29E-01
establishment or maintenance of cell polarity (GO:0007163)	50	0	.13	-	 < 0.01	1.00E00
negative regulation of cell adhesion (GO:0007162)	10	0	.03	-	 < 0.01	1.00E00
