PANTHER GO-Slim Biological Process	background_genes.fst.txt - REFLIST (11890)	(433)	(expected)	(over/under)	(fold Enrichment)	P-value
response to organonitrogen compound (GO:0010243)	86	3	3.13	-	.96	1.00E00
cellular response to oxygen-containing compound (GO:1901701)	86	3	3.13	-	.96	1.00E00
negative regulation of response to stimulus (GO:0048585)	172	6	6.26	-	.96	1.00E00
monoatomic ion transmembrane transport (GO:0034220)	258	9	9.40	-	.96	1.00E00
biological regulation (GO:0065007)	3708	129	135.03	-	.96	5.61E-01
regulation of nucleobase-containing compound metabolic process (GO:0019219)	1269	44	46.21	-	.95	8.12E-01
biological_process (GO:0008150)	7709	267	280.74	-	.95	1.66E-01
negative regulation of metabolic process (GO:0009892)	376	13	13.69	-	.95	1.00E00
positive regulation of RNA metabolic process (GO:0051254)	261	9	9.50	-	.95	1.00E00
calcium ion transmembrane transport (GO:0070588)	58	2	2.11	-	.95	1.00E00
nucleotide biosynthetic process (GO:0009165)	58	2	2.11	-	.95	1.00E00
protein polymerization (GO:0051258)	29	1	1.06	-	.95	1.00E00
cytoskeleton-dependent cytokinesis (GO:0061640)	29	1	1.06	-	.95	1.00E00
positive regulation of cellular process (GO:0048522)	813	28	29.61	-	.95	8.46E-01
regulation of response to stimulus (GO:0048583)	523	18	19.05	-	.95	9.05E-01
regulation of localization (GO:0032879)	204	7	7.43	-	.94	1.00E00
plasma membrane bounded cell projection organization (GO:0120036)	321	11	11.69	-	.94	1.00E00
localization within membrane (GO:0051668)	147	5	5.35	-	.93	1.00E00
inorganic cation transmembrane transport (GO:0098662)	206	7	7.50	-	.93	1.00E00
monoatomic cation transmembrane transport (GO:0098655)	206	7	7.50	-	.93	1.00E00
protein metabolic process (GO:0019538)	1267	43	46.14	-	.93	6.91E-01
regulation of vesicle-mediated transport (GO:0060627)	59	2	2.15	-	.93	1.00E00
regulation of monoatomic ion transmembrane transport (GO:0034765)	59	2	2.15	-	.93	1.00E00
nucleoside phosphate biosynthetic process (GO:1901293)	59	2	2.15	-	.93	1.00E00
plasma membrane bounded cell projection assembly (GO:0120031)	118	4	4.30	-	.93	1.00E00
response to endoplasmic reticulum stress (GO:0034976)	59	2	2.15	-	.93	1.00E00
nitrogen compound metabolic process (GO:0006807)	2243	76	81.68	-	.93	5.31E-01
cell communication (GO:0007154)	1270	43	46.25	-	.93	6.92E-01
cellular process (GO:0009987)	5614	190	204.45	-	.93	1.70E-01
regulation of cellular process (GO:0050794)	3314	112	120.69	-	.93	3.54E-01
signaling (GO:0023052)	1244	42	45.30	-	.93	6.89E-01
organic cyclic compound metabolic process (GO:1901360)	919	31	33.47	-	.93	7.14E-01
positive regulation of metabolic process (GO:0009893)	504	17	18.35	-	.93	9.03E-01
cellular component assembly (GO:0022607)	534	18	19.45	-	.93	8.14E-01
small molecule metabolic process (GO:0044281)	386	13	14.06	-	.92	8.90E-01
intracellular signal transduction (GO:0035556)	327	11	11.91	-	.92	1.00E00
cell projection organization (GO:0030030)	327	11	11.91	-	.92	1.00E00
post-translational protein modification (GO:0043687)	268	9	9.76	-	.92	1.00E00
organonitrogen compound metabolic process (GO:1901564)	1584	53	57.68	-	.92	5.64E-01
regulation of proteasomal protein catabolic process (GO:0061136)	30	1	1.09	-	.92	1.00E00
fatty acid catabolic process (GO:0009062)	30	1	1.09	-	.92	1.00E00
negative regulation of transport (GO:0051051)	30	1	1.09	-	.92	1.00E00
phospholipid transport (GO:0015914)	30	1	1.09	-	.92	1.00E00
muscle tissue development (GO:0060537)	30	1	1.09	-	.92	1.00E00
cytokinesis (GO:0000910)	30	1	1.09	-	.92	1.00E00
negative regulation of signal transduction (GO:0009968)	151	5	5.50	-	.91	1.00E00
regulation of multicellular organismal development (GO:2000026)	91	3	3.31	-	.91	1.00E00
neurogenesis (GO:0022008)	304	10	11.07	-	.90	8.77E-01
translation (GO:0006412)	122	4	4.44	-	.90	1.00E00
regulation of developmental process (GO:0050793)	183	6	6.66	-	.90	1.00E00
lipid modification (GO:0030258)	61	2	2.22	-	.90	1.00E00
primary metabolic process (GO:0044238)	2451	80	89.26	-	.90	2.76E-01
protein folding (GO:0006457)	92	3	3.35	-	.90	1.00E00
mRNA splicing, via spliceosome (GO:0000398)	92	3	3.35	-	.90	1.00E00
RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)	92	3	3.35	-	.90	1.00E00
RNA splicing, via transesterification reactions (GO:0000375)	92	3	3.35	-	.90	1.00E00
protein-containing complex assembly (GO:0065003)	184	6	6.70	-	.90	1.00E00
organic substance transport (GO:0071702)	461	15	16.79	-	.89	7.99E-01
negative regulation of nucleobase-containing compound metabolic process (GO:0045934)	185	6	6.74	-	.89	1.00E00
metabolic process (GO:0008152)	2693	87	98.07	-	.89	2.19E-01
positive regulation of biological process (GO:0048518)	899	29	32.74	-	.89	5.78E-01
double-strand break repair (GO:0006302)	93	3	3.39	-	.89	1.00E00
monoatomic ion transport (GO:0006811)	310	10	11.29	-	.89	8.77E-01
regulation of proteolysis involved in protein catabolic process (GO:1903050)	31	1	1.13	-	.89	1.00E00
eye development (GO:0001654)	31	1	1.13	-	.89	1.00E00
neuropeptide signaling pathway (GO:0007218)	31	1	1.13	-	.89	1.00E00
alcohol biosynthetic process (GO:0046165)	31	1	1.13	-	.89	1.00E00
visual system development (GO:0150063)	31	1	1.13	-	.89	1.00E00
sensory system development (GO:0048880)	31	1	1.13	-	.89	1.00E00
response to starvation (GO:0042594)	31	1	1.13	-	.89	1.00E00
multicellular organismal process (GO:0032501)	840	27	30.59	-	.88	5.66E-01
macromolecule metabolic process (GO:0043170)	1962	63	71.45	-	.88	2.91E-01
protein transport (GO:0015031)	218	7	7.94	-	.88	1.00E00
positive regulation of macromolecule metabolic process (GO:0010604)	437	14	15.91	-	.88	6.98E-01
peptide biosynthetic process (GO:0043043)	125	4	4.55	-	.88	1.00E00
positive regulation of nucleobase-containing compound metabolic process (GO:0045935)	282	9	10.27	-	.88	8.72E-01
nitrogen compound transport (GO:0071705)	345	11	12.56	-	.88	7.71E-01
negative regulation of cell communication (GO:0010648)	157	5	5.72	-	.87	1.00E00
negative regulation of signaling (GO:0023057)	157	5	5.72	-	.87	1.00E00
organic substance metabolic process (GO:0071704)	2575	82	93.77	-	.87	1.72E-01
vacuole organization (GO:0007033)	63	2	2.29	-	.87	1.00E00
cellular metabolic process (GO:0044237)	2079	66	75.71	-	.87	2.21E-01
cellular response to stimulus (GO:0051716)	1418	45	51.64	-	.87	3.64E-01
cellular component biogenesis (GO:0044085)	631	20	22.98	-	.87	5.85E-01
negative regulation of cellular metabolic process (GO:0031324)	348	11	12.67	-	.87	7.71E-01
positive regulation of transcription by RNA polymerase II (GO:0045944)	190	6	6.92	-	.87	1.00E00
monoatomic cation transport (GO:0006812)	254	8	9.25	-	.86	8.65E-01
intracellular transport (GO:0046907)	413	13	15.04	-	.86	6.89E-01
response to stress (GO:0006950)	446	14	16.24	-	.86	6.98E-01
organelle organization (GO:0006996)	957	30	34.85	-	.86	4.19E-01
negative regulation of supramolecular fiber organization (GO:1902904)	32	1	1.17	-	.86	1.00E00
mitotic cell cycle process (GO:1903047)	128	4	4.66	-	.86	1.00E00
RNA export from nucleus (GO:0006405)	32	1	1.17	-	.86	1.00E00
generation of precursor metabolites and energy (GO:0006091)	64	2	2.33	-	.86	1.00E00
cell projection assembly (GO:0030031)	128	4	4.66	-	.86	1.00E00
protein-DNA complex assembly (GO:0065004)	32	1	1.17	-	.86	1.00E00
mitotic cell cycle (GO:0000278)	161	5	5.86	-	.85	1.00E00
small GTPase-mediated signal transduction (GO:0007264)	65	2	2.37	-	.84	1.00E00
animal organ development (GO:0048513)	293	9	10.67	-	.84	7.52E-01
DNA repair (GO:0006281)	163	5	5.94	-	.84	1.00E00
carboxylic acid transport (GO:0046942)	98	3	3.57	-	.84	1.00E00
organic acid transport (GO:0015849)	98	3	3.57	-	.84	1.00E00
cellular biosynthetic process (GO:0044249)	1144	35	41.66	-	.84	3.19E-01
regulation of transcription by RNA polymerase II (GO:0006357)	953	29	34.71	-	.84	3.66E-01
negative regulation of cytoskeleton organization (GO:0051494)	33	1	1.20	-	.83	1.00E00
monocarboxylic acid catabolic process (GO:0072329)	33	1	1.20	-	.83	1.00E00
cellular respiration (GO:0045333)	33	1	1.20	-	.83	1.00E00
action potential (GO:0001508)	33	1	1.20	-	.83	1.00E00
DNA-templated transcription initiation (GO:0006352)	33	1	1.20	-	.83	1.00E00
regulation of defense response (GO:0031347)	33	1	1.20	-	.83	1.00E00
defense response to other organism (GO:0098542)	33	1	1.20	-	.83	1.00E00
macromolecule modification (GO:0043412)	830	25	30.23	-	.83	3.86E-01
intracellular protein transport (GO:0006886)	166	5	6.05	-	.83	8.35E-01
positive regulation of response to stimulus (GO:0048584)	234	7	8.52	-	.82	7.25E-01
organic substance biosynthetic process (GO:1901576)	1172	35	42.68	-	.82	2.50E-01
positive regulation of protein phosphorylation (GO:0001934)	67	2	2.44	-	.82	1.00E00
positive regulation of protein metabolic process (GO:0051247)	134	4	4.88	-	.82	1.00E00
biosynthetic process (GO:0009058)	1175	35	42.79	-	.82	2.19E-01
response to organic substance (GO:0010033)	235	7	8.56	-	.82	7.25E-01
nervous system development (GO:0007399)	403	12	14.68	-	.82	5.87E-01
axon guidance (GO:0007411)	101	3	3.68	-	.82	1.00E00
neuron projection guidance (GO:0097485)	101	3	3.68	-	.82	1.00E00
response to stimulus (GO:0050896)	1550	46	56.45	-	.81	1.45E-01
metal ion transport (GO:0030001)	237	7	8.63	-	.81	7.26E-01
protein modification process (GO:0036211)	745	22	27.13	-	.81	3.62E-01
lipid biosynthetic process (GO:0008610)	170	5	6.19	-	.81	8.36E-01
positive regulation of MAPK cascade (GO:0043410)	68	2	2.48	-	.81	1.00E00
establishment of vesicle localization (GO:0051650)	34	1	1.24	-	.81	1.00E00
post-Golgi vesicle-mediated transport (GO:0006892)	34	1	1.24	-	.81	1.00E00
negative regulation of macromolecule biosynthetic process (GO:0010558)	273	8	9.94	-	.80	6.26E-01
inorganic ion transmembrane transport (GO:0098660)	239	7	8.70	-	.80	7.26E-01
enzyme-linked receptor protein signaling pathway (GO:0007167)	206	6	7.50	-	.80	7.09E-01
negative regulation of biosynthetic process (GO:0009890)	275	8	10.01	-	.80	6.26E-01
negative regulation of cellular biosynthetic process (GO:0031327)	275	8	10.01	-	.80	6.26E-01
response to chemical (GO:0042221)	310	9	11.29	-	.80	6.43E-01
nucleic acid metabolic process (GO:0090304)	689	20	25.09	-	.80	3.45E-01
regulation of response to stress (GO:0080134)	69	2	2.51	-	.80	1.00E00
positive regulation of nitrogen compound metabolic process (GO:0051173)	416	12	15.15	-	.79	5.04E-01
post-transcriptional regulation of gene expression (GO:0010608)	104	3	3.79	-	.79	1.00E00
response to external stimulus (GO:0009605)	139	4	5.06	-	.79	8.20E-01
regulation of cell cycle process (GO:0010564)	105	3	3.82	-	.78	1.00E00
embryo development (GO:0009790)	70	2	2.55	-	.78	1.00E00
taxis (GO:0042330)	35	1	1.27	-	.78	1.00E00
vesicle localization (GO:0051648)	35	1	1.27	-	.78	1.00E00
chemotaxis (GO:0006935)	35	1	1.27	-	.78	1.00E00
locomotion (GO:0040011)	35	1	1.27	-	.78	1.00E00
signal transduction (GO:0007165)	1121	32	40.82	-	.78	1.54E-01
negative regulation of biological process (GO:0048519)	741	21	26.99	-	.78	2.65E-01
small molecule biosynthetic process (GO:0044283)	106	3	3.86	-	.78	1.00E00
protein-RNA complex organization (GO:0071826)	71	2	2.59	-	.77	1.00E00
calcium ion transport (GO:0006816)	71	2	2.59	-	.77	1.00E00
regulation of protein-containing complex disassembly (GO:0043244)	36	1	1.31	-	.76	1.00E00
positive regulation of transport (GO:0051050)	36	1	1.31	-	.76	1.00E00
positive regulation of protein modification process (GO:0031401)	72	2	2.62	-	.76	1.00E00
blood vessel morphogenesis (GO:0048514)	36	1	1.31	-	.76	1.00E00
negative regulation of catabolic process (GO:0009895)	36	1	1.31	-	.76	1.00E00
neuron projection morphogenesis (GO:0048812)	145	4	5.28	-	.76	8.22E-01
response to oxygen-containing compound (GO:1901700)	109	3	3.97	-	.76	8.00E-01
cilium assembly (GO:0060271)	109	3	3.97	-	.76	8.00E-01
gene expression (GO:0010467)	691	19	25.16	-	.76	2.48E-01
system development (GO:0048731)	546	15	19.88	-	.75	2.93E-01
protein polyubiquitination (GO:0000209)	73	2	2.66	-	.75	1.00E00
cell projection morphogenesis (GO:0048858)	146	4	5.32	-	.75	8.22E-01
plasma membrane bounded cell projection morphogenesis (GO:0120039)	146	4	5.32	-	.75	8.22E-01
macromolecule biosynthetic process (GO:0009059)	879	24	32.01	-	.75	1.60E-01
peptidyl-serine phosphorylation (GO:0018105)	74	2	2.69	-	.74	1.00E00
blood vessel development (GO:0001568)	37	1	1.35	-	.74	1.00E00
cell division (GO:0051301)	37	1	1.35	-	.74	1.00E00
regulation of protein localization (GO:0032880)	37	1	1.35	-	.74	1.00E00
mitotic sister chromatid segregation (GO:0000070)	37	1	1.35	-	.74	1.00E00
peptidyl-serine modification (GO:0018209)	74	2	2.69	-	.74	1.00E00
sexual reproduction (GO:0019953)	74	2	2.69	-	.74	1.00E00
cellular response to chemical stimulus (GO:0070887)	222	6	8.08	-	.74	5.87E-01
organelle assembly (GO:0070925)	260	7	9.47	-	.74	5.04E-01
cytoskeleton organization (GO:0007010)	412	11	15.00	-	.73	3.48E-01
cell development (GO:0048468)	300	8	10.93	-	.73	4.36E-01
organonitrogen compound biosynthetic process (GO:1901566)	453	12	16.50	-	.73	3.05E-01
vasculature development (GO:0001944)	38	1	1.38	-	.72	1.00E00
intracellular signaling cassette (GO:0141124)	152	4	5.54	-	.72	6.64E-01
tube morphogenesis (GO:0035239)	38	1	1.38	-	.72	1.00E00
regulation of organelle organization (GO:0033043)	191	5	6.96	-	.72	5.61E-01
DNA recombination (GO:0006310)	77	2	2.80	-	.71	1.00E00
reproductive process (GO:0022414)	77	2	2.80	-	.71	1.00E00
reproduction (GO:0000003)	77	2	2.80	-	.71	1.00E00
amide biosynthetic process (GO:0043604)	154	4	5.61	-	.71	6.64E-01
intracellular chemical homeostasis (GO:0055082)	117	3	4.26	-	.70	8.02E-01
nuclear transport (GO:0051169)	78	2	2.84	-	.70	1.00E00
blood circulation (GO:0008015)	39	1	1.42	-	.70	1.00E00
RNA methylation (GO:0001510)	39	1	1.42	-	.70	1.00E00
energy derivation by oxidation of organic compounds (GO:0015980)	39	1	1.42	-	.70	1.00E00
nucleocytoplasmic transport (GO:0006913)	78	2	2.84	-	.70	1.00E00
carboxylic acid metabolic process (GO:0019752)	196	5	7.14	-	.70	5.62E-01
organic acid metabolic process (GO:0006082)	198	5	7.21	-	.69	5.63E-01
oxoacid metabolic process (GO:0043436)	198	5	7.21	-	.69	5.63E-01
Golgi vesicle transport (GO:0048193)	119	3	4.33	-	.69	8.03E-01
cellular response to organic substance (GO:0071310)	159	4	5.79	-	.69	6.67E-01
cell surface receptor signaling pathway (GO:0007166)	439	11	15.99	-	.69	2.41E-01
regulation of neuron projection development (GO:0010975)	40	1	1.46	-	.69	1.00E00
regulation of cell adhesion (GO:0030155)	40	1	1.46	-	.69	1.00E00
axonogenesis (GO:0007409)	120	3	4.37	-	.69	8.04E-01
positive regulation of proteolysis (GO:0045862)	40	1	1.46	-	.69	1.00E00
spindle organization (GO:0007051)	40	1	1.46	-	.69	1.00E00
Golgi organization (GO:0007030)	40	1	1.46	-	.69	1.00E00
lipid transport (GO:0006869)	80	2	2.91	-	.69	1.00E00
mRNA metabolic process (GO:0016071)	163	4	5.94	-	.67	5.30E-01
negative regulation of cellular process (GO:0048523)	693	17	25.24	-	.67	9.38E-02
sister chromatid segregation (GO:0000819)	41	1	1.49	-	.67	1.00E00
mitotic nuclear division (GO:0140014)	41	1	1.49	-	.67	1.00E00
chromosome segregation (GO:0007059)	82	2	2.99	-	.67	7.71E-01
regulation of canonical Wnt signaling pathway (GO:0060828)	41	1	1.49	-	.67	1.00E00
sensory perception (GO:0007600)	41	1	1.49	-	.67	1.00E00
cilium organization (GO:0044782)	124	3	4.52	-	.66	6.31E-01
lipid localization (GO:0010876)	83	2	3.02	-	.66	7.71E-01
cell morphogenesis involved in neuron differentiation (GO:0048667)	125	3	4.55	-	.66	6.32E-01
RNA metabolic process (GO:0016070)	459	11	16.72	-	.66	1.62E-01
protein maturation (GO:0051604)	167	4	6.08	-	.66	5.31E-01
peptide metabolic process (GO:0006518)	167	4	6.08	-	.66	5.31E-01
regulation of actin filament polymerization (GO:0030833)	42	1	1.53	-	.65	1.00E00
cellular lipid metabolic process (GO:0044255)	294	7	10.71	-	.65	3.41E-01
circulatory system process (GO:0003013)	42	1	1.53	-	.65	1.00E00
organic hydroxy compound biosynthetic process (GO:1901617)	42	1	1.53	-	.65	1.00E00
amino acid transmembrane transport (GO:0003333)	42	1	1.53	-	.65	1.00E00
establishment of organelle localization (GO:0051656)	85	2	3.10	-	.65	7.71E-01
tRNA metabolic process (GO:0006399)	85	2	3.10	-	.65	7.71E-01
cellular anatomical entity morphogenesis (GO:0032989)	171	4	6.23	-	.64	5.34E-01
RNA processing (GO:0006396)	300	7	10.93	-	.64	2.74E-01
regulation of protein catabolic process (GO:0042176)	43	1	1.57	-	.64	1.00E00
regulation of actin polymerization or depolymerization (GO:0008064)	43	1	1.57	-	.64	1.00E00
response to external biotic stimulus (GO:0043207)	43	1	1.57	-	.64	1.00E00
response to other organism (GO:0051707)	43	1	1.57	-	.64	1.00E00
organic anion transport (GO:0015711)	129	3	4.70	-	.64	6.33E-01
cell differentiation (GO:0030154)	603	14	21.96	-	.64	9.27E-02
cellular developmental process (GO:0048869)	603	14	21.96	-	.64	9.27E-02
carbohydrate derivative metabolic process (GO:1901135)	307	7	11.18	-	.63	2.77E-01
head development (GO:0060322)	44	1	1.60	-	.62	1.00E00
regulation of cellular response to growth factor stimulus (GO:0090287)	44	1	1.60	-	.62	1.00E00
response to biotic stimulus (GO:0009607)	44	1	1.60	-	.62	1.00E00
brain development (GO:0007420)	44	1	1.60	-	.62	1.00E00
ribosomal small subunit biogenesis (GO:0042274)	44	1	1.60	-	.62	1.00E00
biological process involved in interspecies interaction between organisms (GO:0044419)	44	1	1.60	-	.62	1.00E00
regulation of multicellular organismal process (GO:0051239)	177	4	6.45	-	.62	4.20E-01
regulation of actin filament length (GO:0030832)	45	1	1.64	-	.61	1.00E00
circulatory system development (GO:0072359)	90	2	3.28	-	.61	7.74E-01
cellular response to cytokine stimulus (GO:0071345)	45	1	1.64	-	.61	1.00E00
regulation of cell migration (GO:0030334)	91	2	3.31	-	.60	7.75E-01
axon development (GO:0061564)	137	3	4.99	-	.60	4.92E-01
organelle disassembly (GO:1903008)	46	1	1.68	-	.60	1.00E00
purine nucleotide biosynthetic process (GO:0006164)	46	1	1.68	-	.60	1.00E00
organophosphate ester transport (GO:0015748)	46	1	1.68	-	.60	1.00E00
sensory organ development (GO:0007423)	46	1	1.68	-	.60	1.00E00
cellular response to organonitrogen compound (GO:0071417)	46	1	1.68	-	.60	1.00E00
tissue development (GO:0009888)	138	3	5.03	-	.60	4.93E-01
sodium ion transmembrane transport (GO:0035725)	46	1	1.68	-	.60	1.00E00
regulation of cellular localization (GO:0060341)	47	1	1.71	-	.58	1.00E00
regulation of cell motility (GO:2000145)	94	2	3.42	-	.58	5.87E-01
regulation of locomotion (GO:0040012)	94	2	3.42	-	.58	5.87E-01
peptidyl-amino acid modification (GO:0018193)	189	4	6.88	-	.58	3.29E-01
lipid metabolic process (GO:0006629)	333	7	12.13	-	.58	1.39E-01
regulation of cellular component organization (GO:0051128)	287	6	10.45	-	.57	1.99E-01
regulation of protein polymerization (GO:0032271)	48	1	1.75	-	.57	1.00E00
regulation of response to external stimulus (GO:0032101)	48	1	1.75	-	.57	1.00E00
regulation of immune system process (GO:0002682)	97	2	3.53	-	.57	5.87E-01
non-membrane-bounded organelle assembly (GO:0140694)	99	2	3.61	-	.55	5.88E-01
amino acid metabolic process (GO:0006520)	100	2	3.64	-	.55	5.89E-01
supramolecular fiber organization (GO:0097435)	204	4	7.43	-	.54	2.56E-01
heart development (GO:0007507)	51	1	1.86	-	.54	1.00E00
sodium ion transport (GO:0006814)	51	1	1.86	-	.54	1.00E00
carbohydrate derivative biosynthetic process (GO:1901137)	205	4	7.47	-	.54	2.57E-01
vesicle-mediated transport to the plasma membrane (GO:0098876)	52	1	1.89	-	.53	1.00E00
negative regulation of organelle organization (GO:0010639)	52	1	1.89	-	.53	1.00E00
regulation of mRNA stability (GO:0043488)	52	1	1.89	-	.53	1.00E00
response to cytokine (GO:0034097)	52	1	1.89	-	.53	1.00E00
mitochondrion organization (GO:0007005)	104	2	3.79	-	.53	5.93E-01
ncRNA metabolic process (GO:0034660)	211	4	7.68	-	.52	2.61E-01
regulation of RNA stability (GO:0043487)	53	1	1.93	-	.52	1.00E00
protein processing (GO:0016485)	53	1	1.93	-	.52	1.00E00
intracellular monoatomic cation homeostasis (GO:0030003)	106	2	3.86	-	.52	5.96E-01
intracellular calcium ion homeostasis (GO:0006874)	53	1	1.93	-	.52	1.00E00
intracellular monoatomic ion homeostasis (GO:0006873)	106	2	3.86	-	.52	5.96E-01
regulation of protein-containing complex assembly (GO:0043254)	54	1	1.97	-	.51	7.24E-01
nuclear chromosome segregation (GO:0098813)	54	1	1.97	-	.51	7.24E-01
recombinational repair (GO:0000725)	54	1	1.97	-	.51	7.24E-01
double-strand break repair via homologous recombination (GO:0000724)	54	1	1.97	-	.51	7.24E-01
cellular response to endogenous stimulus (GO:0071495)	163	3	5.94	-	.51	2.91E-01
monocarboxylic acid metabolic process (GO:0032787)	109	2	3.97	-	.50	4.42E-01
protein deubiquitination (GO:0016579)	55	1	2.00	-	.50	7.24E-01
carboxylic acid biosynthetic process (GO:0046394)	55	1	2.00	-	.50	7.24E-01
immune response (GO:0006955)	55	1	2.00	-	.50	7.24E-01
regulation of mRNA catabolic process (GO:0061013)	55	1	2.00	-	.50	7.24E-01
organic acid biosynthetic process (GO:0016053)	55	1	2.00	-	.50	7.24E-01
system process (GO:0003008)	111	2	4.04	-	.49	4.43E-01
ribonucleoprotein complex biogenesis (GO:0022613)	167	3	6.08	-	.49	2.93E-01
alcohol metabolic process (GO:0006066)	56	1	2.04	-	.49	7.24E-01
ncRNA processing (GO:0034470)	170	3	6.19	-	.48	2.96E-01
amide metabolic process (GO:0043603)	227	4	8.27	-	.48	1.51E-01
defense response (GO:0006952)	57	1	2.08	-	.48	7.24E-01
amino acid transport (GO:0006865)	57	1	2.08	-	.48	7.24E-01
negative regulation of gene expression (GO:0010629)	115	2	4.19	-	.48	4.47E-01
organelle localization (GO:0051640)	116	2	4.22	-	.47	4.48E-01
muscle structure development (GO:0061061)	58	1	2.11	-	.47	7.25E-01
regulation of immune response (GO:0050776)	59	1	2.15	-	.47	7.26E-01
response to endogenous stimulus (GO:0009719)	178	3	6.48	-	.46	2.22E-01
regulation of actin filament organization (GO:0110053)	60	1	2.19	-	.46	7.26E-01
ribosome biogenesis (GO:0042254)	121	2	4.41	-	.45	3.30E-01
cellular lipid catabolic process (GO:0044242)	61	1	2.22	-	.45	7.27E-01
nervous system process (GO:0050877)	61	1	2.22	-	.45	7.27E-01
calcium ion homeostasis (GO:0055074)	61	1	2.22	-	.45	7.27E-01
positive regulation of cell population proliferation (GO:0008284)	62	1	2.26	-	.44	7.29E-01
adenylate cyclase-activating G protein-coupled receptor signaling pathway (GO:0007189)	62	1	2.26	-	.44	7.29E-01
regulation of plasma membrane bounded cell projection organization (GO:0120035)	62	1	2.26	-	.44	7.29E-01
negative regulation of cellular component organization (GO:0051129)	63	1	2.29	-	.44	7.30E-01
cellular response to hormone stimulus (GO:0032870)	63	1	2.29	-	.44	7.30E-01
regulation of cell projection organization (GO:0031344)	63	1	2.29	-	.44	7.30E-01
synapse organization (GO:0050808)	64	1	2.33	-	.43	7.31E-01
protein modification by small protein removal (GO:0070646)	64	1	2.33	-	.43	7.31E-01
purine ribonucleotide metabolic process (GO:0009150)	66	1	2.40	-	.42	7.35E-01
glycoprotein metabolic process (GO:0009100)	132	2	4.81	-	.42	2.44E-01
lipid catabolic process (GO:0016042)	67	1	2.44	-	.41	5.20E-01
protein-RNA complex assembly (GO:0022618)	67	1	2.44	-	.41	5.20E-01
regulation of catabolic process (GO:0009894)	136	2	4.95	-	.40	2.46E-01
actin cytoskeleton organization (GO:0030036)	212	3	7.72	-	.39	9.33E-02
regulation of supramolecular fiber organization (GO:1902903)	71	1	2.59	-	.39	5.22E-01
nuclear division (GO:0000280)	71	1	2.59	-	.39	5.22E-01
sulfur compound metabolic process (GO:0006790)	71	1	2.59	-	.39	5.22E-01
alpha-amino acid metabolic process (GO:1901605)	73	1	2.66	-	.38	5.25E-01
ribonucleotide metabolic process (GO:0009259)	73	1	2.66	-	.38	5.25E-01
actin filament-based process (GO:0030029)	219	3	7.98	-	.38	6.87E-02
RNA modification (GO:0009451)	75	1	2.73	-	.37	5.28E-01
central nervous system development (GO:0007417)	76	1	2.77	-	.36	5.30E-01
organic hydroxy compound metabolic process (GO:1901615)	77	1	2.80	-	.36	5.32E-01
response to hormone (GO:0009725)	78	1	2.84	-	.35	5.34E-01
carbohydrate metabolic process (GO:0005975)	78	1	2.84	-	.35	5.34E-01
regulation of anatomical structure morphogenesis (GO:0022603)	78	1	2.84	-	.35	5.34E-01
response to growth factor (GO:0070848)	79	1	2.88	-	.35	3.72E-01
fatty acid metabolic process (GO:0006631)	79	1	2.88	-	.35	3.72E-01
ribose phosphate metabolic process (GO:0019693)	79	1	2.88	-	.35	3.72E-01
cellular response to growth factor stimulus (GO:0071363)	79	1	2.88	-	.35	3.72E-01
G protein-coupled receptor signaling pathway (GO:0007186)	238	3	8.67	-	.35	5.16E-02
regulation of actin cytoskeleton organization (GO:0032956)	81	1	2.95	-	.34	3.73E-01
organelle fission (GO:0048285)	81	1	2.95	-	.34	3.73E-01
rRNA processing (GO:0006364)	81	1	2.95	-	.34	3.73E-01
regulation of actin filament-based process (GO:0032970)	82	1	2.99	-	.33	3.73E-01
adenylate cyclase-modulating G protein-coupled receptor signaling pathway (GO:0007188)	90	1	3.28	-	.31	2.65E-01
rRNA metabolic process (GO:0016072)	90	1	3.28	-	.31	2.65E-01
regulation of cell population proliferation (GO:0042127)	98	1	3.57	-	.28	2.70E-01
endosomal transport (GO:0016197)	98	1	3.57	-	.28	2.70E-01
regulation of cellular catabolic process (GO:0031329)	98	1	3.57	-	.28	2.70E-01
immune system process (GO:0002376)	111	1	4.04	-	.25	1.94E-01
negative regulation of transcription by RNA polymerase II (GO:0000122)	112	1	4.08	-	.25	1.95E-01
glycoprotein biosynthetic process (GO:0009101)	114	1	4.15	-	.24	1.33E-01
regulation of cellular component biogenesis (GO:0044087)	116	1	4.22	-	.24	1.33E-01
actin filament organization (GO:0007015)	125	1	4.55	-	.22	9.34E-02
adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains (GO:0002460)	2	0	.07	-	 < 0.01	1.00E00
mononuclear cell migration (GO:0071674)	4	0	.15	-	 < 0.01	1.00E00
intermediate filament organization (GO:0045109)	10	0	.36	-	 < 0.01	1.00E00
tissue morphogenesis (GO:0048729)	23	0	.84	-	 < 0.01	1.00E00
centriole assembly (GO:0098534)	9	0	.33	-	 < 0.01	1.00E00
intermediate filament cytoskeleton organization (GO:0045104)	15	0	.55	-	 < 0.01	1.00E00
intermediate filament-based process (GO:0045103)	15	0	.55	-	 < 0.01	1.00E00
TOR signaling (GO:0031929)	9	0	.33	-	 < 0.01	1.00E00
nuclear-transcribed mRNA poly(A) tail shortening (GO:0000289)	5	0	.18	-	 < 0.01	1.00E00
