PANTHER GO-Slim Biological Process	background_genes.fst.txt - REFLIST (11890)	(276)	(expected)	(over/under)	(fold Enrichment)	P-value
organic acid biosynthetic process (GO:0016053)	55	1	1.28	-	.78	1.00E00
cell adhesion (GO:0007155)	221	4	5.13	-	.78	8.21E-01
intracellular protein transport (GO:0006886)	166	3	3.85	-	.78	1.00E00
lipoprotein metabolic process (GO:0042157)	56	1	1.30	-	.77	1.00E00
positive regulation of phosphorylation (GO:0042327)	112	2	2.60	-	.77	1.00E00
regulation of cellular component size (GO:0032535)	56	1	1.30	-	.77	1.00E00
positive regulation of metabolic process (GO:0009893)	504	9	11.70	-	.77	5.44E-01
chemical homeostasis (GO:0048878)	169	3	3.92	-	.76	1.00E00
establishment of protein localization to organelle (GO:0072594)	113	2	2.62	-	.76	1.00E00
ncRNA processing (GO:0034470)	170	3	3.95	-	.76	1.00E00
cellular response to stimulus (GO:0051716)	1418	25	32.92	-	.76	1.58E-01
positive regulation of DNA-templated transcription (GO:0045893)	227	4	5.27	-	.76	8.22E-01
positive regulation of RNA biosynthetic process (GO:1902680)	227	4	5.27	-	.76	8.22E-01
glycoprotein biosynthetic process (GO:0009101)	114	2	2.65	-	.76	1.00E00
negative regulation of intracellular signal transduction (GO:1902532)	57	1	1.32	-	.76	1.00E00
membrane lipid biosynthetic process (GO:0046467)	57	1	1.32	-	.76	1.00E00
cytoskeleton-dependent intracellular transport (GO:0030705)	57	1	1.32	-	.76	1.00E00
Wnt signaling pathway (GO:0016055)	57	1	1.32	-	.76	1.00E00
regulation of cytoskeleton organization (GO:0051493)	115	2	2.67	-	.75	1.00E00
carbohydrate derivative catabolic process (GO:1901136)	58	1	1.35	-	.74	1.00E00
positive regulation of phosphorus metabolic process (GO:0010562)	116	2	2.69	-	.74	1.00E00
positive regulation of phosphate metabolic process (GO:0045937)	116	2	2.69	-	.74	1.00E00
muscle structure development (GO:0061061)	58	1	1.35	-	.74	1.00E00
regulation of cellular component biogenesis (GO:0044087)	116	2	2.69	-	.74	1.00E00
animal organ development (GO:0048513)	293	5	6.80	-	.74	6.92E-01
regulation of vesicle-mediated transport (GO:0060627)	59	1	1.37	-	.73	1.00E00
glycerophospholipid metabolic process (GO:0006650)	118	2	2.74	-	.73	1.00E00
plasma membrane bounded cell projection assembly (GO:0120031)	118	2	2.74	-	.73	1.00E00
response to endoplasmic reticulum stress (GO:0034976)	59	1	1.37	-	.73	1.00E00
cell-cell signaling by wnt (GO:0198738)	59	1	1.37	-	.73	1.00E00
positive regulation of nitrogen compound metabolic process (GO:0051173)	416	7	9.66	-	.72	5.05E-01
protein localization to organelle (GO:0033365)	179	3	4.16	-	.72	8.02E-01
programmed cell death (GO:0012501)	60	1	1.39	-	.72	1.00E00
cell death (GO:0008219)	60	1	1.39	-	.72	1.00E00
regulation of actin filament organization (GO:0110053)	60	1	1.39	-	.72	1.00E00
regulation of intracellular signal transduction (GO:1902531)	243	4	5.64	-	.71	6.65E-01
cellular macromolecule localization (GO:0070727)	426	7	9.89	-	.71	4.14E-01
protein localization (GO:0008104)	426	7	9.89	-	.71	4.14E-01
microtubule-based process (GO:0007017)	246	4	5.71	-	.70	6.66E-01
monoatomic ion transport (GO:0006811)	310	5	7.20	-	.69	5.64E-01
adenylate cyclase-activating G protein-coupled receptor signaling pathway (GO:0007189)	62	1	1.44	-	.69	1.00E00
cilium organization (GO:0044782)	124	2	2.88	-	.69	1.00E00
regulation of plasma membrane bounded cell projection organization (GO:0120035)	62	1	1.44	-	.69	1.00E00
positive regulation of macromolecule metabolic process (GO:0010604)	437	7	10.14	-	.69	4.16E-01
actin filament organization (GO:0007015)	125	2	2.90	-	.69	1.00E00
regulation of cell projection organization (GO:0031344)	63	1	1.46	-	.68	1.00E00
positive regulation of transcription by RNA polymerase II (GO:0045944)	190	3	4.41	-	.68	8.05E-01
cell communication (GO:0007154)	1270	20	29.48	-	.68	6.11E-02
cell projection assembly (GO:0030031)	128	2	2.97	-	.67	7.72E-01
protein modification by small protein removal (GO:0070646)	64	1	1.49	-	.67	1.00E00
small molecule metabolic process (GO:0044281)	386	6	8.96	-	.67	3.90E-01
intracellular signal transduction (GO:0035556)	327	5	7.59	-	.66	4.54E-01
glycoprotein metabolic process (GO:0009100)	132	2	3.06	-	.65	7.72E-01
regulation of anatomical structure size (GO:0090066)	67	1	1.56	-	.64	1.00E00
positive regulation of protein phosphorylation (GO:0001934)	67	1	1.56	-	.64	1.00E00
glycerolipid metabolic process (GO:0046486)	135	2	3.13	-	.64	7.73E-01
positive regulation of immune system process (GO:0002684)	68	1	1.58	-	.63	1.00E00
carboxylic acid catabolic process (GO:0046395)	68	1	1.58	-	.63	1.00E00
organic acid catabolic process (GO:0016054)	68	1	1.58	-	.63	1.00E00
cytoskeleton organization (GO:0007010)	412	6	9.56	-	.63	3.15E-01
glycerophospholipid biosynthetic process (GO:0046474)	69	1	1.60	-	.62	1.00E00
regulation of response to stress (GO:0080134)	69	1	1.60	-	.62	1.00E00
cellular homeostasis (GO:0019725)	140	2	3.25	-	.62	7.75E-01
sulfur compound metabolic process (GO:0006790)	71	1	1.65	-	.61	1.00E00
positive regulation of kinase activity (GO:0033674)	71	1	1.65	-	.61	1.00E00
positive regulation of transferase activity (GO:0051347)	72	1	1.67	-	.60	1.00E00
positive regulation of protein modification process (GO:0031401)	72	1	1.67	-	.60	1.00E00
phospholipid metabolic process (GO:0006644)	145	2	3.37	-	.59	7.77E-01
signaling (GO:0023052)	1244	17	28.88	-	.59	1.65E-02
cellular lipid metabolic process (GO:0044255)	294	4	6.82	-	.59	3.30E-01
positive regulation of macromolecule biosynthetic process (GO:0010557)	296	4	6.87	-	.58	3.30E-01
positive regulation of cellular biosynthetic process (GO:0031328)	301	4	6.99	-	.57	3.31E-01
positive regulation of biosynthetic process (GO:0009891)	302	4	7.01	-	.57	3.31E-01
nuclear transport (GO:0051169)	78	1	1.81	-	.55	1.00E00
carbohydrate metabolic process (GO:0005975)	78	1	1.81	-	.55	1.00E00
nucleocytoplasmic transport (GO:0006913)	78	1	1.81	-	.55	1.00E00
phospholipid biosynthetic process (GO:0008654)	79	1	1.83	-	.55	1.00E00
glycerolipid biosynthetic process (GO:0045017)	79	1	1.83	-	.55	1.00E00
fatty acid metabolic process (GO:0006631)	79	1	1.83	-	.55	1.00E00
inorganic ion transmembrane transport (GO:0098660)	239	3	5.55	-	.54	3.83E-01
signal transduction (GO:0007165)	1121	14	26.02	-	.54	9.06E-03
mitotic cell cycle (GO:0000278)	161	2	3.74	-	.54	5.93E-01
regulation of actin cytoskeleton organization (GO:0032956)	81	1	1.88	-	.53	1.00E00
rRNA processing (GO:0006364)	81	1	1.88	-	.53	1.00E00
regulation of actin filament-based process (GO:0032970)	82	1	1.90	-	.53	1.00E00
protein modification process (GO:0036211)	745	9	17.29	-	.52	3.26E-02
small molecule catabolic process (GO:0044282)	83	1	1.93	-	.52	1.00E00
negative regulation of molecular function (GO:0044092)	83	1	1.93	-	.52	1.00E00
lipid metabolic process (GO:0006629)	333	4	7.73	-	.52	1.98E-01
regulation of phosphorylation (GO:0042325)	167	2	3.88	-	.52	5.98E-01
cell migration (GO:0016477)	169	2	3.92	-	.51	4.44E-01
nucleobase-containing compound biosynthetic process (GO:0034654)	169	2	3.92	-	.51	4.44E-01
lipid biosynthetic process (GO:0008610)	170	2	3.95	-	.51	4.44E-01
cellular anatomical entity morphogenesis (GO:0032989)	171	2	3.97	-	.50	4.44E-01
response to organonitrogen compound (GO:0010243)	86	1	2.00	-	.50	7.25E-01
phosphatidylinositol metabolic process (GO:0046488)	90	1	2.09	-	.48	7.26E-01
rRNA metabolic process (GO:0016072)	90	1	2.09	-	.48	7.26E-01
regulation of protein metabolic process (GO:0051246)	270	3	6.27	-	.48	2.22E-01
regulation of phosphorus metabolic process (GO:0051174)	182	2	4.22	-	.47	4.50E-01
regulation of phosphate metabolic process (GO:0019220)	182	2	4.22	-	.47	4.50E-01
macromolecule modification (GO:0043412)	830	9	19.27	-	.47	1.15E-02
heterocycle biosynthetic process (GO:0018130)	188	2	4.36	-	.46	3.32E-01
regulation of membrane potential (GO:0042391)	95	1	2.21	-	.45	7.28E-01
secretion by cell (GO:0032940)	96	1	2.23	-	.45	7.29E-01
aromatic compound biosynthetic process (GO:0019438)	192	2	4.46	-	.45	3.32E-01
cell motility (GO:0048870)	193	2	4.48	-	.45	3.33E-01
endosomal transport (GO:0016197)	98	1	2.27	-	.44	7.30E-01
carboxylic acid metabolic process (GO:0019752)	196	2	4.55	-	.44	3.34E-01
organic acid metabolic process (GO:0006082)	198	2	4.60	-	.44	3.35E-01
oxoacid metabolic process (GO:0043436)	198	2	4.60	-	.44	3.35E-01
secretion (GO:0046903)	99	1	2.30	-	.44	7.31E-01
axon guidance (GO:0007411)	101	1	2.34	-	.43	7.33E-01
neuron projection guidance (GO:0097485)	101	1	2.34	-	.43	7.33E-01
inorganic cation transmembrane transport (GO:0098662)	206	2	4.78	-	.42	2.46E-01
monoatomic cation transmembrane transport (GO:0098655)	206	2	4.78	-	.42	2.46E-01
organic cyclic compound biosynthetic process (GO:1901362)	211	2	4.90	-	.41	2.47E-01
small molecule biosynthetic process (GO:0044283)	106	1	2.46	-	.41	5.23E-01
phosphate-containing compound metabolic process (GO:0006796)	540	5	12.53	-	.40	2.66E-02
phosphorus metabolic process (GO:0006793)	543	5	12.60	-	.40	2.69E-02
export from cell (GO:0140352)	109	1	2.53	-	.40	5.23E-01
monocarboxylic acid metabolic process (GO:0032787)	109	1	2.53	-	.40	5.23E-01
cell surface receptor signaling pathway (GO:0007166)	439	4	10.19	-	.39	5.01E-02
organelle localization (GO:0051640)	116	1	2.69	-	.37	5.28E-01
metal ion transport (GO:0030001)	237	2	5.50	-	.36	1.85E-01
G protein-coupled receptor signaling pathway (GO:0007186)	238	2	5.52	-	.36	1.85E-01
axonogenesis (GO:0007409)	120	1	2.79	-	.36	5.32E-01
regulation of protein phosphorylation (GO:0001932)	122	1	2.83	-	.35	5.35E-01
regulation of kinase activity (GO:0043549)	123	1	2.86	-	.35	5.36E-01
regulation of transferase activity (GO:0051338)	126	1	2.92	-	.34	3.75E-01
monoatomic cation transport (GO:0006812)	254	2	5.90	-	.34	1.35E-01
positive regulation of protein metabolic process (GO:0051247)	134	1	3.11	-	.32	3.79E-01
axon development (GO:0061564)	137	1	3.18	-	.31	3.82E-01
regulation of protein modification process (GO:0031399)	143	1	3.32	-	.30	2.67E-01
neuron projection morphogenesis (GO:0048812)	145	1	3.37	-	.30	2.67E-01
cell projection morphogenesis (GO:0048858)	146	1	3.39	-	.30	2.68E-01
plasma membrane bounded cell projection morphogenesis (GO:0120039)	146	1	3.39	-	.30	2.68E-01
localization within membrane (GO:0051668)	147	1	3.41	-	.29	2.68E-01
intracellular signaling cassette (GO:0141124)	152	1	3.53	-	.28	2.71E-01
microtubule cytoskeleton organization (GO:0000226)	164	1	3.81	-	.26	1.90E-01
transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169)	169	1	3.92	-	.25	1.92E-01
enzyme-linked receptor protein signaling pathway (GO:0007167)	206	1	4.78	-	.21	9.65E-02
adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains (GO:0002460)	2	0	.05	-	 < 0.01	1.00E00
ribonucleoside triphosphate metabolic process (GO:0009199)	23	0	.53	-	 < 0.01	1.00E00
mononuclear cell migration (GO:0071674)	4	0	.09	-	 < 0.01	1.00E00
intermediate filament organization (GO:0045109)	10	0	.23	-	 < 0.01	1.00E00
tissue morphogenesis (GO:0048729)	23	0	.53	-	 < 0.01	1.00E00
negative regulation of supramolecular fiber organization (GO:1902904)	32	0	.74	-	 < 0.01	1.00E00
centriole assembly (GO:0098534)	9	0	.21	-	 < 0.01	1.00E00
intermediate filament cytoskeleton organization (GO:0045104)	15	0	.35	-	 < 0.01	1.00E00
intermediate filament-based process (GO:0045103)	15	0	.35	-	 < 0.01	1.00E00
vitamin transport (GO:0051180)	12	0	.28	-	 < 0.01	1.00E00
calcium ion transmembrane transport (GO:0070588)	58	0	1.35	-	 < 0.01	6.46E-01
TOR signaling (GO:0031929)	9	0	.21	-	 < 0.01	1.00E00
nuclear-transcribed mRNA poly(A) tail shortening (GO:0000289)	5	0	.12	-	 < 0.01	1.00E00
establishment or maintenance of bipolar cell polarity (GO:0061245)	16	0	.37	-	 < 0.01	1.00E00
mitotic cytokinesis (GO:0000281)	14	0	.32	-	 < 0.01	1.00E00
negative regulation of actin filament polymerization (GO:0030837)	22	0	.51	-	 < 0.01	1.00E00
sperm-egg recognition (GO:0035036)	1	0	.02	-	 < 0.01	1.00E00
negative regulation of actin filament depolymerization (GO:0030835)	18	0	.42	-	 < 0.01	1.00E00
regulation of actin filament depolymerization (GO:0030834)	20	0	.46	-	 < 0.01	1.00E00
regulation of actin filament polymerization (GO:0030833)	42	0	.97	-	 < 0.01	6.27E-01
regulation of actin filament length (GO:0030832)	45	0	1.04	-	 < 0.01	6.28E-01
meiotic sister chromatid cohesion (GO:0051177)	2	0	.05	-	 < 0.01	1.00E00
cyclic nucleotide metabolic process (GO:0009187)	8	0	.19	-	 < 0.01	1.00E00
regulation of cysteine-type endopeptidase activity involved in apoptotic process (GO:0043281)	17	0	.39	-	 < 0.01	1.00E00
positive regulation of cysteine-type endopeptidase activity involved in apoptotic process (GO:0043280)	15	0	.35	-	 < 0.01	1.00E00
import into nucleus (GO:0051170)	36	0	.84	-	 < 0.01	1.00E00
positive regulation of proteasomal protein catabolic process (GO:1901800)	17	0	.39	-	 < 0.01	1.00E00
polysaccharide biosynthetic process (GO:0000271)	9	0	.21	-	 < 0.01	1.00E00
lymphocyte mediated immunity (GO:0002449)	2	0	.05	-	 < 0.01	1.00E00
regulation of Rho protein signal transduction (GO:0035023)	21	0	.49	-	 < 0.01	1.00E00
leukocyte mediated immunity (GO:0002443)	2	0	.05	-	 < 0.01	1.00E00
apoptotic cell clearance (GO:0043277)	4	0	.09	-	 < 0.01	1.00E00
oligodendrocyte differentiation (GO:0048709)	5	0	.12	-	 < 0.01	1.00E00
regulation of lipid biosynthetic process (GO:0046890)	7	0	.16	-	 < 0.01	1.00E00
endothelial cell differentiation (GO:0045446)	4	0	.09	-	 < 0.01	1.00E00
neutrophil migration (GO:1990266)	3	0	.07	-	 < 0.01	1.00E00
fat cell differentiation (GO:0045444)	2	0	.05	-	 < 0.01	1.00E00
axo-dendritic transport (GO:0008088)	16	0	.37	-	 < 0.01	1.00E00
regulation of establishment of protein localization (GO:0070201)	15	0	.35	-	 < 0.01	1.00E00
positive regulation of hormone secretion (GO:0046887)	2	0	.05	-	 < 0.01	1.00E00
regulation of potassium ion transport (GO:0043266)	16	0	.37	-	 < 0.01	1.00E00
membrane invagination (GO:0010324)	11	0	.26	-	 < 0.01	1.00E00
regulation of peptide secretion (GO:0002791)	5	0	.12	-	 < 0.01	1.00E00
peptide secretion (GO:0002790)	3	0	.07	-	 < 0.01	1.00E00
regulation of hormone secretion (GO:0046883)	7	0	.16	-	 < 0.01	1.00E00
glucose 6-phosphate metabolic process (GO:0051156)	10	0	.23	-	 < 0.01	1.00E00
nucleotide catabolic process (GO:0009166)	25	0	.58	-	 < 0.01	1.00E00
regulation of cell projection assembly (GO:0060491)	23	0	.53	-	 < 0.01	1.00E00
nucleoside catabolic process (GO:0009164)	8	0	.19	-	 < 0.01	1.00E00
negative regulation of protein catabolic process (GO:0042177)	11	0	.26	-	 < 0.01	1.00E00
regulation of protein catabolic process (GO:0042176)	43	0	1.00	-	 < 0.01	6.27E-01
response to interleukin-1 (GO:0070555)	2	0	.05	-	 < 0.01	1.00E00
cellular response to fibroblast growth factor stimulus (GO:0044344)	24	0	.56	-	 < 0.01	1.00E00
immune response-activating cell surface receptor signaling pathway (GO:0002429)	30	0	.70	-	 < 0.01	1.00E00
cytokine-mediated signaling pathway (GO:0019221)	41	0	.95	-	 < 0.01	1.00E00
hormone secretion (GO:0046879)	3	0	.07	-	 < 0.01	1.00E00
ceramide biosynthetic process (GO:0046513)	24	0	.56	-	 < 0.01	1.00E00
purine ribonucleotide catabolic process (GO:0009154)	18	0	.42	-	 < 0.01	1.00E00
heme metabolic process (GO:0042168)	8	0	.19	-	 < 0.01	1.00E00
positive regulation of cell cycle (GO:0045787)	26	0	.60	-	 < 0.01	1.00E00
positive regulation of cell adhesion (GO:0045785)	21	0	.49	-	 < 0.01	1.00E00
response to fatty acid (GO:0070542)	1	0	.02	-	 < 0.01	1.00E00
regulation of actin polymerization or depolymerization (GO:0008064)	43	0	1.00	-	 < 0.01	6.27E-01
regulation of lipid metabolic process (GO:0019216)	12	0	.28	-	 < 0.01	1.00E00
protein hydroxylation (GO:0018126)	14	0	.32	-	 < 0.01	1.00E00
regulation of protein-containing complex disassembly (GO:0043244)	36	0	.84	-	 < 0.01	1.00E00
negative regulation of protein-containing complex disassembly (GO:0043242)	26	0	.60	-	 < 0.01	1.00E00
multivesicular body sorting pathway (GO:0071985)	24	0	.56	-	 < 0.01	1.00E00
purine nucleoside triphosphate biosynthetic process (GO:0009145)	1	0	.02	-	 < 0.01	1.00E00
purine nucleoside triphosphate metabolic process (GO:0009144)	20	0	.46	-	 < 0.01	1.00E00
nucleoside triphosphate catabolic process (GO:0009143)	5	0	.12	-	 < 0.01	1.00E00
negative regulation of cytoskeleton organization (GO:0051494)	33	0	.77	-	 < 0.01	1.00E00
nucleoside triphosphate biosynthetic process (GO:0009142)	6	0	.14	-	 < 0.01	1.00E00
chaperone-mediated protein complex assembly (GO:0051131)	4	0	.09	-	 < 0.01	1.00E00
nucleoside triphosphate metabolic process (GO:0009141)	30	0	.70	-	 < 0.01	1.00E00
regulation of stress fiber assembly (GO:0051492)	5	0	.12	-	 < 0.01	1.00E00
negative regulation of blood pressure (GO:0045776)	6	0	.14	-	 < 0.01	1.00E00
protein K63-linked deubiquitination (GO:0070536)	7	0	.16	-	 < 0.01	1.00E00
protein K63-linked ubiquitination (GO:0070534)	5	0	.12	-	 < 0.01	1.00E00
mitochondrial fusion (GO:0008053)	9	0	.21	-	 < 0.01	1.00E00
immune response-regulating cell surface receptor signaling pathway (GO:0002768)	31	0	.72	-	 < 0.01	1.00E00
negative regulation of NF-kappaB transcription factor activity (GO:0032088)	6	0	.14	-	 < 0.01	1.00E00
immune response-regulating signaling pathway (GO:0002764)	37	0	.86	-	 < 0.01	1.00E00
phosphatidylinositol dephosphorylation (GO:0046856)	25	0	.58	-	 < 0.01	1.00E00
phosphatidylinositol phosphate biosynthetic process (GO:0046854)	35	0	.81	-	 < 0.01	1.00E00
regulation of filopodium assembly (GO:0051489)	6	0	.14	-	 < 0.01	1.00E00
intracellular glucose homeostasis (GO:0001678)	6	0	.14	-	 < 0.01	1.00E00
nucleoside diphosphate catabolic process (GO:0009134)	22	0	.51	-	 < 0.01	1.00E00
RNA polymerase II preinitiation complex assembly (GO:0051123)	6	0	.14	-	 < 0.01	1.00E00
long-chain fatty acid metabolic process (GO:0001676)	10	0	.23	-	 < 0.01	1.00E00
nucleoside diphosphate metabolic process (GO:0009132)	25	0	.58	-	 < 0.01	1.00E00
retrograde transport, endosome to Golgi (GO:0042147)	31	0	.72	-	 < 0.01	1.00E00
platelet aggregation (GO:0070527)	5	0	.12	-	 < 0.01	1.00E00
regulation of cytosolic calcium ion concentration (GO:0051480)	17	0	.39	-	 < 0.01	1.00E00
vacuole fusion, non-autophagic (GO:0042144)	1	0	.02	-	 < 0.01	1.00E00
tRNA threonylcarbamoyladenosine metabolic process (GO:0070525)	1	0	.02	-	 < 0.01	1.00E00
positive regulation of adenylate cyclase activity (GO:0045762)	5	0	.12	-	 < 0.01	1.00E00
regulation of adenylate cyclase activity (GO:0045761)	7	0	.16	-	 < 0.01	1.00E00
motor neuron axon guidance (GO:0008045)	6	0	.14	-	 < 0.01	1.00E00
positive regulation of proteolysis involved in protein catabolic process (GO:1903052)	17	0	.39	-	 < 0.01	1.00E00
negative regulation of proteolysis involved in protein catabolic process (GO:1903051)	5	0	.12	-	 < 0.01	1.00E00
regulation of proteolysis involved in protein catabolic process (GO:1903050)	31	0	.72	-	 < 0.01	1.00E00
innate immune response-activating signaling pathway (GO:0002758)	12	0	.28	-	 < 0.01	1.00E00
immune response-activating signaling pathway (GO:0002757)	36	0	.84	-	 < 0.01	1.00E00
peptidyl-tyrosine phosphorylation (GO:0018108)	6	0	.14	-	 < 0.01	1.00E00
peptidyl-threonine phosphorylation (GO:0018107)	17	0	.39	-	 < 0.01	1.00E00
peptidyl-tyrosine dephosphorylation (GO:0035335)	15	0	.35	-	 < 0.01	1.00E00
peptidyl-serine phosphorylation (GO:0018105)	74	0	1.72	-	 < 0.01	4.21E-01
filopodium assembly (GO:0046847)	3	0	.07	-	 < 0.01	1.00E00
cytoplasmic pattern recognition receptor signaling pathway (GO:0002753)	4	0	.09	-	 < 0.01	1.00E00
skin development (GO:0043588)	3	0	.07	-	 < 0.01	1.00E00
ear development (GO:0043583)	2	0	.05	-	 < 0.01	1.00E00
regulation of amide metabolic process (GO:0034248)	49	0	1.14	-	 < 0.01	6.31E-01
response to hypoxia (GO:0001666)	16	0	.37	-	 < 0.01	1.00E00
meiotic DNA double-strand break formation (GO:0042138)	3	0	.07	-	 < 0.01	1.00E00
regulation of transforming growth factor beta receptor signaling pathway (GO:0017015)	8	0	.19	-	 < 0.01	1.00E00
regulation of transcription elongation by RNA polymerase II (GO:0034243)	9	0	.21	-	 < 0.01	1.00E00
cell recognition (GO:0008037)	14	0	.32	-	 < 0.01	1.00E00
mitotic cell cycle process (GO:1903047)	128	0	2.97	-	 < 0.01	1.26E-01
negative regulation of T cell proliferation (GO:0042130)	2	0	.05	-	 < 0.01	1.00E00
V(D)J recombination (GO:0033151)	2	0	.05	-	 < 0.01	1.00E00
hippo signaling (GO:0035329)	15	0	.35	-	 < 0.01	1.00E00
phospholipid dephosphorylation (GO:0046839)	32	0	.74	-	 < 0.01	1.00E00
carbohydrate phosphorylation (GO:0046835)	6	0	.14	-	 < 0.01	1.00E00
nucleoside metabolic process (GO:0009116)	14	0	.32	-	 < 0.01	1.00E00
cellular response to oxidative stress (GO:0034599)	9	0	.21	-	 < 0.01	1.00E00
regulation of T cell proliferation (GO:0042129)	3	0	.07	-	 < 0.01	1.00E00
eye development (GO:0001654)	31	0	.72	-	 < 0.01	1.00E00
calcium ion import (GO:0070509)	11	0	.26	-	 < 0.01	1.00E00
cytochrome complex assembly (GO:0017004)	2	0	.05	-	 < 0.01	1.00E00
nuclear chromosome segregation (GO:0098813)	54	0	1.25	-	 < 0.01	6.38E-01
negative regulation of Notch signaling pathway (GO:0045746)	3	0	.07	-	 < 0.01	1.00E00
positive regulation of leukocyte cell-cell adhesion (GO:1903039)	3	0	.07	-	 < 0.01	1.00E00
negative regulation of leukocyte cell-cell adhesion (GO:1903038)	4	0	.09	-	 < 0.01	1.00E00
regulation of leukocyte cell-cell adhesion (GO:1903037)	6	0	.14	-	 < 0.01	1.00E00
regulation of response to wounding (GO:1903034)	6	0	.14	-	 < 0.01	1.00E00
sperm motility (GO:0097722)	1	0	.02	-	 < 0.01	1.00E00
regulation of endopeptidase activity (GO:0052548)	41	0	.95	-	 < 0.01	1.00E00
calcineurin-mediated signaling (GO:0097720)	7	0	.16	-	 < 0.01	1.00E00
regulation of peptidase activity (GO:0052547)	42	0	.97	-	 < 0.01	6.27E-01
positive regulation of gene expression (GO:0010628)	70	0	1.62	-	 < 0.01	4.14E-01
oligopeptide transmembrane transport (GO:0035672)	2	0	.05	-	 < 0.01	1.00E00
osteoblast differentiation (GO:0001649)	5	0	.12	-	 < 0.01	1.00E00
neutrophil activation (GO:0042119)	1	0	.02	-	 < 0.01	1.00E00
positive regulation of DNA repair (GO:0045739)	9	0	.21	-	 < 0.01	1.00E00
piRNA processing (GO:0034587)	6	0	.14	-	 < 0.01	1.00E00
negative regulation of DNA repair (GO:0045738)	5	0	.12	-	 < 0.01	1.00E00
regulation of intracellular pH (GO:0051453)	26	0	.60	-	 < 0.01	1.00E00
intracellular pH reduction (GO:0051452)	9	0	.21	-	 < 0.01	1.00E00
macrophage activation (GO:0042116)	1	0	.02	-	 < 0.01	1.00E00
odontogenesis (GO:0042476)	2	0	.05	-	 < 0.01	1.00E00
B cell activation (GO:0042113)	7	0	.16	-	 < 0.01	1.00E00
odontogenesis of dentin-containing tooth (GO:0042475)	2	0	.05	-	 < 0.01	1.00E00
positive regulation of protein catabolic process (GO:0045732)	24	0	.56	-	 < 0.01	1.00E00
regulation of heart contraction (GO:0008016)	20	0	.46	-	 < 0.01	1.00E00
blood circulation (GO:0008015)	39	0	.91	-	 < 0.01	1.00E00
T cell activation (GO:0042110)	7	0	.16	-	 < 0.01	1.00E00
inner ear morphogenesis (GO:0042472)	2	0	.05	-	 < 0.01	1.00E00
chromosome localization (GO:0050000)	13	0	.30	-	 < 0.01	1.00E00
vesicle targeting, trans-Golgi to periciliary membrane compartment (GO:0097712)	1	0	.02	-	 < 0.01	1.00E00
protein localization to cilium (GO:0061512)	15	0	.35	-	 < 0.01	1.00E00
centriole elongation (GO:0061511)	1	0	.02	-	 < 0.01	1.00E00
antigen processing and presentation (GO:0019882)	3	0	.07	-	 < 0.01	1.00E00
sperm axoneme assembly (GO:0007288)	1	0	.02	-	 < 0.01	1.00E00
cardiolipin biosynthetic process (GO:0032049)	2	0	.05	-	 < 0.01	1.00E00
epithelium development (GO:0060429)	35	0	.81	-	 < 0.01	1.00E00
spermatid development (GO:0007286)	4	0	.09	-	 < 0.01	1.00E00
regulation of dephosphorylation (GO:0035303)	9	0	.21	-	 < 0.01	1.00E00
spermatogenesis (GO:0007283)	17	0	.39	-	 < 0.01	1.00E00
germ cell development (GO:0007281)	16	0	.37	-	 < 0.01	1.00E00
mitochondrial DNA metabolic process (GO:0032042)	4	0	.09	-	 < 0.01	1.00E00
carbohydrate transmembrane transport (GO:0034219)	9	0	.21	-	 < 0.01	1.00E00
purine nucleotide catabolic process (GO:0006195)	19	0	.44	-	 < 0.01	1.00E00
positive regulation of translation (GO:0045727)	18	0	.42	-	 < 0.01	1.00E00
signal release (GO:0023061)	38	0	.88	-	 < 0.01	1.00E00
RNA modification (GO:0009451)	75	0	1.74	-	 < 0.01	4.23E-01
response to growth factor (GO:0070848)	79	0	1.83	-	 < 0.01	2.67E-01
positive regulation of T cell proliferation (GO:0042102)	2	0	.05	-	 < 0.01	1.00E00
eye photoreceptor cell development (GO:0042462)	1	0	.02	-	 < 0.01	1.00E00
regulation of natural killer cell mediated immunity (GO:0002715)	2	0	.05	-	 < 0.01	1.00E00
gamete generation (GO:0007276)	27	0	.63	-	 < 0.01	1.00E00
neuromuscular synaptic transmission (GO:0007274)	10	0	.23	-	 < 0.01	1.00E00
regulation of mitotic sister chromatid separation (GO:0010965)	15	0	.35	-	 < 0.01	1.00E00
DNA geometric change (GO:0032392)	12	0	.28	-	 < 0.01	1.00E00
protein acylation (GO:0043543)	28	0	.65	-	 < 0.01	1.00E00
endothelial cell migration (GO:0043542)	4	0	.09	-	 < 0.01	1.00E00
cGMP biosynthetic process (GO:0006182)	4	0	.09	-	 < 0.01	1.00E00
response to organic cyclic compound (GO:0014070)	27	0	.63	-	 < 0.01	1.00E00
neurotransmitter secretion (GO:0007269)	33	0	.77	-	 < 0.01	1.00E00
negative regulation of macroautophagy (GO:0016242)	4	0	.09	-	 < 0.01	1.00E00
Rho protein signal transduction (GO:0007266)	25	0	.58	-	 < 0.01	1.00E00
Ras protein signal transduction (GO:0007265)	27	0	.63	-	 < 0.01	1.00E00
regulation of response to endoplasmic reticulum stress (GO:1905897)	6	0	.14	-	 < 0.01	1.00E00
small GTPase-mediated signal transduction (GO:0007264)	65	0	1.51	-	 < 0.01	4.08E-01
