PANTHER GO-Slim Biological Process	background_genes.thetas.txt - REFLIST (11894)	(417)	(expected)	(over/under)	(fold Enrichment)	P-value
regulation of trans-synaptic signaling (GO:0099177)	78	3	2.73	+	1.10	7.55E-01
modulation of chemical synaptic transmission (GO:0050804)	78	3	2.73	+	1.10	7.55E-01
regulation of anatomical structure morphogenesis (GO:0022603)	78	3	2.73	+	1.10	7.55E-01
organonitrogen compound catabolic process (GO:1901565)	365	14	12.80	+	1.09	6.65E-01
cellular component organization or biogenesis (GO:0071840)	1673	64	58.65	+	1.09	4.31E-01
macromolecule catabolic process (GO:0009057)	314	12	11.01	+	1.09	7.54E-01
cell differentiation (GO:0030154)	603	23	21.14	+	1.09	6.49E-01
cellular developmental process (GO:0048869)	603	23	21.14	+	1.09	6.49E-01
localization (GO:0051179)	1443	55	50.59	+	1.09	4.92E-01
exocytosis (GO:0006887)	79	3	2.77	+	1.08	7.57E-01
positive regulation of biological process (GO:0048518)	899	34	31.52	+	1.08	6.37E-01
establishment of localization (GO:0051234)	1296	49	45.44	+	1.08	5.75E-01
small molecule biosynthetic process (GO:0044283)	106	4	3.72	+	1.08	7.89E-01
cellular nitrogen compound catabolic process (GO:0044270)	106	4	3.72	+	1.08	7.89E-01
heterocycle catabolic process (GO:0046700)	106	4	3.72	+	1.08	7.89E-01
protein processing (GO:0016485)	53	2	1.86	+	1.08	7.09E-01
phosphatidylinositol biosynthetic process (GO:0006661)	53	2	1.86	+	1.08	7.09E-01
establishment of protein localization to membrane (GO:0090150)	53	2	1.86	+	1.08	7.09E-01
intracellular calcium ion homeostasis (GO:0006874)	53	2	1.86	+	1.08	7.09E-01
regulation of DNA-templated transcription (GO:0006355)	1114	42	39.06	+	1.08	6.08E-01
regulation of RNA biosynthetic process (GO:2001141)	1114	42	39.06	+	1.08	6.08E-01
positive regulation of metabolic process (GO:0009893)	504	19	17.67	+	1.08	7.10E-01
proteolysis (GO:0006508)	373	14	13.08	+	1.07	7.74E-01
catabolic process (GO:0009056)	562	21	19.70	+	1.07	7.24E-01
neuron differentiation (GO:0030182)	268	10	9.40	+	1.06	7.38E-01
heterocycle biosynthetic process (GO:0018130)	188	7	6.59	+	1.06	8.40E-01
developmental process (GO:0032502)	997	37	34.95	+	1.06	7.19E-01
gamete generation (GO:0007276)	27	1	.95	+	1.06	6.19E-01
maturation of SSU-rRNA (GO:0030490)	27	1	.95	+	1.06	6.19E-01
regulation of actin cytoskeleton organization (GO:0032956)	81	3	2.84	+	1.06	7.62E-01
monosaccharide metabolic process (GO:0005996)	27	1	.95	+	1.06	6.19E-01
late endosome to vacuole transport (GO:0045324)	27	1	.95	+	1.06	6.19E-01
protein transmembrane transport (GO:0071806)	27	1	.95	+	1.06	6.19E-01
steroid metabolic process (GO:0008202)	27	1	.95	+	1.06	6.19E-01
cell activation (GO:0001775)	27	1	.95	+	1.06	6.19E-01
neural crest cell migration (GO:0001755)	27	1	.95	+	1.06	6.19E-01
meiosis I cell cycle process (GO:0061982)	27	1	.95	+	1.06	6.19E-01
regulation of mitotic cell cycle (GO:0007346)	81	3	2.84	+	1.06	7.62E-01
positive regulation of cellular process (GO:0048522)	813	30	28.50	+	1.05	7.67E-01
organic substance transport (GO:0071702)	461	17	16.16	+	1.05	7.96E-01
DNA repair (GO:0006281)	163	6	5.71	+	1.05	8.29E-01
export from cell (GO:0140352)	109	4	3.82	+	1.05	7.94E-01
cilium assembly (GO:0060271)	109	4	3.82	+	1.05	7.94E-01
monocarboxylic acid metabolic process (GO:0032787)	109	4	3.82	+	1.05	7.94E-01
regulation of actin filament-based process (GO:0032970)	82	3	2.87	+	1.04	7.65E-01
chromosome segregation (GO:0007059)	82	3	2.87	+	1.04	7.65E-01
organic substance catabolic process (GO:1901575)	493	18	17.28	+	1.04	8.03E-01
axon development (GO:0061564)	137	5	4.80	+	1.04	8.15E-01
cellular process (GO:0009987)	5617	205	196.93	+	1.04	4.25E-01
aromatic compound biosynthetic process (GO:0019438)	192	7	6.73	+	1.04	8.43E-01
macroautophagy (GO:0016236)	55	2	1.93	+	1.04	7.19E-01
protein metabolic process (GO:0019538)	1267	46	44.42	+	1.04	8.08E-01
neurogenesis (GO:0022008)	304	11	10.66	+	1.03	8.74E-01
regulation of macromolecule metabolic process (GO:0060255)	1664	60	58.34	+	1.03	8.29E-01
regulation of phosphorylation (GO:0042325)	167	6	5.85	+	1.02	8.33E-01
response to stress (GO:0006950)	446	16	15.64	+	1.02	8.95E-01
lipoprotein metabolic process (GO:0042157)	56	2	1.96	+	1.02	1.00E00
regulation of cell shape (GO:0008360)	28	1	.98	+	1.02	1.00E00
protein acylation (GO:0043543)	28	1	.98	+	1.02	1.00E00
regulation of nuclear division (GO:0051783)	28	1	.98	+	1.02	1.00E00
aromatic compound catabolic process (GO:0019439)	112	4	3.93	+	1.02	7.99E-01
alcohol metabolic process (GO:0006066)	56	2	1.96	+	1.02	1.00E00
regulation of cellular component size (GO:0032535)	56	2	1.96	+	1.02	1.00E00
calcium ion transmembrane import into cytosol (GO:0097553)	28	1	.98	+	1.02	1.00E00
carbohydrate catabolic process (GO:0016052)	28	1	.98	+	1.02	1.00E00
defense response to symbiont (GO:0140546)	28	1	.98	+	1.02	1.00E00
cell fate specification (GO:0001708)	28	1	.98	+	1.02	1.00E00
carboxylic acid metabolic process (GO:0019752)	196	7	6.87	+	1.02	8.45E-01
regulation of transcription by RNA polymerase II (GO:0006357)	953	34	33.41	+	1.02	9.27E-01
macromolecule metabolic process (GO:0043170)	1963	70	68.82	+	1.02	8.93E-01
biological_process (GO:0008150)	7712	274	270.38	+	1.01	7.54E-01
cell migration (GO:0016477)	169	6	5.93	+	1.01	8.35E-01
positive regulation of signal transduction (GO:0009967)	169	6	5.93	+	1.01	8.35E-01
nucleobase-containing compound biosynthetic process (GO:0034654)	169	6	5.93	+	1.01	8.35E-01
positive regulation of nucleobase-containing compound metabolic process (GO:0045935)	282	10	9.89	+	1.01	8.70E-01
organic acid metabolic process (GO:0006082)	198	7	6.94	+	1.01	8.47E-01
oxoacid metabolic process (GO:0043436)	198	7	6.94	+	1.01	8.47E-01
organonitrogen compound metabolic process (GO:1901564)	1585	56	55.57	+	1.01	9.42E-01
organic substance metabolic process (GO:0071704)	2576	91	90.31	+	1.01	9.52E-01
lipid biosynthetic process (GO:0008610)	170	6	5.96	+	1.01	1.00E00
macromolecule biosynthetic process (GO:0009059)	880	31	30.85	+	1.00	9.24E-01
regulation of gene expression (GO:0010468)	1420	50	49.78	+	1.00	9.39E-01
protein phosphorylation (GO:0006468)	199	7	6.98	+	1.00	1.00E00
positive regulation of cellular metabolic process (GO:0031325)	455	16	15.95	+	1.00	1.00E00
regulation of Wnt signaling pathway (GO:0030111)	57	2	2.00	+	1.00	1.00E00
regulation of MAPK cascade (GO:0043408)	114	4	4.00	+	1.00	1.00E00
amino acid transport (GO:0006865)	57	2	2.00	+	1.00	1.00E00
regulation of metabolic process (GO:0019222)	1772	62	62.13	-	1.00	1.00E00
cellular biosynthetic process (GO:0044249)	1145	40	40.14	-	1.00	1.00E00
transport (GO:0006810)	1231	43	43.16	-	1.00	1.00E00
metabolic process (GO:0008152)	2694	94	94.45	-	1.00	1.00E00
cellular response to oxygen-containing compound (GO:1901701)	86	3	3.02	-	.99	1.00E00
tRNA metabolic process (GO:0006399)	86	3	3.02	-	.99	1.00E00
nervous system development (GO:0007399)	403	14	14.13	-	.99	1.00E00
regulation of macromolecule biosynthetic process (GO:0010556)	1440	50	50.49	-	.99	1.00E00
regulation of cellular biosynthetic process (GO:0031326)	1448	50	50.77	-	.98	1.00E00
calcium ion transmembrane transport (GO:0070588)	58	2	2.03	-	.98	1.00E00
nucleotide biosynthetic process (GO:0009165)	58	2	2.03	-	.98	1.00E00
negative regulation of cell cycle (GO:0045786)	58	2	2.03	-	.98	1.00E00
cell-cell signaling (GO:0007267)	232	8	8.13	-	.98	1.00E00
neural crest cell differentiation (GO:0014033)	29	1	1.02	-	.98	1.00E00
neural crest cell development (GO:0014032)	29	1	1.02	-	.98	1.00E00
carbohydrate derivative catabolic process (GO:1901136)	58	2	2.03	-	.98	1.00E00
multicellular organismal reproductive process (GO:0048609)	29	1	1.02	-	.98	1.00E00
regulation of RNA splicing (GO:0043484)	58	2	2.03	-	.98	1.00E00
organelle localization (GO:0051640)	116	4	4.07	-	.98	1.00E00
proteoglycan metabolic process (GO:0006029)	29	1	1.02	-	.98	1.00E00
multicellular organism reproduction (GO:0032504)	29	1	1.02	-	.98	1.00E00
muscle structure development (GO:0061061)	58	2	2.03	-	.98	1.00E00
stem cell development (GO:0048864)	29	1	1.02	-	.98	1.00E00
stem cell differentiation (GO:0048863)	29	1	1.02	-	.98	1.00E00
protein polymerization (GO:0051258)	29	1	1.02	-	.98	1.00E00
glycolipid biosynthetic process (GO:0009247)	29	1	1.02	-	.98	1.00E00
negative regulation of cellular catabolic process (GO:0031330)	29	1	1.02	-	.98	1.00E00
cell fate commitment (GO:0045165)	58	2	2.03	-	.98	1.00E00
DNA damage response (GO:0006974)	203	7	7.12	-	.98	1.00E00
positive regulation of RNA metabolic process (GO:0051254)	261	9	9.15	-	.98	1.00E00
regulation of biosynthetic process (GO:0009889)	1453	50	50.94	-	.98	9.39E-01
plasma membrane bounded cell projection organization (GO:0120036)	321	11	11.25	-	.98	1.00E00
establishment of protein localization (GO:0045184)	263	9	9.22	-	.98	1.00E00
Unclassified (UNCLASSIFIED)	4182	143	146.62	-	.98	7.54E-01
cell surface receptor signaling pathway (GO:0007166)	439	15	15.39	-	.97	1.00E00
regulation of cellular metabolic process (GO:0031323)	1671	57	58.58	-	.97	8.86E-01
organic substance biosynthetic process (GO:1901576)	1173	40	41.13	-	.97	9.33E-01
animal organ morphogenesis (GO:0009887)	88	3	3.09	-	.97	1.00E00
cellular lipid metabolic process (GO:0044255)	294	10	10.31	-	.97	1.00E00
biosynthetic process (GO:0009058)	1176	40	41.23	-	.97	9.33E-01
regulation of hydrolase activity (GO:0051336)	118	4	4.14	-	.97	1.00E00
nucleoside phosphate biosynthetic process (GO:1901293)	59	2	2.07	-	.97	1.00E00
plasma membrane bounded cell projection assembly (GO:0120031)	118	4	4.14	-	.97	1.00E00
regulation of immune response (GO:0050776)	59	2	2.07	-	.97	1.00E00
primary metabolic process (GO:0044238)	2452	83	85.97	-	.97	7.58E-01
biological regulation (GO:0065007)	3708	125	130.00	-	.96	6.28E-01
small molecule metabolic process (GO:0044281)	386	13	13.53	-	.96	1.00E00
cellular metabolic process (GO:0044237)	2080	70	72.92	-	.96	7.43E-01
cell projection organization (GO:0030030)	327	11	11.46	-	.96	1.00E00
regulation of cellular process (GO:0050794)	3314	111	116.19	-	.96	5.79E-01
nitrogen compound metabolic process (GO:0006807)	2244	75	78.67	-	.95	7.02E-01
immune response-activating cell surface receptor signaling pathway (GO:0002429)	30	1	1.05	-	.95	1.00E00
regulation of proteasomal protein catabolic process (GO:0061136)	30	1	1.05	-	.95	1.00E00
fatty acid catabolic process (GO:0009062)	30	1	1.05	-	.95	1.00E00
regulation of chromosome organization (GO:0033044)	30	1	1.05	-	.95	1.00E00
response to peptide hormone (GO:0043434)	30	1	1.05	-	.95	1.00E00
calcium-mediated signaling (GO:0019722)	30	1	1.05	-	.95	1.00E00
positive regulation of nervous system development (GO:0051962)	30	1	1.05	-	.95	1.00E00
axonogenesis (GO:0007409)	120	4	4.21	-	.95	1.00E00
response to peptide (GO:1901652)	30	1	1.05	-	.95	1.00E00
phosphatidylinositol metabolic process (GO:0046488)	90	3	3.16	-	.95	1.00E00
organic cyclic compound biosynthetic process (GO:1901362)	211	7	7.40	-	.95	1.00E00
cellular nitrogen compound metabolic process (GO:0034641)	997	33	34.95	-	.94	7.88E-01
regulation of biological process (GO:0050789)	3509	116	123.02	-	.94	4.77E-01
lipid metabolic process (GO:0006629)	333	11	11.67	-	.94	1.00E00
phosphorylation (GO:0016310)	212	7	7.43	-	.94	1.00E00
regulation of phosphorus metabolic process (GO:0051174)	182	6	6.38	-	.94	1.00E00
regulation of phosphate metabolic process (GO:0019220)	182	6	6.38	-	.94	1.00E00
dephosphorylation (GO:0016311)	91	3	3.19	-	.94	1.00E00
calcium ion homeostasis (GO:0055074)	61	2	2.14	-	.94	1.00E00
vacuolar transport (GO:0007034)	61	2	2.14	-	.94	1.00E00
lipid modification (GO:0030258)	61	2	2.14	-	.94	1.00E00
nucleobase-containing compound catabolic process (GO:0034655)	92	3	3.23	-	.93	1.00E00
microtubule-based process (GO:0007017)	246	8	8.62	-	.93	1.00E00
mesenchyme development (GO:0060485)	31	1	1.09	-	.92	1.00E00
purine ribonucleotide biosynthetic process (GO:0009152)	31	1	1.09	-	.92	1.00E00
immune response-regulating cell surface receptor signaling pathway (GO:0002768)	31	1	1.09	-	.92	1.00E00
regulation of proteolysis involved in protein catabolic process (GO:1903050)	31	1	1.09	-	.92	1.00E00
alcohol biosynthetic process (GO:0046165)	31	1	1.09	-	.92	1.00E00
amino acid catabolic process (GO:0009063)	31	1	1.09	-	.92	1.00E00
regulation of canonical NF-kappaB signal transduction (GO:0043122)	31	1	1.09	-	.92	1.00E00
adenylate cyclase-activating G protein-coupled receptor signaling pathway (GO:0007189)	62	2	2.17	-	.92	1.00E00
mesenchymal cell differentiation (GO:0048762)	31	1	1.09	-	.92	1.00E00
cell morphogenesis involved in neuron differentiation (GO:0048667)	125	4	4.38	-	.91	1.00E00
inorganic ion homeostasis (GO:0098771)	94	3	3.30	-	.91	1.00E00
nitrogen compound transport (GO:0071705)	345	11	12.10	-	.91	8.82E-01
neuron projection development (GO:0031175)	189	6	6.63	-	.91	1.00E00
vacuole organization (GO:0007033)	63	2	2.21	-	.91	1.00E00
positive regulation of cell communication (GO:0010647)	191	6	6.70	-	.90	1.00E00
positive regulation of signaling (GO:0023056)	191	6	6.70	-	.90	1.00E00
regulation of cellular component organization (GO:0051128)	287	9	10.06	-	.89	8.71E-01
cellular catabolic process (GO:0044248)	287	9	10.06	-	.89	8.71E-01
phospholipid dephosphorylation (GO:0046839)	32	1	1.12	-	.89	1.00E00
cell projection assembly (GO:0030031)	128	4	4.49	-	.89	1.00E00
synapse organization (GO:0050808)	64	2	2.24	-	.89	1.00E00
autophagy (GO:0006914)	64	2	2.24	-	.89	1.00E00
process utilizing autophagic mechanism (GO:0061919)	64	2	2.24	-	.89	1.00E00
cell motility (GO:0048870)	193	6	6.77	-	.89	1.00E00
organelle assembly (GO:0070925)	260	8	9.12	-	.88	8.65E-01
animal organ development (GO:0048513)	293	9	10.27	-	.88	8.72E-01
cell communication (GO:0007154)	1270	39	44.53	-	.88	4.19E-01
signaling (GO:0023052)	1244	38	43.61	-	.87	4.15E-01
microtubule cytoskeleton organization (GO:0000226)	164	5	5.75	-	.87	1.00E00
nucleic acid metabolic process (GO:0090304)	690	21	24.19	-	.87	5.93E-01
gene expression (GO:0010467)	692	21	24.26	-	.87	5.94E-01
cellular response to stimulus (GO:0051716)	1418	43	49.71	-	.86	3.55E-01
response to stimulus (GO:0050896)	1550	47	54.34	-	.86	3.00E-01
striated muscle cell differentiation (GO:0051146)	33	1	1.16	-	.86	1.00E00
chemical synaptic transmission (GO:0007268)	132	4	4.63	-	.86	1.00E00
monocarboxylic acid catabolic process (GO:0072329)	33	1	1.16	-	.86	1.00E00
meiotic nuclear division (GO:0140013)	33	1	1.16	-	.86	1.00E00
mitotic cell cycle phase transition (GO:0044772)	33	1	1.16	-	.86	1.00E00
cell cycle phase transition (GO:0044770)	33	1	1.16	-	.86	1.00E00
anterograde trans-synaptic signaling (GO:0098916)	132	4	4.63	-	.86	1.00E00
positive regulation of cell development (GO:0010720)	33	1	1.16	-	.86	1.00E00
regulation of defense response (GO:0031347)	33	1	1.16	-	.86	1.00E00
defense response to other organism (GO:0098542)	33	1	1.16	-	.86	1.00E00
nucleobase-containing compound metabolic process (GO:0006139)	831	25	29.13	-	.86	4.93E-01
trans-synaptic signaling (GO:0099537)	133	4	4.66	-	.86	1.00E00
establishment of localization in cell (GO:0051649)	499	15	17.49	-	.86	6.19E-01
cellular response to stress (GO:0033554)	333	10	11.67	-	.86	7.62E-01
microtubule-based movement (GO:0007018)	100	3	3.51	-	.86	1.00E00
amino acid metabolic process (GO:0006520)	100	3	3.51	-	.86	1.00E00
heterocycle metabolic process (GO:0046483)	873	26	30.61	-	.85	4.44E-01
cellular aromatic compound metabolic process (GO:0006725)	881	26	30.89	-	.84	3.92E-01
signal transduction (GO:0007165)	1121	33	39.30	-	.84	3.07E-01
cell-cell adhesion via plasma-membrane adhesion molecules (GO:0098742)	68	2	2.38	-	.84	1.00E00
positive regulation of MAPK cascade (GO:0043410)	68	2	2.38	-	.84	1.00E00
response to lipid (GO:0033993)	34	1	1.19	-	.84	1.00E00
muscle cell development (GO:0055001)	34	1	1.19	-	.84	1.00E00
organic cyclic compound metabolic process (GO:1901360)	920	27	32.25	-	.84	4.00E-01
cellular anatomical entity morphogenesis (GO:0032989)	171	5	6.00	-	.83	8.35E-01
response to chemical (GO:0042221)	310	9	10.87	-	.83	7.53E-01
glycerophospholipid biosynthetic process (GO:0046474)	69	2	2.42	-	.83	1.00E00
regulation of transmembrane transport (GO:0034762)	69	2	2.42	-	.83	1.00E00
cell junction organization (GO:0034330)	104	3	3.65	-	.82	1.00E00
response to external stimulus (GO:0009605)	139	4	4.87	-	.82	1.00E00
regulation of cell cycle process (GO:0010564)	105	3	3.68	-	.81	1.00E00
phosphatidylinositol phosphate biosynthetic process (GO:0046854)	35	1	1.23	-	.81	1.00E00
protein N-linked glycosylation (GO:0006487)	35	1	1.23	-	.81	1.00E00
activation of GTPase activity (GO:0090630)	35	1	1.23	-	.81	1.00E00
ERAD pathway (GO:0036503)	35	1	1.23	-	.81	1.00E00
nucleobase-containing small molecule metabolic process (GO:0055086)	141	4	4.94	-	.81	1.00E00
ncRNA metabolic process (GO:0034660)	212	6	7.43	-	.81	7.09E-01
cell morphogenesis (GO:0000902)	177	5	6.21	-	.81	8.36E-01
sulfur compound metabolic process (GO:0006790)	71	2	2.49	-	.80	1.00E00
synaptic signaling (GO:0099536)	142	4	4.98	-	.80	8.20E-01
calcium ion transport (GO:0006816)	71	2	2.49	-	.80	1.00E00
regulation of cell cycle (GO:0051726)	143	4	5.01	-	.80	8.20E-01
phosphate-containing compound metabolic process (GO:0006796)	540	15	18.93	-	.79	4.02E-01
positive regulation of transport (GO:0051050)	36	1	1.26	-	.79	1.00E00
response to abiotic stimulus (GO:0009628)	72	2	2.52	-	.79	1.00E00
glycolipid metabolic process (GO:0006664)	36	1	1.26	-	.79	1.00E00
transition metal ion transport (GO:0000041)	36	1	1.26	-	.79	1.00E00
phosphorus metabolic process (GO:0006793)	543	15	19.04	-	.79	4.03E-01
phospholipid metabolic process (GO:0006644)	145	4	5.08	-	.79	8.20E-01
neuron projection morphogenesis (GO:0048812)	145	4	5.08	-	.79	8.20E-01
response to oxygen-containing compound (GO:1901700)	109	3	3.82	-	.79	1.00E00
intracellular signal transduction (GO:0035556)	327	9	11.46	-	.79	5.43E-01
protein transport (GO:0015031)	218	6	7.64	-	.79	7.09E-01
alpha-amino acid metabolic process (GO:1901605)	73	2	2.56	-	.78	1.00E00
cell projection morphogenesis (GO:0048858)	146	4	5.12	-	.78	8.21E-01
ribonucleotide metabolic process (GO:0009259)	73	2	2.56	-	.78	1.00E00
plasma membrane bounded cell projection morphogenesis (GO:0120039)	146	4	5.12	-	.78	8.21E-01
organophosphate biosynthetic process (GO:0090407)	147	4	5.15	-	.78	8.21E-01
positive regulation of molecular function (GO:0044093)	184	5	6.45	-	.78	6.89E-01
cellular response to chemical stimulus (GO:0070887)	222	6	7.78	-	.77	7.11E-01
immune system process (GO:0002376)	111	3	3.89	-	.77	1.00E00
microtubule cytoskeleton organization involved in mitosis (GO:1902850)	37	1	1.30	-	.77	1.00E00
positive regulation of macromolecule biosynthetic process (GO:0010557)	296	8	10.38	-	.77	6.29E-01
liposaccharide metabolic process (GO:1903509)	37	1	1.30	-	.77	1.00E00
mitotic sister chromatid segregation (GO:0000070)	37	1	1.30	-	.77	1.00E00
regulation of system process (GO:0044057)	37	1	1.30	-	.77	1.00E00
negative regulation of biological process (GO:0048519)	741	20	25.98	-	.77	2.56E-01
cellular component biogenesis (GO:0044085)	631	17	22.12	-	.77	3.16E-01
intracellular transport (GO:0046907)	413	11	14.48	-	.76	4.14E-01
positive regulation of cellular biosynthetic process (GO:0031328)	301	8	10.55	-	.76	5.25E-01
regulation of molecular function (GO:0065009)	339	9	11.89	-	.76	4.56E-01
positive regulation of biosynthetic process (GO:0009891)	302	8	10.59	-	.76	5.25E-01
positive regulation of DNA-templated transcription (GO:0045893)	227	6	7.96	-	.75	5.86E-01
positive regulation of RNA biosynthetic process (GO:1902680)	227	6	7.96	-	.75	5.86E-01
signal release (GO:0023061)	38	1	1.33	-	.75	1.00E00
RNA modification (GO:0009451)	76	2	2.66	-	.75	1.00E00
proteinogenic amino acid metabolic process (GO:0170039)	38	1	1.33	-	.75	1.00E00
intracellular signaling cassette (GO:0141124)	152	4	5.33	-	.75	8.22E-01
cellular component assembly (GO:0022607)	534	14	18.72	-	.75	3.34E-01
positive regulation of catalytic activity (GO:0043085)	153	4	5.36	-	.75	8.23E-01
regulation of cytoskeleton organization (GO:0051493)	115	3	4.03	-	.74	8.00E-01
negative regulation of gene expression (GO:0010629)	115	3	4.03	-	.74	8.00E-01
negative regulation of cellular process (GO:0048523)	693	18	24.30	-	.74	2.02E-01
organic hydroxy compound metabolic process (GO:1901615)	77	2	2.70	-	.74	1.00E00
tRNA modification (GO:0006400)	39	1	1.37	-	.73	1.00E00
skeletal system development (GO:0001501)	39	1	1.37	-	.73	1.00E00
glycerophospholipid metabolic process (GO:0006650)	118	3	4.14	-	.73	8.01E-01
response to growth factor (GO:0070848)	79	2	2.77	-	.72	1.00E00
phospholipid biosynthetic process (GO:0008654)	79	2	2.77	-	.72	1.00E00
glycerolipid biosynthetic process (GO:0045017)	79	2	2.77	-	.72	1.00E00
ribose phosphate metabolic process (GO:0019693)	79	2	2.77	-	.72	1.00E00
cellular response to growth factor stimulus (GO:0071363)	79	2	2.77	-	.72	1.00E00
G protein-coupled receptor signaling pathway (GO:0007186)	238	6	8.34	-	.72	5.90E-01
regulation of transmembrane transporter activity (GO:0022898)	40	1	1.40	-	.71	1.00E00
regulation of transport (GO:0051049)	160	4	5.61	-	.71	6.64E-01
RNA methylation (GO:0001510)	40	1	1.40	-	.71	1.00E00
muscle cell differentiation (GO:0042692)	40	1	1.40	-	.71	1.00E00
ribosomal large subunit biogenesis (GO:0042273)	40	1	1.40	-	.71	1.00E00
positive regulation of proteolysis (GO:0045862)	40	1	1.40	-	.71	1.00E00
spindle organization (GO:0007051)	40	1	1.40	-	.71	1.00E00
Golgi organization (GO:0007030)	40	1	1.40	-	.71	1.00E00
regulation of monoatomic ion transmembrane transporter activity (GO:0032412)	40	1	1.40	-	.71	1.00E00
ribosome biogenesis (GO:0042254)	121	3	4.24	-	.71	8.02E-01
rRNA processing (GO:0006364)	81	2	2.84	-	.70	1.00E00
regulation of localization (GO:0032879)	204	5	7.15	-	.70	5.63E-01
cytokine-mediated signaling pathway (GO:0019221)	41	1	1.44	-	.70	1.00E00
sister chromatid segregation (GO:0000819)	41	1	1.44	-	.70	1.00E00
cell-cell junction organization (GO:0045216)	41	1	1.44	-	.70	1.00E00
regulation of canonical Wnt signaling pathway (GO:0060828)	41	1	1.44	-	.70	1.00E00
intracellular protein transport (GO:0006886)	166	4	5.82	-	.69	6.67E-01
ribonucleoprotein complex biogenesis (GO:0022613)	167	4	5.85	-	.68	6.68E-01
RNA metabolic process (GO:0016070)	460	11	16.13	-	.68	2.42E-01
organic hydroxy compound biosynthetic process (GO:1901617)	42	1	1.47	-	.68	1.00E00
amino acid transmembrane transport (GO:0003333)	42	1	1.47	-	.68	1.00E00
regulation of transporter activity (GO:0032409)	42	1	1.47	-	.68	1.00E00
transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169)	169	4	5.93	-	.68	5.31E-01
ncRNA processing (GO:0034470)	171	4	6.00	-	.67	5.31E-01
meiotic cell cycle process (GO:1903046)	43	1	1.51	-	.66	1.00E00
response to organonitrogen compound (GO:0010243)	86	2	3.02	-	.66	7.71E-01
regulation of secretion (GO:0051046)	43	1	1.51	-	.66	1.00E00
positive regulation of intracellular signal transduction (GO:1902533)	130	3	4.56	-	.66	6.32E-01
regulation of catalytic activity (GO:0050790)	262	6	9.19	-	.65	3.92E-01
ribosomal small subunit biogenesis (GO:0042274)	44	1	1.54	-	.65	1.00E00
vesicle-mediated transport (GO:0016192)	444	10	15.57	-	.64	1.86E-01
glycerolipid metabolic process (GO:0046486)	135	3	4.73	-	.63	6.34E-01
protein localization to plasma membrane (GO:0072659)	45	1	1.58	-	.63	1.00E00
regulation of monoatomic cation transmembrane transport (GO:1904062)	45	1	1.58	-	.63	1.00E00
adenylate cyclase-modulating G protein-coupled receptor signaling pathway (GO:0007188)	90	2	3.16	-	.63	7.72E-01
rRNA metabolic process (GO:0016072)	90	2	3.16	-	.63	7.72E-01
cellular response to cytokine stimulus (GO:0071345)	45	1	1.58	-	.63	1.00E00
organophosphate metabolic process (GO:0019637)	271	6	9.50	-	.63	3.14E-01
purine nucleotide biosynthetic process (GO:0006164)	46	1	1.61	-	.62	1.00E00
sensory organ development (GO:0007423)	46	1	1.61	-	.62	1.00E00
cellular response to organonitrogen compound (GO:0071417)	46	1	1.61	-	.62	1.00E00
L-amino acid metabolic process (GO:0170033)	47	1	1.65	-	.61	1.00E00
regulation of microtubule-based process (GO:0032886)	47	1	1.65	-	.61	1.00E00
cellular modified amino acid metabolic process (GO:0006575)	47	1	1.65	-	.61	1.00E00
regulation of organelle organization (GO:0033043)	191	4	6.70	-	.60	4.23E-01
positive regulation of organelle organization (GO:0010638)	48	1	1.68	-	.59	1.00E00
regulation of protein serine/threonine kinase activity (GO:0071900)	48	1	1.68	-	.59	1.00E00
membrane fusion (GO:0061025)	49	1	1.72	-	.58	1.00E00
non-membrane-bounded organelle assembly (GO:0140694)	99	2	3.47	-	.58	5.87E-01
transport along microtubule (GO:0010970)	51	1	1.79	-	.56	1.00E00
meiotic cell cycle (GO:0051321)	51	1	1.79	-	.56	1.00E00
purine-containing compound biosynthetic process (GO:0072522)	51	1	1.79	-	.56	1.00E00
enzyme-linked receptor protein signaling pathway (GO:0007167)	206	4	7.22	-	.55	3.34E-01
regulation of metal ion transport (GO:0010959)	52	1	1.82	-	.55	1.00E00
protein localization to cell periphery (GO:1990778)	52	1	1.82	-	.55	1.00E00
response to cytokine (GO:0034097)	52	1	1.82	-	.55	1.00E00
positive regulation of cell differentiation (GO:0045597)	52	1	1.82	-	.55	1.00E00
mitochondrion organization (GO:0007005)	104	2	3.65	-	.55	5.89E-01
protein-containing complex organization (GO:0043933)	314	6	11.01	-	.55	1.58E-01
nucleotide metabolic process (GO:0009117)	105	2	3.68	-	.54	5.90E-01
cellular response to organic substance (GO:0071310)	159	3	5.57	-	.54	3.82E-01
tRNA processing (GO:0008033)	53	1	1.86	-	.54	1.00E00
microtubule-based transport (GO:0099111)	53	1	1.86	-	.54	1.00E00
macromolecule methylation (GO:0043414)	54	1	1.89	-	.53	1.00E00
methylation (GO:0032259)	54	1	1.89	-	.53	1.00E00
cellular response to endogenous stimulus (GO:0071495)	163	3	5.71	-	.52	3.85E-01
mRNA metabolic process (GO:0016071)	163	3	5.71	-	.52	3.85E-01
response to nitrogen compound (GO:1901698)	109	2	3.82	-	.52	5.94E-01
immune response (GO:0006955)	55	1	1.93	-	.52	1.00E00
nucleoside phosphate metabolic process (GO:0006753)	113	2	3.96	-	.50	4.42E-01
