PANTHER GO-Slim Biological Process	background_genes.cra_all.raisd.txt - REFLIST (11273)	(136)	(expected)	(over/under)	(fold Enrichment)	P-value
filopodium assembly (GO:0046847)	3	0	.04	-	 < 0.01	1.00E00
cytoplasmic pattern recognition receptor signaling pathway (GO:0002753)	4	0	.05	-	 < 0.01	1.00E00
positive regulation of cell communication (GO:0010647)	183	0	2.21	-	 < 0.01	1.77E-01
skin development (GO:0043588)	3	0	.04	-	 < 0.01	1.00E00
regulation of cell communication (GO:0010646)	501	0	6.04	-	 < 0.01	4.86E-03
purine nucleoside monophosphate metabolic process (GO:0009126)	13	0	.16	-	 < 0.01	1.00E00
ear development (GO:0043583)	2	0	.02	-	 < 0.01	1.00E00
regulation of amide metabolic process (GO:0034248)	48	0	.58	-	 < 0.01	1.00E00
response to hypoxia (GO:0001666)	16	0	.19	-	 < 0.01	1.00E00
nucleoside monophosphate metabolic process (GO:0009123)	16	0	.19	-	 < 0.01	1.00E00
meiotic DNA double-strand break formation (GO:0042138)	3	0	.04	-	 < 0.01	1.00E00
regulation of transforming growth factor beta receptor signaling pathway (GO:0017015)	8	0	.10	-	 < 0.01	1.00E00
cell recognition (GO:0008037)	14	0	.17	-	 < 0.01	1.00E00
potassium ion import across plasma membrane (GO:1990573)	29	0	.35	-	 < 0.01	1.00E00
mitotic cell cycle process (GO:1903047)	123	0	1.48	-	 < 0.01	4.08E-01
negative regulation of T cell proliferation (GO:0042130)	2	0	.02	-	 < 0.01	1.00E00
meiotic cell cycle process (GO:1903046)	41	0	.49	-	 < 0.01	1.00E00
V(D)J recombination (GO:0033151)	2	0	.02	-	 < 0.01	1.00E00
hippo signaling (GO:0035329)	15	0	.18	-	 < 0.01	1.00E00
phospholipid dephosphorylation (GO:0046839)	31	0	.37	-	 < 0.01	1.00E00
negative regulation of organelle organization (GO:0010639)	50	0	.60	-	 < 0.01	1.00E00
carbohydrate phosphorylation (GO:0046835)	5	0	.06	-	 < 0.01	1.00E00
nucleoside metabolic process (GO:0009116)	14	0	.17	-	 < 0.01	1.00E00
cellular response to oxidative stress (GO:0034599)	9	0	.11	-	 < 0.01	1.00E00
regulation of T cell proliferation (GO:0042129)	3	0	.04	-	 < 0.01	1.00E00
eye development (GO:0001654)	28	0	.34	-	 < 0.01	1.00E00
calcium ion import (GO:0070509)	11	0	.13	-	 < 0.01	1.00E00
regulation of cell population proliferation (GO:0042127)	88	0	1.06	-	 < 0.01	6.29E-01
cytochrome complex assembly (GO:0017004)	2	0	.02	-	 < 0.01	1.00E00
nuclear chromosome segregation (GO:0098813)	50	0	.60	-	 < 0.01	1.00E00
negative regulation of Notch signaling pathway (GO:0045746)	3	0	.04	-	 < 0.01	1.00E00
regulation of microtubule cytoskeleton organization (GO:0070507)	28	0	.34	-	 < 0.01	1.00E00
positive regulation of leukocyte cell-cell adhesion (GO:1903039)	3	0	.04	-	 < 0.01	1.00E00
negative regulation of leukocyte cell-cell adhesion (GO:1903038)	4	0	.05	-	 < 0.01	1.00E00
regulation of leukocyte cell-cell adhesion (GO:1903037)	6	0	.07	-	 < 0.01	1.00E00
sperm motility (GO:0097722)	1	0	.01	-	 < 0.01	1.00E00
regulation of endopeptidase activity (GO:0052548)	41	0	.49	-	 < 0.01	1.00E00
regulation of peptidase activity (GO:0052547)	42	0	.51	-	 < 0.01	1.00E00
positive regulation of gene expression (GO:0010628)	64	0	.77	-	 < 0.01	1.00E00
response to external biotic stimulus (GO:0043207)	39	0	.47	-	 < 0.01	1.00E00
oligopeptide transmembrane transport (GO:0035672)	2	0	.02	-	 < 0.01	1.00E00
osteoblast differentiation (GO:0001649)	5	0	.06	-	 < 0.01	1.00E00
neutrophil activation (GO:0042119)	1	0	.01	-	 < 0.01	1.00E00
positive regulation of DNA repair (GO:0045739)	9	0	.11	-	 < 0.01	1.00E00
piRNA processing (GO:0034587)	5	0	.06	-	 < 0.01	1.00E00
negative regulation of DNA repair (GO:0045738)	5	0	.06	-	 < 0.01	1.00E00
macrophage activation (GO:0042116)	1	0	.01	-	 < 0.01	1.00E00
odontogenesis (GO:0042476)	2	0	.02	-	 < 0.01	1.00E00
odontogenesis of dentin-containing tooth (GO:0042475)	2	0	.02	-	 < 0.01	1.00E00
positive regulation of protein catabolic process (GO:0045732)	22	0	.27	-	 < 0.01	1.00E00
regulation of heart contraction (GO:0008016)	16	0	.19	-	 < 0.01	1.00E00
blood circulation (GO:0008015)	35	0	.42	-	 < 0.01	1.00E00
T cell activation (GO:0042110)	7	0	.08	-	 < 0.01	1.00E00
inner ear morphogenesis (GO:0042472)	2	0	.02	-	 < 0.01	1.00E00
chromosome localization (GO:0050000)	13	0	.16	-	 < 0.01	1.00E00
vesicle targeting, trans-Golgi to periciliary membrane compartment (GO:0097712)	1	0	.01	-	 < 0.01	1.00E00
protein localization to cilium (GO:0061512)	13	0	.16	-	 < 0.01	1.00E00
centriole elongation (GO:0061511)	1	0	.01	-	 < 0.01	1.00E00
antigen processing and presentation (GO:0019882)	3	0	.04	-	 < 0.01	1.00E00
sperm axoneme assembly (GO:0007288)	1	0	.01	-	 < 0.01	1.00E00
cardiolipin biosynthetic process (GO:0032049)	2	0	.02	-	 < 0.01	1.00E00
epithelium development (GO:0060429)	33	0	.40	-	 < 0.01	1.00E00
spermatid development (GO:0007286)	4	0	.05	-	 < 0.01	1.00E00
regulation of dephosphorylation (GO:0035303)	8	0	.10	-	 < 0.01	1.00E00
spermatogenesis (GO:0007283)	16	0	.19	-	 < 0.01	1.00E00
germ cell development (GO:0007281)	16	0	.19	-	 < 0.01	1.00E00
mitochondrial DNA metabolic process (GO:0032042)	4	0	.05	-	 < 0.01	1.00E00
regulation of neuron projection development (GO:0010975)	36	0	.43	-	 < 0.01	1.00E00
carbohydrate transmembrane transport (GO:0034219)	7	0	.08	-	 < 0.01	1.00E00
negative regulation of G2/M transition of mitotic cell cycle (GO:0010972)	13	0	.16	-	 < 0.01	1.00E00
regulation of meiotic cell cycle (GO:0051445)	10	0	.12	-	 < 0.01	1.00E00
transport along microtubule (GO:0010970)	50	0	.60	-	 < 0.01	1.00E00
purine nucleotide catabolic process (GO:0006195)	17	0	.21	-	 < 0.01	1.00E00
positive regulation of translation (GO:0045727)	17	0	.21	-	 < 0.01	1.00E00
signal release (GO:0023061)	37	0	.45	-	 < 0.01	1.00E00
RNA modification (GO:0009451)	74	0	.89	-	 < 0.01	1.00E00
response to growth factor (GO:0070848)	75	0	.90	-	 < 0.01	1.00E00
positive regulation of T cell proliferation (GO:0042102)	2	0	.02	-	 < 0.01	1.00E00
mitochondrial transmembrane transport (GO:1990542)	36	0	.43	-	 < 0.01	1.00E00
eye photoreceptor cell development (GO:0042462)	1	0	.01	-	 < 0.01	1.00E00
regulation of cell size (GO:0008361)	12	0	.14	-	 < 0.01	1.00E00
regulation of cell shape (GO:0008360)	26	0	.31	-	 < 0.01	1.00E00
regulation of natural killer cell mediated immunity (GO:0002715)	2	0	.02	-	 < 0.01	1.00E00
gamete generation (GO:0007276)	26	0	.31	-	 < 0.01	1.00E00
neuromuscular synaptic transmission (GO:0007274)	10	0	.12	-	 < 0.01	1.00E00
positive regulation of GTPase activity (GO:0043547)	46	0	.55	-	 < 0.01	1.00E00
regulation of mitotic sister chromatid separation (GO:0010965)	14	0	.17	-	 < 0.01	1.00E00
negative regulation of signaling (GO:0023057)	154	0	1.86	-	 < 0.01	2.68E-01
DNA geometric change (GO:0032392)	12	0	.14	-	 < 0.01	1.00E00
protein acylation (GO:0043543)	27	0	.33	-	 < 0.01	1.00E00
positive regulation of signaling (GO:0023056)	183	0	2.21	-	 < 0.01	1.77E-01
endothelial cell migration (GO:0043542)	4	0	.05	-	 < 0.01	1.00E00
IMP biosynthetic process (GO:0006188)	6	0	.07	-	 < 0.01	1.00E00
regulation of transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0090092)	32	0	.39	-	 < 0.01	1.00E00
negative regulation of canonical Wnt signaling pathway (GO:0090090)	15	0	.18	-	 < 0.01	1.00E00
lipid translocation (GO:0034204)	22	0	.27	-	 < 0.01	1.00E00
regulation of signaling (GO:0023051)	505	0	6.09	-	 < 0.01	3.00E-03
cGMP biosynthetic process (GO:0006182)	3	0	.04	-	 < 0.01	1.00E00
response to organic cyclic compound (GO:0014070)	27	0	.33	-	 < 0.01	1.00E00
neurotransmitter secretion (GO:0007269)	32	0	.39	-	 < 0.01	1.00E00
negative regulation of macroautophagy (GO:0016242)	4	0	.05	-	 < 0.01	1.00E00
regulation of macroautophagy (GO:0016241)	15	0	.18	-	 < 0.01	1.00E00
regulation of lymphocyte mediated immunity (GO:0002706)	4	0	.05	-	 < 0.01	1.00E00
Rho protein signal transduction (GO:0007266)	21	0	.25	-	 < 0.01	1.00E00
Ras protein signal transduction (GO:0007265)	25	0	.30	-	 < 0.01	1.00E00
regulation of response to endoplasmic reticulum stress (GO:1905897)	6	0	.07	-	 < 0.01	1.00E00
regulation of leukocyte mediated immunity (GO:0002703)	4	0	.05	-	 < 0.01	1.00E00
small GTPase-mediated signal transduction (GO:0007264)	58	0	.70	-	 < 0.01	1.00E00
regulation of metal ion transport (GO:0010959)	48	0	.58	-	 < 0.01	1.00E00
regulation of chromatin organization (GO:1902275)	4	0	.05	-	 < 0.01	1.00E00
regulation of peptide transport (GO:0090087)	3	0	.04	-	 < 0.01	1.00E00
tyrosine phosphorylation of STAT protein (GO:0007260)	1	0	.01	-	 < 0.01	1.00E00
positive regulation of peptidase activity (GO:0010952)	20	0	.24	-	 < 0.01	1.00E00
negative regulation of endopeptidase activity (GO:0010951)	22	0	.27	-	 < 0.01	1.00E00
positive regulation of endopeptidase activity (GO:0010950)	19	0	.23	-	 < 0.01	1.00E00
negative regulation of nuclear division (GO:0051784)	13	0	.16	-	 < 0.01	1.00E00
replication fork processing (GO:0031297)	14	0	.17	-	 < 0.01	1.00E00
regulation of nuclear division (GO:0051783)	25	0	.30	-	 < 0.01	1.00E00
regulation of ERBB signaling pathway (GO:1901184)	11	0	.13	-	 < 0.01	1.00E00
hormone biosynthetic process (GO:0042446)	1	0	.01	-	 < 0.01	1.00E00
positive regulation of cell division (GO:0051781)	2	0	.02	-	 < 0.01	1.00E00
mitochondrial respiratory chain complex III assembly (GO:0034551)	1	0	.01	-	 < 0.01	1.00E00
mitochondrial respiratory chain complex assembly (GO:0033108)	10	0	.12	-	 < 0.01	1.00E00
positive regulation of macroautophagy (GO:0016239)	10	0	.12	-	 < 0.01	1.00E00
pigment metabolic process (GO:0042440)	13	0	.16	-	 < 0.01	1.00E00
microautophagy (GO:0016237)	16	0	.19	-	 < 0.01	1.00E00
antimicrobial humoral immune response mediated by antimicrobial peptide (GO:0061844)	1	0	.01	-	 < 0.01	1.00E00
receptor signaling pathway via JAK-STAT (GO:0007259)	5	0	.06	-	 < 0.01	1.00E00
JNK cascade (GO:0007254)	6	0	.07	-	 < 0.01	1.00E00
negative regulation of cell cycle process (GO:0010948)	47	0	.57	-	 < 0.01	1.00E00
positive regulation of protein serine/threonine kinase activity (GO:0071902)	12	0	.14	-	 < 0.01	1.00E00
regulation of protein serine/threonine kinase activity (GO:0071900)	49	0	.59	-	 < 0.01	1.00E00
positive regulation of cytokine-mediated signaling pathway (GO:0001961)	3	0	.04	-	 < 0.01	1.00E00
positive regulation of cyclase activity (GO:0031281)	9	0	.11	-	 < 0.01	1.00E00
acetylcholine receptor signaling pathway (GO:0095500)	19	0	.23	-	 < 0.01	1.00E00
snRNA transcription by RNA polymerase II (GO:0042795)	3	0	.04	-	 < 0.01	1.00E00
negative regulation of cyclase activity (GO:0031280)	2	0	.02	-	 < 0.01	1.00E00
collagen fibril organization (GO:0030199)	9	0	.11	-	 < 0.01	1.00E00
endosome to lysosome transport (GO:0008333)	14	0	.17	-	 < 0.01	1.00E00
iron-sulfur cluster assembly (GO:0016226)	8	0	.10	-	 < 0.01	1.00E00
nucleolar large rRNA transcription by RNA polymerase I (GO:0042790)	5	0	.06	-	 < 0.01	1.00E00
canonical NF-kappaB signal transduction (GO:0007249)	3	0	.04	-	 < 0.01	1.00E00
positive regulation of TOR signaling (GO:0032008)	15	0	.18	-	 < 0.01	1.00E00
negative regulation of TOR signaling (GO:0032007)	10	0	.12	-	 < 0.01	1.00E00
non-motile cilium assembly (GO:1905515)	14	0	.17	-	 < 0.01	1.00E00
regulation of TOR signaling (GO:0032006)	28	0	.34	-	 < 0.01	1.00E00
intracellular sterol transport (GO:0032366)	3	0	.04	-	 < 0.01	1.00E00
intracellular lipid transport (GO:0032365)	5	0	.06	-	 < 0.01	1.00E00
positive regulation of cell cycle process (GO:0090068)	22	0	.27	-	 < 0.01	1.00E00
regulation of anatomical structure size (GO:0090066)	63	0	.76	-	 < 0.01	1.00E00
response to light stimulus (GO:0009416)	24	0	.29	-	 < 0.01	1.00E00
regulation of cyclase activity (GO:0031279)	12	0	.14	-	 < 0.01	1.00E00
neuron apoptotic process (GO:0051402)	4	0	.05	-	 < 0.01	1.00E00
response to UV (GO:0009411)	7	0	.08	-	 < 0.01	1.00E00
purine nucleoside catabolic process (GO:0006152)	3	0	.04	-	 < 0.01	1.00E00
regulation of cell-matrix adhesion (GO:0001952)	4	0	.05	-	 < 0.01	1.00E00
positive regulation of epithelial cell proliferation (GO:0050679)	7	0	.08	-	 < 0.01	1.00E00
protein deubiquitination (GO:0016579)	55	0	.66	-	 < 0.01	1.00E00
tRNA 3'-end processing (GO:0042780)	1	0	.01	-	 < 0.01	1.00E00
epithelial cell proliferation (GO:0050673)	1	0	.01	-	 < 0.01	1.00E00
regulation of lymphocyte proliferation (GO:0050670)	5	0	.06	-	 < 0.01	1.00E00
cellular component assembly involved in morphogenesis (GO:0010927)	22	0	.27	-	 < 0.01	1.00E00
developmental pigmentation (GO:0048066)	6	0	.07	-	 < 0.01	1.00E00
response to cold (GO:0009409)	1	0	.01	-	 < 0.01	1.00E00
response to heat (GO:0009408)	11	0	.13	-	 < 0.01	1.00E00
regulation of phosphatase activity (GO:0010921)	5	0	.06	-	 < 0.01	1.00E00
vasculature development (GO:0001944)	36	0	.43	-	 < 0.01	1.00E00
mitochondrial ATP synthesis coupled electron transport (GO:0042775)	6	0	.07	-	 < 0.01	1.00E00
ATP synthesis coupled electron transport (GO:0042773)	6	0	.07	-	 < 0.01	1.00E00
negative regulation of Wnt signaling pathway (GO:0030178)	28	0	.34	-	 < 0.01	1.00E00
intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator (GO:0042771)	3	0	.04	-	 < 0.01	1.00E00
positive regulation of Wnt signaling pathway (GO:0030177)	22	0	.27	-	 < 0.01	1.00E00
signal transduction in response to DNA damage (GO:0042770)	20	0	.24	-	 < 0.01	1.00E00
integrin-mediated signaling pathway (GO:0007229)	23	0	.28	-	 < 0.01	1.00E00
digestion (GO:0007586)	1	0	.01	-	 < 0.01	1.00E00
cellular response to topologically incorrect protein (GO:0035967)	26	0	.31	-	 < 0.01	1.00E00
response to topologically incorrect protein (GO:0035966)	26	0	.31	-	 < 0.01	1.00E00
hormone-mediated signaling pathway (GO:0009755)	22	0	.27	-	 < 0.01	1.00E00
endothelial cell proliferation (GO:0001935)	1	0	.01	-	 < 0.01	1.00E00
positive regulation of protein phosphorylation (GO:0001934)	66	0	.80	-	 < 0.01	1.00E00
negative regulation of protein phosphorylation (GO:0001933)	32	0	.39	-	 < 0.01	1.00E00
regulation of protein phosphorylation (GO:0001932)	121	0	1.46	-	 < 0.01	4.08E-01
protein O-linked glycosylation (GO:0006493)	39	0	.47	-	 < 0.01	1.00E00
RNA transport (GO:0050658)	35	0	.42	-	 < 0.01	1.00E00
nucleic acid transport (GO:0050657)	35	0	.42	-	 < 0.01	1.00E00
protein import into peroxisome matrix (GO:0016558)	11	0	.13	-	 < 0.01	1.00E00
isoprenoid catabolic process (GO:0008300)	4	0	.05	-	 < 0.01	1.00E00
mRNA modification (GO:0016556)	8	0	.10	-	 < 0.01	1.00E00
chondroitin sulfate proteoglycan biosynthetic process (GO:0050650)	10	0	.12	-	 < 0.01	1.00E00
Notch signaling pathway (GO:0007219)	22	0	.27	-	 < 0.01	1.00E00
regulation of proteolysis (GO:0030162)	73	0	.88	-	 < 0.01	1.00E00
glutamate receptor signaling pathway (GO:0007215)	9	0	.11	-	 < 0.01	1.00E00
dopamine receptor signaling pathway (GO:0007212)	6	0	.07	-	 < 0.01	1.00E00
response to glucose (GO:0009749)	4	0	.05	-	 < 0.01	1.00E00
protein N-linked glycosylation (GO:0006487)	34	0	.41	-	 < 0.01	1.00E00
protein glycosylation (GO:0006486)	86	0	1.04	-	 < 0.01	6.29E-01
carbohydrate derivative catabolic process (GO:1901136)	56	0	.68	-	 < 0.01	1.00E00
mitochondrial electron transport, succinate to ubiquinone (GO:0006121)	1	0	.01	-	 < 0.01	1.00E00
mitochondrial electron transport, NADH to ubiquinone (GO:0006120)	3	0	.04	-	 < 0.01	1.00E00
protein localization to kinetochore (GO:0034501)	5	0	.06	-	 < 0.01	1.00E00
regulation of circadian rhythm (GO:0042752)	8	0	.10	-	 < 0.01	1.00E00
amino acid biosynthetic process (GO:0008652)	22	0	.27	-	 < 0.01	1.00E00
protein import into mitochondrial matrix (GO:0030150)	10	0	.12	-	 < 0.01	1.00E00
alanine transport (GO:0032328)	3	0	.04	-	 < 0.01	1.00E00
positive regulation of cytosolic calcium ion concentration (GO:0007204)	18	0	.22	-	 < 0.01	1.00E00
phospholipase C-activating G protein-coupled receptor signaling pathway (GO:0007200)	25	0	.30	-	 < 0.01	1.00E00
oxidative phosphorylation (GO:0006119)	6	0	.07	-	 < 0.01	1.00E00
protein acetylation (GO:0006473)	5	0	.06	-	 < 0.01	1.00E00
regulation of leukocyte mediated cytotoxicity (GO:0001910)	2	0	.02	-	 < 0.01	1.00E00
protein dephosphorylation (GO:0006470)	48	0	.58	-	 < 0.01	1.00E00
sphingolipid catabolic process (GO:0030149)	10	0	.12	-	 < 0.01	1.00E00
defense response to bacterium (GO:0042742)	5	0	.06	-	 < 0.01	1.00E00
sphingolipid biosynthetic process (GO:0030148)	37	0	.45	-	 < 0.01	1.00E00
carbohydrate transport (GO:0008643)	7	0	.08	-	 < 0.01	1.00E00
negative regulation of protein kinase activity (GO:0006469)	30	0	.36	-	 < 0.01	1.00E00
response to hormone (GO:0009725)	70	0	.84	-	 < 0.01	1.00E00
signal peptide processing (GO:0006465)	4	0	.05	-	 < 0.01	1.00E00
sister chromatid segregation (GO:0000819)	38	0	.46	-	 < 0.01	1.00E00
apoptotic mitochondrial changes (GO:0008637)	10	0	.12	-	 < 0.01	1.00E00
proteinogenic amino acid metabolic process (GO:0170039)	37	0	.45	-	 < 0.01	1.00E00
proteinogenic amino acid biosynthetic process (GO:0170038)	20	0	.24	-	 < 0.01	1.00E00
negative regulation of angiogenesis (GO:0016525)	8	0	.10	-	 < 0.01	1.00E00
detection of mechanical stimulus (GO:0050982)	7	0	.08	-	 < 0.01	1.00E00
intrinsic apoptotic signaling pathway in response to DNA damage (GO:0008630)	11	0	.13	-	 < 0.01	1.00E00
L-amino acid biosynthetic process (GO:0170034)	20	0	.24	-	 < 0.01	1.00E00
L-amino acid metabolic process (GO:0170033)	46	0	.55	-	 < 0.01	1.00E00
negative regulation of chromosome separation (GO:1905819)	9	0	.11	-	 < 0.01	1.00E00
sex differentiation (GO:0007548)	4	0	.05	-	 < 0.01	1.00E00
regulation of chromosome separation (GO:1905818)	14	0	.17	-	 < 0.01	1.00E00
maturation of SSU-rRNA (GO:0030490)	26	0	.31	-	 < 0.01	1.00E00
response to endogenous stimulus (GO:0009719)	166	0	2.00	-	 < 0.01	2.72E-01
response to other organism (GO:0051707)	39	0	.47	-	 < 0.01	1.00E00
'de novo' protein folding (GO:0006458)	8	0	.10	-	 < 0.01	1.00E00
protein folding (GO:0006457)	88	0	1.06	-	 < 0.01	6.29E-01
vascular endothelial growth factor receptor signaling pathway (GO:0048010)	9	0	.11	-	 < 0.01	1.00E00
biological process involved in interaction with host (GO:0051701)	1	0	.01	-	 < 0.01	1.00E00
RNA decapping (GO:0110154)	8	0	.10	-	 < 0.01	1.00E00
biomineral tissue development (GO:0031214)	4	0	.05	-	 < 0.01	1.00E00
mitotic intra-S DNA damage checkpoint signaling (GO:0031573)	4	0	.05	-	 < 0.01	1.00E00
DNA integrity checkpoint signaling (GO:0031570)	22	0	.27	-	 < 0.01	1.00E00
extrinsic apoptotic signaling pathway via death domain receptors (GO:0008625)	3	0	.04	-	 < 0.01	1.00E00
tRNA methylation (GO:0030488)	17	0	.21	-	 < 0.01	1.00E00
insulin-like growth factor receptor signaling pathway (GO:0048009)	4	0	.05	-	 < 0.01	1.00E00
regulation of translational initiation (GO:0006446)	10	0	.12	-	 < 0.01	1.00E00
nucleotide-sugar transmembrane transport (GO:0015780)	4	0	.05	-	 < 0.01	1.00E00
tRNA wobble uridine modification (GO:0002098)	6	0	.07	-	 < 0.01	1.00E00
regulation of Wnt signaling pathway (GO:0030111)	55	0	.66	-	 < 0.01	1.00E00
positive regulation of intracellular signal transduction (GO:1902533)	125	0	1.51	-	 < 0.01	4.09E-01
negative regulation of intracellular signal transduction (GO:1902532)	57	0	.69	-	 < 0.01	1.00E00
regulation of intracellular signal transduction (GO:1902531)	238	0	2.87	-	 < 0.01	1.22E-01
attachment of spindle microtubules to kinetochore (GO:0008608)	7	0	.08	-	 < 0.01	1.00E00
lens development in camera-type eye (GO:0002088)	16	0	.19	-	 < 0.01	1.00E00
organelle transport along microtubule (GO:0072384)	25	0	.30	-	 < 0.01	1.00E00
sensory perception of mechanical stimulus (GO:0050954)	9	0	.11	-	 < 0.01	1.00E00
skeletal muscle tissue development (GO:0007519)	13	0	.16	-	 < 0.01	1.00E00
regulation of endocytosis (GO:0030100)	19	0	.23	-	 < 0.01	1.00E00
muscle organ development (GO:0007517)	18	0	.22	-	 < 0.01	1.00E00
positive regulation of innate immune response (GO:0045089)	18	0	.22	-	 < 0.01	1.00E00
positive regulation of cysteine-type endopeptidase activity (GO:2001056)	17	0	.21	-	 < 0.01	1.00E00
regulation of innate immune response (GO:0045088)	23	0	.28	-	 < 0.01	1.00E00
innate immune response (GO:0045087)	24	0	.29	-	 < 0.01	1.00E00
negative regulation of proteasomal protein catabolic process (GO:1901799)	5	0	.06	-	 < 0.01	1.00E00
heme biosynthetic process (GO:0006783)	5	0	.06	-	 < 0.01	1.00E00
alcohol biosynthetic process (GO:0046165)	30	0	.36	-	 < 0.01	1.00E00
regulation of translation (GO:0006417)	45	0	.54	-	 < 0.01	1.00E00
mitochondrial respiratory chain complex I assembly (GO:0032981)	6	0	.07	-	 < 0.01	1.00E00
mesoderm morphogenesis (GO:0048332)	7	0	.08	-	 < 0.01	1.00E00
porphyrin-containing compound metabolic process (GO:0006778)	10	0	.12	-	 < 0.01	1.00E00
translational termination (GO:0006415)	3	0	.04	-	 < 0.01	1.00E00
translational elongation (GO:0006414)	18	0	.22	-	 < 0.01	1.00E00
chromosome organization involved in meiotic cell cycle (GO:0070192)	10	0	.12	-	 < 0.01	1.00E00
regulation of complement activation (GO:0030449)	1	0	.01	-	 < 0.01	1.00E00
organophosphate ester transport (GO:0015748)	46	0	.55	-	 < 0.01	1.00E00
citrate transport (GO:0015746)	3	0	.04	-	 < 0.01	1.00E00
succinate transport (GO:0015744)	3	0	.04	-	 < 0.01	1.00E00
mRNA export from nucleus (GO:0006406)	24	0	.29	-	 < 0.01	1.00E00
C4-dicarboxylate transport (GO:0015740)	12	0	.14	-	 < 0.01	1.00E00
RNA export from nucleus (GO:0006405)	30	0	.36	-	 < 0.01	1.00E00
RNA localization (GO:0006403)	38	0	.46	-	 < 0.01	1.00E00
tRNA modification (GO:0006400)	37	0	.45	-	 < 0.01	1.00E00
folic acid-containing compound metabolic process (GO:0006760)	8	0	.10	-	 < 0.01	1.00E00
pigment biosynthetic process (GO:0046148)	10	0	.12	-	 < 0.01	1.00E00
positive regulation of chemotaxis (GO:0050921)	7	0	.08	-	 < 0.01	1.00E00
regulation of chemotaxis (GO:0050920)	7	0	.08	-	 < 0.01	1.00E00
mitotic spindle assembly (GO:0090307)	12	0	.14	-	 < 0.01	1.00E00
regulated exocytosis (GO:0045055)	28	0	.34	-	 < 0.01	1.00E00
axon extension (GO:0048675)	2	0	.02	-	 < 0.01	1.00E00
microtubule cytoskeleton organization involved in mitosis (GO:1902850)	36	0	.43	-	 < 0.01	1.00E00
regulation of membrane lipid distribution (GO:0097035)	25	0	.30	-	 < 0.01	1.00E00
positive chemotaxis (GO:0050918)	2	0	.02	-	 < 0.01	1.00E00
regulation of transmembrane transporter activity (GO:0022898)	38	0	.46	-	 < 0.01	1.00E00
sensory perception of bitter taste (GO:0050913)	1	0	.01	-	 < 0.01	1.00E00
detection of chemical stimulus involved in sensory perception of taste (GO:0050912)	1	0	.01	-	 < 0.01	1.00E00
chemical synaptic transmission, postsynaptic (GO:0099565)	4	0	.05	-	 < 0.01	1.00E00
nicotinamide nucleotide metabolic process (GO:0046496)	27	0	.33	-	 < 0.01	1.00E00
sprouting angiogenesis (GO:0002040)	8	0	.10	-	 < 0.01	1.00E00
synaptic membrane adhesion (GO:0099560)	5	0	.06	-	 < 0.01	1.00E00
protein insertion into ER membrane (GO:0045048)	3	0	.04	-	 < 0.01	1.00E00
cell morphogenesis involved in neuron differentiation (GO:0048667)	120	0	1.45	-	 < 0.01	4.08E-01
glutathione metabolic process (GO:0006749)	14	0	.17	-	 < 0.01	1.00E00
bile acid and bile salt transport (GO:0015721)	5	0	.06	-	 < 0.01	1.00E00
ubiquinone biosynthetic process (GO:0006744)	5	0	.06	-	 < 0.01	1.00E00
sensory perception of taste (GO:0050909)	2	0	.02	-	 < 0.01	1.00E00
detection of chemical stimulus involved in sensory perception (GO:0050907)	2	0	.02	-	 < 0.01	1.00E00
detection of stimulus involved in sensory perception (GO:0050906)	6	0	.07	-	 < 0.01	1.00E00
intrinsic apoptotic signaling pathway by p53 class mediator (GO:0072332)	4	0	.05	-	 < 0.01	1.00E00
signal transduction by p53 class mediator (GO:0072331)	5	0	.06	-	 < 0.01	1.00E00
monocarboxylic acid biosynthetic process (GO:0072330)	25	0	.30	-	 < 0.01	1.00E00
leukocyte migration (GO:0050900)	7	0	.08	-	 < 0.01	1.00E00
protein insertion into mitochondrial inner membrane (GO:0045039)	3	0	.04	-	 < 0.01	1.00E00
regulation of mononuclear cell proliferation (GO:0032944)	5	0	.06	-	 < 0.01	1.00E00
NADP metabolic process (GO:0006739)	4	0	.05	-	 < 0.01	1.00E00
monocarboxylic acid catabolic process (GO:0072329)	33	0	.40	-	 < 0.01	1.00E00
regulation of sodium ion transport (GO:0002028)	19	0	.23	-	 < 0.01	1.00E00
glycerophospholipid catabolic process (GO:0046475)	8	0	.10	-	 < 0.01	1.00E00
phosphatidylcholine metabolic process (GO:0046470)	7	0	.08	-	 < 0.01	1.00E00
SREBP signaling pathway (GO:0032933)	6	0	.07	-	 < 0.01	1.00E00
anatomical structure formation involved in morphogenesis (GO:0048646)	80	0	.97	-	 < 0.01	1.00E00
early endosome to late endosome transport (GO:0045022)	4	0	.05	-	 < 0.01	1.00E00
activation of GTPase activity (GO:0090630)	34	0	.41	-	 < 0.01	1.00E00
lymphocyte migration (GO:0072676)	2	0	.02	-	 < 0.01	1.00E00
monosaccharide metabolic process (GO:0005996)	24	0	.29	-	 < 0.01	1.00E00
regulation of postsynaptic membrane potential (GO:0060078)	11	0	.13	-	 < 0.01	1.00E00
membrane lipid biosynthetic process (GO:0046467)	53	0	.64	-	 < 0.01	1.00E00
acylglycerol catabolic process (GO:0046464)	9	0	.11	-	 < 0.01	1.00E00
canonical Wnt signaling pathway (GO:0060070)	52	0	.63	-	 < 0.01	1.00E00
