PANTHER GO-Slim Biological Process	background_genes.fst.txt - REFLIST (11890)	(327)	(expected)	(over/under)	(fold Enrichment)	P-value
lipid biosynthetic process (GO:0008610)	170	4	4.68	-	.86	1.00E00
regulation of cellular biosynthetic process (GO:0031326)	1448	34	39.82	-	.85	3.46E-01
macromolecule metabolic process (GO:0043170)	1962	46	53.96	-	.85	2.57E-01
monoatomic ion homeostasis (GO:0050801)	128	3	3.52	-	.85	1.00E00
regulation of biosynthetic process (GO:0009889)	1453	34	39.96	-	.85	3.46E-01
response to external biotic stimulus (GO:0043207)	43	1	1.18	-	.85	1.00E00
response to other organism (GO:0051707)	43	1	1.18	-	.85	1.00E00
cellular response to oxygen-containing compound (GO:1901701)	86	2	2.37	-	.85	1.00E00
regulation of secretion (GO:0051046)	43	1	1.18	-	.85	1.00E00
negative regulation of response to stimulus (GO:0048585)	172	4	4.73	-	.85	1.00E00
organelle membrane fusion (GO:0090174)	43	1	1.18	-	.85	1.00E00
cellular component organization or biogenesis (GO:0071840)	1671	38	45.96	-	.83	2.26E-01
mRNA catabolic process (GO:0006402)	44	1	1.21	-	.83	1.00E00
regulation of cellular response to growth factor stimulus (GO:0090287)	44	1	1.21	-	.83	1.00E00
response to biotic stimulus (GO:0009607)	44	1	1.21	-	.83	1.00E00
autophagosome assembly (GO:0000045)	44	1	1.21	-	.83	1.00E00
negative regulation of protein metabolic process (GO:0051248)	88	2	2.42	-	.83	1.00E00
biological process involved in interspecies interaction between organisms (GO:0044419)	44	1	1.21	-	.83	1.00E00
cellular biosynthetic process (GO:0044249)	1144	26	31.46	-	.83	3.42E-01
cellular metabolic process (GO:0044237)	2079	47	57.18	-	.82	1.40E-01
cell morphogenesis (GO:0000902)	177	4	4.87	-	.82	1.00E00
purine nucleotide metabolic process (GO:0006163)	89	2	2.45	-	.82	1.00E00
phosphatidylinositol metabolic process (GO:0046488)	90	2	2.48	-	.81	1.00E00
glycerolipid metabolic process (GO:0046486)	135	3	3.71	-	.81	1.00E00
protein localization to plasma membrane (GO:0072659)	45	1	1.24	-	.81	1.00E00
cellular response to cytokine stimulus (GO:0071345)	45	1	1.24	-	.81	1.00E00
organic substance biosynthetic process (GO:1901576)	1172	26	32.23	-	.81	2.60E-01
biosynthetic process (GO:0009058)	1175	26	32.31	-	.80	2.60E-01
cell cycle process (GO:0022402)	226	5	6.22	-	.80	8.36E-01
proteasomal protein catabolic process (GO:0010498)	136	3	3.74	-	.80	1.00E00
plasma membrane bounded cell projection organization (GO:0120036)	321	7	8.83	-	.79	7.28E-01
purine nucleotide biosynthetic process (GO:0006164)	46	1	1.27	-	.79	1.00E00
negative regulation of cell cycle phase transition (GO:1901988)	46	1	1.27	-	.79	1.00E00
cellular response to organonitrogen compound (GO:0071417)	46	1	1.27	-	.79	1.00E00
sodium ion transmembrane transport (GO:0035725)	46	1	1.27	-	.79	1.00E00
positive regulation of molecular function (GO:0044093)	184	4	5.06	-	.79	8.21E-01
macromolecule biosynthetic process (GO:0009059)	879	19	24.17	-	.79	3.34E-01
response to external stimulus (GO:0009605)	139	3	3.82	-	.78	1.00E00
regulation of DNA-templated transcription (GO:0006355)	1114	24	30.64	-	.78	2.47E-01
regulation of RNA biosynthetic process (GO:2001141)	1114	24	30.64	-	.78	2.47E-01
import into cell (GO:0098657)	186	4	5.12	-	.78	8.21E-01
cellular homeostasis (GO:0019725)	140	3	3.85	-	.78	1.00E00
intracellular signal transduction (GO:0035556)	327	7	8.99	-	.78	6.08E-01
cell projection organization (GO:0030030)	327	7	8.99	-	.78	6.08E-01
L-amino acid metabolic process (GO:0170033)	47	1	1.29	-	.77	1.00E00
inorganic ion homeostasis (GO:0098771)	94	2	2.59	-	.77	1.00E00
regulation of microtubule-based process (GO:0032886)	47	1	1.29	-	.77	1.00E00
cellular modified amino acid metabolic process (GO:0006575)	47	1	1.29	-	.77	1.00E00
neuron projection development (GO:0031175)	189	4	5.20	-	.77	8.22E-01
positive regulation of transcription by RNA polymerase II (GO:0045944)	190	4	5.23	-	.77	8.22E-01
regulation of transcription by RNA polymerase II (GO:0006357)	953	20	26.21	-	.76	2.16E-01
regulation of protein serine/threonine kinase activity (GO:0071900)	48	1	1.32	-	.76	1.00E00
RNA catabolic process (GO:0006401)	48	1	1.32	-	.76	1.00E00
cell motility (GO:0048870)	193	4	5.31	-	.75	8.23E-01
phospholipid metabolic process (GO:0006644)	145	3	3.99	-	.75	8.01E-01
neuron projection morphogenesis (GO:0048812)	145	3	3.99	-	.75	8.01E-01
cell projection morphogenesis (GO:0048858)	146	3	4.02	-	.75	8.01E-01
plasma membrane bounded cell projection morphogenesis (GO:0120039)	146	3	4.02	-	.75	8.01E-01
nucleobase-containing compound metabolic process (GO:0006139)	830	17	22.83	-	.74	2.26E-01
macromolecule localization (GO:0033036)	538	11	14.80	-	.74	4.16E-01
negative regulation of cell cycle process (GO:0010948)	49	1	1.35	-	.74	1.00E00
endosomal transport (GO:0016197)	98	2	2.70	-	.74	1.00E00
inorganic anion transport (GO:0015698)	49	1	1.35	-	.74	1.00E00
membrane fusion (GO:0061025)	49	1	1.35	-	.74	1.00E00
carboxylic acid transport (GO:0046942)	98	2	2.70	-	.74	1.00E00
organic acid transport (GO:0015849)	98	2	2.70	-	.74	1.00E00
cellular lipid metabolic process (GO:0044255)	294	6	8.09	-	.74	5.87E-01
microtubule-based process (GO:0007017)	246	5	6.77	-	.74	6.91E-01
purine-containing compound metabolic process (GO:0072521)	99	2	2.72	-	.73	1.00E00
negative regulation of apoptotic process (GO:0043066)	50	1	1.38	-	.73	1.00E00
actomyosin structure organization (GO:0031032)	50	1	1.38	-	.73	1.00E00
cell cycle (GO:0007049)	250	5	6.88	-	.73	6.93E-01
intracellular signaling cassette (GO:0141124)	152	3	4.18	-	.72	8.02E-01
supramolecular fiber organization (GO:0097435)	204	4	5.61	-	.71	6.65E-01
heart development (GO:0007507)	51	1	1.40	-	.71	1.00E00
negative regulation of programmed cell death (GO:0043069)	51	1	1.40	-	.71	1.00E00
purine-containing compound biosynthetic process (GO:0072522)	51	1	1.40	-	.71	1.00E00
sodium ion transport (GO:0006814)	51	1	1.40	-	.71	1.00E00
heterocycle metabolic process (GO:0046483)	872	17	23.98	-	.71	1.61E-01
cellular aromatic compound metabolic process (GO:0006725)	880	17	24.20	-	.70	1.34E-01
tRNA processing (GO:0008033)	52	1	1.43	-	.70	1.00E00
protein localization to cell periphery (GO:1990778)	52	1	1.43	-	.70	1.00E00
response to cytokine (GO:0034097)	52	1	1.43	-	.70	1.00E00
positive regulation of cell differentiation (GO:0045597)	52	1	1.43	-	.70	1.00E00
regulation of cell cycle process (GO:0010564)	105	2	2.89	-	.69	1.00E00
nucleic acid metabolic process (GO:0090304)	689	13	18.95	-	.69	1.85E-01
cellular response to organic substance (GO:0071310)	159	3	4.37	-	.69	8.04E-01
protein processing (GO:0016485)	53	1	1.46	-	.69	1.00E00
macromolecule methylation (GO:0043414)	53	1	1.46	-	.69	1.00E00
methylation (GO:0032259)	53	1	1.46	-	.69	1.00E00
sphingolipid metabolic process (GO:0006665)	53	1	1.46	-	.69	1.00E00
phosphatidylinositol biosynthetic process (GO:0006661)	53	1	1.46	-	.69	1.00E00
localization (GO:0051179)	1443	27	39.69	-	.68	3.13E-02
recombinational repair (GO:0000725)	54	1	1.49	-	.67	1.00E00
double-strand break repair via homologous recombination (GO:0000724)	54	1	1.49	-	.67	1.00E00
organic cyclic compound metabolic process (GO:1901360)	919	17	25.27	-	.67	9.21E-02
mRNA metabolic process (GO:0016071)	163	3	4.48	-	.67	6.32E-01
response to oxygen-containing compound (GO:1901700)	109	2	3.00	-	.67	7.72E-01
macroautophagy (GO:0016236)	55	1	1.51	-	.66	1.00E00
canonical Wnt signaling pathway (GO:0060070)	55	1	1.51	-	.66	1.00E00
organelle fusion (GO:0048284)	55	1	1.51	-	.66	1.00E00
immune response (GO:0006955)	55	1	1.51	-	.66	1.00E00
cellular nitrogen compound metabolic process (GO:0034641)	996	18	27.39	-	.66	6.74E-02
cellular response to chemical stimulus (GO:0070887)	222	4	6.11	-	.66	5.33E-01
vesicle-mediated transport (GO:0016192)	444	8	12.21	-	.66	2.97E-01
lipid metabolic process (GO:0006629)	333	6	9.16	-	.66	3.92E-01
regulation of phosphorylation (GO:0042325)	167	3	4.59	-	.65	6.33E-01
peptide metabolic process (GO:0006518)	167	3	4.59	-	.65	6.33E-01
cellular localization (GO:0051641)	725	13	19.94	-	.65	1.26E-01
alcohol metabolic process (GO:0006066)	56	1	1.54	-	.65	1.00E00
chemical homeostasis (GO:0048878)	169	3	4.65	-	.65	6.34E-01
establishment of localization (GO:0051234)	1296	23	35.64	-	.65	2.40E-02
mRNA processing (GO:0006397)	113	2	3.11	-	.64	7.72E-01
chromosome organization (GO:0051276)	113	2	3.11	-	.64	7.72E-01
cellular anatomical entity morphogenesis (GO:0032989)	171	3	4.70	-	.64	6.34E-01
negative regulation of intracellular signal transduction (GO:1902532)	57	1	1.57	-	.64	1.00E00
defense response (GO:0006952)	57	1	1.57	-	.64	1.00E00
Wnt signaling pathway (GO:0016055)	57	1	1.57	-	.64	1.00E00
amino acid transport (GO:0006865)	57	1	1.57	-	.64	1.00E00
RNA metabolic process (GO:0016070)	459	8	12.62	-	.63	2.41E-01
negative regulation of gene expression (GO:0010629)	115	2	3.16	-	.63	7.73E-01
gene expression (GO:0010467)	691	12	19.00	-	.63	1.17E-01
organic substance transport (GO:0071702)	461	8	12.68	-	.63	2.42E-01
negative regulation of cell cycle (GO:0045786)	58	1	1.60	-	.63	1.00E00
regulation of cellular component biogenesis (GO:0044087)	116	2	3.19	-	.63	7.73E-01
animal organ development (GO:0048513)	293	5	8.06	-	.62	3.63E-01
transport (GO:0006810)	1231	21	33.86	-	.62	1.64E-02
response to organic substance (GO:0010033)	235	4	6.46	-	.62	4.21E-01
cellular nitrogen compound biosynthetic process (GO:0044271)	353	6	9.71	-	.62	3.18E-01
cell-cell signaling by wnt (GO:0198738)	59	1	1.62	-	.62	1.00E00
Golgi vesicle transport (GO:0048193)	119	2	3.27	-	.61	7.75E-01
RNA processing (GO:0006396)	300	5	8.25	-	.61	3.67E-01
cellular macromolecule localization (GO:0070727)	426	7	11.72	-	.60	1.75E-01
protein localization (GO:0008104)	426	7	11.72	-	.60	1.75E-01
regulation of protein phosphorylation (GO:0001932)	122	2	3.36	-	.60	7.77E-01
cellular lipid catabolic process (GO:0044242)	61	1	1.68	-	.60	1.00E00
protein-containing complex assembly (GO:0065003)	184	3	5.06	-	.59	4.94E-01
regulation of kinase activity (GO:0043549)	123	2	3.38	-	.59	7.77E-01
response to chemical (GO:0042221)	310	5	8.53	-	.59	2.88E-01
positive regulation of cell population proliferation (GO:0008284)	62	1	1.71	-	.59	1.00E00
regulation of plasma membrane bounded cell projection organization (GO:0120035)	62	1	1.71	-	.59	1.00E00
establishment of localization in cell (GO:0051649)	499	8	13.72	-	.58	1.23E-01
regulation of transferase activity (GO:0051338)	126	2	3.47	-	.58	5.88E-01
vacuole organization (GO:0007033)	63	1	1.73	-	.58	1.00E00
regulation of cell projection organization (GO:0031344)	63	1	1.73	-	.58	1.00E00
mitotic cell cycle process (GO:1903047)	128	2	3.52	-	.57	5.88E-01
generation of precursor metabolites and energy (GO:0006091)	64	1	1.76	-	.57	1.00E00
autophagy (GO:0006914)	64	1	1.76	-	.57	1.00E00
process utilizing autophagic mechanism (GO:0061919)	64	1	1.76	-	.57	1.00E00
organic anion transport (GO:0015711)	129	2	3.55	-	.56	5.89E-01
small GTPase-mediated signal transduction (GO:0007264)	65	1	1.79	-	.56	1.00E00
positive regulation of intracellular signal transduction (GO:1902533)	130	2	3.58	-	.56	5.89E-01
DNA-templated DNA replication (GO:0006261)	65	1	1.79	-	.56	1.00E00
homeostatic process (GO:0042592)	196	3	5.39	-	.56	3.81E-01
establishment of protein localization (GO:0045184)	263	4	7.23	-	.55	3.35E-01
import across plasma membrane (GO:0098739)	66	1	1.82	-	.55	1.00E00
lipid catabolic process (GO:0016042)	67	1	1.84	-	.54	1.00E00
negative regulation of biological process (GO:0048519)	741	11	20.38	-	.54	2.70E-02
negative regulation of nitrogen compound metabolic process (GO:0051172)	272	4	7.48	-	.53	2.58E-01
protein-RNA complex organization (GO:0071826)	71	1	1.95	-	.51	1.00E00
DNA replication (GO:0006260)	71	1	1.95	-	.51	1.00E00
regulation of cell cycle (GO:0051726)	143	2	3.93	-	.51	4.43E-01
response to abiotic stimulus (GO:0009628)	72	1	1.98	-	.51	7.25E-01
negative regulation of macromolecule metabolic process (GO:0010605)	364	5	10.01	-	.50	1.39E-01
alpha-amino acid metabolic process (GO:1901605)	73	1	2.01	-	.50	7.25E-01
negative regulation of metabolic process (GO:0009892)	376	5	10.34	-	.48	1.06E-01
negative regulation of signal transduction (GO:0009968)	151	2	4.15	-	.48	4.47E-01
amide metabolic process (GO:0043603)	227	3	6.24	-	.48	2.21E-01
DNA recombination (GO:0006310)	77	1	2.12	-	.47	7.26E-01
negative regulation of cellular process (GO:0048523)	693	9	19.06	-	.47	1.17E-02
organic hydroxy compound metabolic process (GO:1901615)	77	1	2.12	-	.47	7.26E-01
negative regulation of cell communication (GO:0010648)	157	2	4.32	-	.46	4.53E-01
negative regulation of signaling (GO:0023057)	157	2	4.32	-	.46	4.53E-01
protein-containing complex organization (GO:0043933)	314	4	8.64	-	.46	1.15E-01
regulation of protein kinase activity (GO:0045859)	79	1	2.17	-	.46	7.27E-01
exocytosis (GO:0006887)	79	1	2.17	-	.46	7.27E-01
mitotic cell cycle (GO:0000278)	161	2	4.43	-	.45	3.32E-01
chromosome segregation (GO:0007059)	82	1	2.26	-	.44	7.29E-01
intracellular transport (GO:0046907)	413	5	11.36	-	.44	4.66E-02
intracellular protein transport (GO:0006886)	166	2	4.57	-	.44	3.34E-01
ncRNA processing (GO:0034470)	170	2	4.68	-	.43	3.37E-01
tRNA metabolic process (GO:0006399)	85	1	2.34	-	.43	7.32E-01
response to organonitrogen compound (GO:0010243)	86	1	2.37	-	.42	7.34E-01
organelle assembly (GO:0070925)	260	3	7.15	-	.42	1.25E-01
negative regulation of cellular metabolic process (GO:0031324)	348	4	9.57	-	.42	6.59E-02
animal organ morphogenesis (GO:0009887)	88	1	2.42	-	.41	5.22E-01
protein localization to organelle (GO:0033365)	179	2	4.92	-	.41	2.47E-01
regulation of cell differentiation (GO:0045595)	91	1	2.50	-	.40	5.22E-01
dephosphorylation (GO:0016311)	91	1	2.50	-	.40	5.22E-01
mRNA splicing, via spliceosome (GO:0000398)	92	1	2.53	-	.40	5.23E-01
RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)	92	1	2.53	-	.40	5.23E-01
RNA splicing, via transesterification reactions (GO:0000375)	92	1	2.53	-	.40	5.23E-01
negative regulation of nucleobase-containing compound metabolic process (GO:0045934)	185	2	5.09	-	.39	2.50E-01
double-strand break repair (GO:0006302)	93	1	2.56	-	.39	5.23E-01
regulation of membrane potential (GO:0042391)	95	1	2.61	-	.38	5.25E-01
regulation of organelle organization (GO:0033043)	191	2	5.25	-	.38	1.81E-01
regulation of cellular component organization (GO:0051128)	287	3	7.89	-	.38	9.57E-02
secretion by cell (GO:0032940)	96	1	2.64	-	.38	5.25E-01
regulation of cell population proliferation (GO:0042127)	98	1	2.70	-	.37	5.28E-01
non-membrane-bounded organelle assembly (GO:0140694)	99	1	2.72	-	.37	5.29E-01
secretion (GO:0046903)	99	1	2.72	-	.37	5.29E-01
glycosylation (GO:0070085)	100	1	2.75	-	.36	5.30E-01
amino acid metabolic process (GO:0006520)	100	1	2.75	-	.36	5.30E-01
RNA splicing (GO:0008380)	102	1	2.81	-	.36	5.33E-01
mitochondrion organization (GO:0007005)	104	1	2.86	-	.35	3.74E-01
ncRNA metabolic process (GO:0034660)	211	2	5.80	-	.34	1.34E-01
cellular component assembly (GO:0022607)	534	5	14.69	-	.34	6.11E-03
export from cell (GO:0140352)	109	1	3.00	-	.33	3.75E-01
protein transport (GO:0015031)	218	2	6.00	-	.33	1.37E-01
cilium assembly (GO:0060271)	109	1	3.00	-	.33	3.75E-01
system process (GO:0003008)	111	1	3.05	-	.33	3.77E-01
establishment of protein localization to organelle (GO:0072594)	113	1	3.11	-	.32	3.78E-01
nitrogen compound transport (GO:0071705)	345	3	9.49	-	.32	2.78E-02
organelle localization (GO:0051640)	116	1	3.19	-	.31	3.82E-01
plasma membrane bounded cell projection assembly (GO:0120031)	118	1	3.25	-	.31	3.85E-01
peptide biosynthetic process (GO:0043043)	125	1	3.44	-	.29	2.68E-01
cellular component biogenesis (GO:0044085)	631	5	17.35	-	.29	6.43E-04
cell projection assembly (GO:0030031)	128	1	3.52	-	.28	2.70E-01
negative regulation of macromolecule biosynthetic process (GO:0010558)	273	2	7.51	-	.27	3.69E-02
negative regulation of biosynthetic process (GO:0009890)	275	2	7.56	-	.26	3.72E-02
negative regulation of cellular biosynthetic process (GO:0031327)	275	2	7.56	-	.26	3.72E-02
amide biosynthetic process (GO:0043604)	154	1	4.24	-	.24	1.34E-01
negative regulation of RNA metabolic process (GO:0051253)	171	1	4.70	-	.21	9.51E-02
adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains (GO:0002460)	2	0	.06	-	 < 0.01	1.00E00
ribonucleoside triphosphate metabolic process (GO:0009199)	23	0	.63	-	 < 0.01	1.00E00
mononuclear cell migration (GO:0071674)	4	0	.11	-	 < 0.01	1.00E00
intermediate filament organization (GO:0045109)	10	0	.28	-	 < 0.01	1.00E00
tissue morphogenesis (GO:0048729)	23	0	.63	-	 < 0.01	1.00E00
negative regulation of supramolecular fiber organization (GO:1902904)	32	0	.88	-	 < 0.01	1.00E00
regulation of supramolecular fiber organization (GO:1902903)	71	0	1.95	-	 < 0.01	2.69E-01
centriole assembly (GO:0098534)	9	0	.25	-	 < 0.01	1.00E00
intermediate filament cytoskeleton organization (GO:0045104)	15	0	.41	-	 < 0.01	1.00E00
intermediate filament-based process (GO:0045103)	15	0	.41	-	 < 0.01	1.00E00
vitamin transport (GO:0051180)	12	0	.33	-	 < 0.01	1.00E00
TOR signaling (GO:0031929)	9	0	.25	-	 < 0.01	1.00E00
protein localization to mitochondrion (GO:0070585)	19	0	.52	-	 < 0.01	1.00E00
mitotic cytokinesis (GO:0000281)	14	0	.39	-	 < 0.01	1.00E00
nuclear division (GO:0000280)	71	0	1.95	-	 < 0.01	2.69E-01
negative regulation of actin filament polymerization (GO:0030837)	22	0	.61	-	 < 0.01	1.00E00
sperm-egg recognition (GO:0035036)	1	0	.03	-	 < 0.01	1.00E00
negative regulation of actin filament depolymerization (GO:0030835)	18	0	.50	-	 < 0.01	1.00E00
regulation of actin filament depolymerization (GO:0030834)	20	0	.55	-	 < 0.01	1.00E00
regulation of actin filament polymerization (GO:0030833)	42	0	1.16	-	 < 0.01	6.31E-01
regulation of actin filament length (GO:0030832)	45	0	1.24	-	 < 0.01	6.37E-01
meiotic sister chromatid cohesion (GO:0051177)	2	0	.06	-	 < 0.01	1.00E00
regulation of cysteine-type endopeptidase activity involved in apoptotic process (GO:0043281)	17	0	.47	-	 < 0.01	1.00E00
positive regulation of cysteine-type endopeptidase activity involved in apoptotic process (GO:0043280)	15	0	.41	-	 < 0.01	1.00E00
import into nucleus (GO:0051170)	36	0	.99	-	 < 0.01	6.26E-01
positive regulation of proteasomal protein catabolic process (GO:1901800)	17	0	.47	-	 < 0.01	1.00E00
lymphocyte mediated immunity (GO:0002449)	2	0	.06	-	 < 0.01	1.00E00
leukocyte mediated immunity (GO:0002443)	2	0	.06	-	 < 0.01	1.00E00
apoptotic cell clearance (GO:0043277)	4	0	.11	-	 < 0.01	1.00E00
nuclear transport (GO:0051169)	78	0	2.15	-	 < 0.01	2.80E-01
nuclear export (GO:0051168)	49	0	1.35	-	 < 0.01	6.46E-01
negative regulation of monoatomic ion transport (GO:0043271)	17	0	.47	-	 < 0.01	1.00E00
regulation of lipid biosynthetic process (GO:0046890)	7	0	.19	-	 < 0.01	1.00E00
endothelial cell differentiation (GO:0045446)	4	0	.11	-	 < 0.01	1.00E00
neutrophil migration (GO:1990266)	3	0	.08	-	 < 0.01	1.00E00
fat cell differentiation (GO:0045444)	2	0	.06	-	 < 0.01	1.00E00
programmed cell death (GO:0012501)	60	0	1.65	-	 < 0.01	4.15E-01
axo-dendritic transport (GO:0008088)	16	0	.44	-	 < 0.01	1.00E00
regulation of establishment of protein localization (GO:0070201)	15	0	.41	-	 < 0.01	1.00E00
mitochondrial fission (GO:0000266)	8	0	.22	-	 < 0.01	1.00E00
regulation of monoatomic ion transport (GO:0043269)	68	0	1.87	-	 < 0.01	2.66E-01
positive regulation of hormone secretion (GO:0046887)	2	0	.06	-	 < 0.01	1.00E00
regulation of potassium ion transport (GO:0043266)	16	0	.44	-	 < 0.01	1.00E00
membrane invagination (GO:0010324)	11	0	.30	-	 < 0.01	1.00E00
regulation of peptide secretion (GO:0002791)	5	0	.14	-	 < 0.01	1.00E00
peptide secretion (GO:0002790)	3	0	.08	-	 < 0.01	1.00E00
regulation of hormone secretion (GO:0046883)	7	0	.19	-	 < 0.01	1.00E00
purine ribonucleoside monophosphate metabolic process (GO:0009167)	13	0	.36	-	 < 0.01	1.00E00
glucose 6-phosphate metabolic process (GO:0051156)	10	0	.28	-	 < 0.01	1.00E00
regulation of cell projection assembly (GO:0060491)	23	0	.63	-	 < 0.01	1.00E00
nucleoside catabolic process (GO:0009164)	8	0	.22	-	 < 0.01	1.00E00
ribonucleoside monophosphate metabolic process (GO:0009161)	14	0	.39	-	 < 0.01	1.00E00
negative regulation of protein catabolic process (GO:0042177)	11	0	.30	-	 < 0.01	1.00E00
response to interleukin-1 (GO:0070555)	2	0	.06	-	 < 0.01	1.00E00
cellular response to fibroblast growth factor stimulus (GO:0044344)	24	0	.66	-	 < 0.01	1.00E00
immune response-activating cell surface receptor signaling pathway (GO:0002429)	30	0	.83	-	 < 0.01	1.00E00
actin filament bundle organization (GO:0061572)	22	0	.61	-	 < 0.01	1.00E00
hormone secretion (GO:0046879)	3	0	.08	-	 < 0.01	1.00E00
ceramide biosynthetic process (GO:0046513)	24	0	.66	-	 < 0.01	1.00E00
regulation of protein-containing complex assembly (GO:0043254)	54	0	1.49	-	 < 0.01	4.06E-01
striated muscle cell differentiation (GO:0051146)	33	0	.91	-	 < 0.01	1.00E00
heme metabolic process (GO:0042168)	8	0	.22	-	 < 0.01	1.00E00
response to fatty acid (GO:0070542)	1	0	.03	-	 < 0.01	1.00E00
spliceosomal complex assembly (GO:0000245)	18	0	.50	-	 < 0.01	1.00E00
regulation of actin polymerization or depolymerization (GO:0008064)	43	0	1.18	-	 < 0.01	6.33E-01
regulation of lipid metabolic process (GO:0019216)	12	0	.33	-	 < 0.01	1.00E00
protein hydroxylation (GO:0018126)	14	0	.39	-	 < 0.01	1.00E00
glycerolipid catabolic process (GO:0046503)	14	0	.39	-	 < 0.01	1.00E00
regulation of protein-containing complex disassembly (GO:0043244)	36	0	.99	-	 < 0.01	6.26E-01
negative regulation of protein-containing complex disassembly (GO:0043242)	26	0	.72	-	 < 0.01	1.00E00
multivesicular body sorting pathway (GO:0071985)	24	0	.66	-	 < 0.01	1.00E00
purine nucleoside triphosphate biosynthetic process (GO:0009145)	1	0	.03	-	 < 0.01	1.00E00
purine nucleoside triphosphate metabolic process (GO:0009144)	20	0	.55	-	 < 0.01	1.00E00
negative regulation of cytoskeleton organization (GO:0051494)	33	0	.91	-	 < 0.01	1.00E00
chaperone-mediated protein complex assembly (GO:0051131)	4	0	.11	-	 < 0.01	1.00E00
regulation of cytoskeleton organization (GO:0051493)	115	0	3.16	-	 < 0.01	7.91E-02
positive regulation of cellular component organization (GO:0051130)	92	0	2.53	-	 < 0.01	1.85E-01
regulation of stress fiber assembly (GO:0051492)	5	0	.14	-	 < 0.01	1.00E00
negative regulation of blood pressure (GO:0045776)	6	0	.17	-	 < 0.01	1.00E00
protein K63-linked deubiquitination (GO:0070536)	7	0	.19	-	 < 0.01	1.00E00
mitochondrial fusion (GO:0008053)	9	0	.25	-	 < 0.01	1.00E00
immune response-regulating cell surface receptor signaling pathway (GO:0002768)	31	0	.85	-	 < 0.01	1.00E00
negative regulation of NF-kappaB transcription factor activity (GO:0032088)	6	0	.17	-	 < 0.01	1.00E00
immune response-regulating signaling pathway (GO:0002764)	37	0	1.02	-	 < 0.01	6.27E-01
negative regulation of cellular component organization (GO:0051129)	63	0	1.73	-	 < 0.01	4.22E-01
phosphatidylinositol phosphate biosynthetic process (GO:0046854)	35	0	.96	-	 < 0.01	1.00E00
regulation of filopodium assembly (GO:0051489)	6	0	.17	-	 < 0.01	1.00E00
intracellular glucose homeostasis (GO:0001678)	6	0	.17	-	 < 0.01	1.00E00
regulation of bone remodeling (GO:0046850)	3	0	.08	-	 < 0.01	1.00E00
nucleoside diphosphate catabolic process (GO:0009134)	22	0	.61	-	 < 0.01	1.00E00
RNA polymerase II preinitiation complex assembly (GO:0051123)	6	0	.17	-	 < 0.01	1.00E00
long-chain fatty acid metabolic process (GO:0001676)	10	0	.28	-	 < 0.01	1.00E00
retrograde transport, endosome to Golgi (GO:0042147)	31	0	.85	-	 < 0.01	1.00E00
platelet aggregation (GO:0070527)	5	0	.14	-	 < 0.01	1.00E00
regulation of cytosolic calcium ion concentration (GO:0051480)	17	0	.47	-	 < 0.01	1.00E00
vacuole fusion, non-autophagic (GO:0042144)	1	0	.03	-	 < 0.01	1.00E00
tRNA threonylcarbamoyladenosine metabolic process (GO:0070525)	1	0	.03	-	 < 0.01	1.00E00
positive regulation of adenylate cyclase activity (GO:0045762)	5	0	.14	-	 < 0.01	1.00E00
regulation of adenylate cyclase activity (GO:0045761)	7	0	.19	-	 < 0.01	1.00E00
regulation of sodium ion transmembrane transporter activity (GO:2000649)	13	0	.36	-	 < 0.01	1.00E00
motor neuron axon guidance (GO:0008045)	6	0	.17	-	 < 0.01	1.00E00
positive regulation of proteolysis involved in protein catabolic process (GO:1903052)	17	0	.47	-	 < 0.01	1.00E00
negative regulation of proteolysis involved in protein catabolic process (GO:1903051)	5	0	.14	-	 < 0.01	1.00E00
innate immune response-activating signaling pathway (GO:0002758)	12	0	.33	-	 < 0.01	1.00E00
immune response-activating signaling pathway (GO:0002757)	36	0	.99	-	 < 0.01	6.26E-01
peptidyl-tyrosine phosphorylation (GO:0018108)	6	0	.17	-	 < 0.01	1.00E00
peptidyl-tyrosine dephosphorylation (GO:0035335)	15	0	.41	-	 < 0.01	1.00E00
filopodium assembly (GO:0046847)	3	0	.08	-	 < 0.01	1.00E00
cytoplasmic pattern recognition receptor signaling pathway (GO:0002753)	4	0	.11	-	 < 0.01	1.00E00
skin development (GO:0043588)	3	0	.08	-	 < 0.01	1.00E00
purine nucleoside monophosphate metabolic process (GO:0009126)	13	0	.36	-	 < 0.01	1.00E00
ear development (GO:0043583)	2	0	.06	-	 < 0.01	1.00E00
regulation of amide metabolic process (GO:0034248)	49	0	1.35	-	 < 0.01	6.46E-01
nucleoside monophosphate metabolic process (GO:0009123)	16	0	.44	-	 < 0.01	1.00E00
meiotic DNA double-strand break formation (GO:0042138)	3	0	.08	-	 < 0.01	1.00E00
regulation of transcription elongation by RNA polymerase II (GO:0034243)	9	0	.25	-	 < 0.01	1.00E00
cell recognition (GO:0008037)	14	0	.39	-	 < 0.01	1.00E00
potassium ion import across plasma membrane (GO:1990573)	29	0	.80	-	 < 0.01	1.00E00
negative regulation of T cell proliferation (GO:0042130)	2	0	.06	-	 < 0.01	1.00E00
meiotic cell cycle process (GO:1903046)	43	0	1.18	-	 < 0.01	6.33E-01
V(D)J recombination (GO:0033151)	2	0	.06	-	 < 0.01	1.00E00
