




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	PANTHER version 19.0 Released 2024-06-20
Analyzed List:	for.delta_af.windows.1percent.genenames.txt (Gallus gallus)
Reference List:	background_genes.fst.txt (Gallus gallus)
Test Type:	FISHER
Correction:	NONE
PANTHER GO-Slim Biological Process	background_genes.fst.txt - REFLIST (11890)	for.delta_af.windows.1percent.genenames.txt (262)	for.delta_af.windows.1percent.genenames.txt (expected)	for.delta_af.windows.1percent.genenames.txt (over/under)	for.delta_af.windows.1percent.genenames.txt (fold Enrichment)	for.delta_af.windows.1percent.genenames.txt (raw P-value)
regulation of response to stress (GO:0080134)	69	1	1.52	-	.66	1.00E00
positive regulation of catabolic process (GO:0009896)	69	1	1.52	-	.66	1.00E00
embryo development (GO:0009790)	70	1	1.54	-	.65	1.00E00
cellular homeostasis (GO:0019725)	140	2	3.08	-	.65	7.72E-01
positive regulation of multicellular organismal process (GO:0051240)	70	1	1.54	-	.65	1.00E00
organic cyclic compound biosynthetic process (GO:1901362)	211	3	4.65	-	.65	6.34E-01
cellular nitrogen compound biosynthetic process (GO:0044271)	353	5	7.78	-	.64	4.58E-01
regulation of supramolecular fiber organization (GO:1902903)	71	1	1.56	-	.64	1.00E00
cellular biosynthetic process (GO:0044249)	1144	16	25.21	-	.63	5.57E-02
anatomical structure morphogenesis (GO:0009653)	359	5	7.91	-	.63	3.62E-01
phospholipid metabolic process (GO:0006644)	145	2	3.20	-	.63	7.74E-01
neuron projection morphogenesis (GO:0048812)	145	2	3.20	-	.63	7.74E-01
membrane lipid metabolic process (GO:0006643)	73	1	1.61	-	.62	1.00E00
cell projection morphogenesis (GO:0048858)	146	2	3.22	-	.62	7.74E-01
plasma membrane bounded cell projection morphogenesis (GO:0120039)	146	2	3.22	-	.62	7.74E-01
organic substance biosynthetic process (GO:1901576)	1172	16	25.83	-	.62	3.62E-02
biosynthetic process (GO:0009058)	1175	16	25.89	-	.62	3.61E-02
localization within membrane (GO:0051668)	147	2	3.24	-	.62	7.74E-01
organophosphate biosynthetic process (GO:0090407)	147	2	3.24	-	.62	7.74E-01
cellular response to chemical stimulus (GO:0070887)	222	3	4.89	-	.61	6.39E-01
organonitrogen compound biosynthetic process (GO:1901566)	453	6	9.98	-	.60	2.51E-01
amide biosynthetic process (GO:0043604)	154	2	3.39	-	.59	7.78E-01
phosphate-containing compound metabolic process (GO:0006796)	540	7	11.90	-	.59	1.75E-01
phosphorus metabolic process (GO:0006793)	543	7	11.97	-	.59	1.76E-01
nuclear transport (GO:0051169)	78	1	1.72	-	.58	1.00E00
nucleocytoplasmic transport (GO:0006913)	78	1	1.72	-	.58	1.00E00
response to organic substance (GO:0010033)	235	3	5.18	-	.58	4.97E-01
response to growth factor (GO:0070848)	79	1	1.74	-	.57	1.00E00
phospholipid biosynthetic process (GO:0008654)	79	1	1.74	-	.57	1.00E00
glycerolipid biosynthetic process (GO:0045017)	79	1	1.74	-	.57	1.00E00
cellular response to growth factor stimulus (GO:0071363)	79	1	1.74	-	.57	1.00E00
cellular response to organic substance (GO:0071310)	159	2	3.50	-	.57	5.89E-01
mitotic cell cycle (GO:0000278)	161	2	3.55	-	.56	5.89E-01
regulation of actin cytoskeleton organization (GO:0032956)	81	1	1.78	-	.56	1.00E00
intracellular signal transduction (GO:0035556)	327	4	7.21	-	.56	3.34E-01
regulation of actin filament-based process (GO:0032970)	82	1	1.81	-	.55	1.00E00
cellular component disassembly (GO:0022411)	82	1	1.81	-	.55	1.00E00
protein modification process (GO:0036211)	745	9	16.42	-	.55	5.32E-02
negative regulation of molecular function (GO:0044092)	83	1	1.83	-	.55	1.00E00
protein modification by small protein conjugation or removal (GO:0070647)	254	3	5.60	-	.54	3.83E-01
tRNA metabolic process (GO:0006399)	85	1	1.87	-	.53	1.00E00
cellular anatomical entity morphogenesis (GO:0032989)	171	2	3.77	-	.53	5.94E-01
negative regulation of RNA metabolic process (GO:0051253)	171	2	3.77	-	.53	5.94E-01
cellular response to oxygen-containing compound (GO:1901701)	86	1	1.90	-	.53	1.00E00
post-translational protein modification (GO:0043687)	268	3	5.91	-	.51	2.92E-01
protein localization to organelle (GO:0033365)	179	2	3.94	-	.51	4.44E-01
regulation of cell migration (GO:0030334)	91	1	2.01	-	.50	7.25E-01
positive regulation of cellular metabolic process (GO:0031325)	455	5	10.03	-	.50	1.39E-01
organic substance transport (GO:0071702)	461	5	10.16	-	.49	1.05E-01
macromolecule modification (GO:0043412)	830	9	18.29	-	.49	1.93E-02
negative regulation of nucleobase-containing compound metabolic process (GO:0045934)	185	2	4.08	-	.49	4.46E-01
regulation of apoptotic process (GO:0042981)	93	1	2.05	-	.49	7.25E-01
regulation of cell motility (GO:2000145)	94	1	2.07	-	.48	7.26E-01
regulation of locomotion (GO:0040012)	94	1	2.07	-	.48	7.26E-01
regulation of membrane potential (GO:0042391)	95	1	2.09	-	.48	7.26E-01
secretion by cell (GO:0032940)	96	1	2.12	-	.47	7.26E-01
cell motility (GO:0048870)	193	2	4.25	-	.47	4.51E-01
regulation of programmed cell death (GO:0043067)	97	1	2.14	-	.47	7.27E-01
regulation of cell population proliferation (GO:0042127)	98	1	2.16	-	.46	7.27E-01
carboxylic acid metabolic process (GO:0019752)	196	2	4.32	-	.46	4.54E-01
carboxylic acid transport (GO:0046942)	98	1	2.16	-	.46	7.27E-01
organic acid transport (GO:0015849)	98	1	2.16	-	.46	7.27E-01
organic acid metabolic process (GO:0006082)	198	2	4.36	-	.46	3.32E-01
oxoacid metabolic process (GO:0043436)	198	2	4.36	-	.46	3.32E-01
secretion (GO:0046903)	99	1	2.18	-	.46	7.28E-01
protein phosphorylation (GO:0006468)	199	2	4.39	-	.46	3.32E-01
RNA processing (GO:0006396)	300	3	6.61	-	.45	2.26E-01
amino acid metabolic process (GO:0006520)	100	1	2.20	-	.45	7.28E-01
positive regulation of metabolic process (GO:0009893)	504	5	11.11	-	.45	6.12E-02
axon guidance (GO:0007411)	101	1	2.23	-	.45	7.29E-01
neuron projection guidance (GO:0097485)	101	1	2.23	-	.45	7.29E-01
response to chemical (GO:0042221)	310	3	6.83	-	.44	1.68E-01
positive regulation of nitrogen compound metabolic process (GO:0051173)	416	4	9.17	-	.44	8.74E-02
post-transcriptional regulation of gene expression (GO:0010608)	104	1	2.29	-	.44	7.31E-01
mitochondrion organization (GO:0007005)	104	1	2.29	-	.44	7.31E-01
phosphorylation (GO:0016310)	212	2	4.67	-	.43	3.38E-01
response to oxygen-containing compound (GO:1901700)	109	1	2.40	-	.42	7.36E-01
export from cell (GO:0140352)	109	1	2.40	-	.42	7.36E-01
response to nitrogen compound (GO:1901698)	109	1	2.40	-	.42	7.36E-01
positive regulation of macromolecule metabolic process (GO:0010604)	437	4	9.63	-	.42	6.59E-02
system process (GO:0003008)	111	1	2.45	-	.41	5.23E-01
regulation of MAPK cascade (GO:0043408)	114	1	2.51	-	.40	5.23E-01
regulation of cytoskeleton organization (GO:0051493)	115	1	2.53	-	.39	5.24E-01
organelle localization (GO:0051640)	116	1	2.56	-	.39	5.24E-01
axonogenesis (GO:0007409)	120	1	2.64	-	.38	5.26E-01
organic anion transport (GO:0015711)	129	1	2.84	-	.35	5.36E-01
positive regulation of RNA metabolic process (GO:0051254)	261	2	5.75	-	.35	1.33E-01
axon development (GO:0061564)	137	1	3.02	-	.33	3.76E-01
cytoskeleton organization (GO:0007010)	412	3	9.08	-	.33	3.80E-02
positive regulation of nucleobase-containing compound metabolic process (GO:0045935)	282	2	6.21	-	.32	9.74E-02
negative regulation of DNA-templated transcription (GO:0045892)	152	1	3.35	-	.30	2.67E-01
negative regulation of RNA biosynthetic process (GO:1902679)	152	1	3.35	-	.30	2.67E-01
microtubule cytoskeleton organization (GO:0000226)	164	1	3.61	-	.28	2.74E-01
cell migration (GO:0016477)	169	1	3.72	-	.27	1.90E-01
lipid biosynthetic process (GO:0008610)	170	1	3.75	-	.27	1.90E-01
regulation of localization (GO:0032879)	204	1	4.50	-	.22	1.40E-01
ncRNA metabolic process (GO:0034660)	211	1	4.65	-	.22	9.50E-02
actin cytoskeleton organization (GO:0030036)	212	1	4.67	-	.21	9.52E-02
actin filament-based process (GO:0030029)	219	1	4.83	-	.21	9.73E-02
positive regulation of DNA-templated transcription (GO:0045893)	227	1	5.00	-	.20	6.66E-02
positive regulation of RNA biosynthetic process (GO:1902680)	227	1	5.00	-	.20	6.66E-02
positive regulation of macromolecule biosynthetic process (GO:0010557)	296	1	6.52	-	.15	2.40E-02
positive regulation of cellular biosynthetic process (GO:0031328)	301	1	6.63	-	.15	1.58E-02
positive regulation of biosynthetic process (GO:0009891)	302	1	6.65	-	.15	1.59E-02
adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains (GO:0002460)	2	0	.04	-	 < 0.01	1.00E00
ribonucleoside triphosphate metabolic process (GO:0009199)	23	0	.51	-	 < 0.01	1.00E00
mononuclear cell migration (GO:0071674)	4	0	.09	-	 < 0.01	1.00E00
intermediate filament organization (GO:0045109)	10	0	.22	-	 < 0.01	1.00E00
tissue morphogenesis (GO:0048729)	23	0	.51	-	 < 0.01	1.00E00
negative regulation of supramolecular fiber organization (GO:1902904)	32	0	.71	-	 < 0.01	1.00E00
centriole assembly (GO:0098534)	9	0	.20	-	 < 0.01	1.00E00
intermediate filament cytoskeleton organization (GO:0045104)	15	0	.33	-	 < 0.01	1.00E00
intermediate filament-based process (GO:0045103)	15	0	.33	-	 < 0.01	1.00E00
vitamin transport (GO:0051180)	12	0	.26	-	 < 0.01	1.00E00
TOR signaling (GO:0031929)	9	0	.20	-	 < 0.01	1.00E00
nuclear-transcribed mRNA poly(A) tail shortening (GO:0000289)	5	0	.11	-	 < 0.01	1.00E00
protein localization to mitochondrion (GO:0070585)	19	0	.42	-	 < 0.01	1.00E00
mitotic cytokinesis (GO:0000281)	14	0	.31	-	 < 0.01	1.00E00
negative regulation of actin filament polymerization (GO:0030837)	22	0	.48	-	 < 0.01	1.00E00
sperm-egg recognition (GO:0035036)	1	0	.02	-	 < 0.01	1.00E00
negative regulation of actin filament depolymerization (GO:0030835)	18	0	.40	-	 < 0.01	1.00E00
regulation of actin filament depolymerization (GO:0030834)	20	0	.44	-	 < 0.01	1.00E00
regulation of actin filament polymerization (GO:0030833)	42	0	.93	-	 < 0.01	1.00E00
regulation of actin filament length (GO:0030832)	45	0	.99	-	 < 0.01	6.27E-01
meiotic sister chromatid cohesion (GO:0051177)	2	0	.04	-	 < 0.01	1.00E00
cyclic nucleotide metabolic process (GO:0009187)	8	0	.18	-	 < 0.01	1.00E00
regulation of cysteine-type endopeptidase activity involved in apoptotic process (GO:0043281)	17	0	.37	-	 < 0.01	1.00E00
positive regulation of cysteine-type endopeptidase activity involved in apoptotic process (GO:0043280)	15	0	.33	-	 < 0.01	1.00E00
import into nucleus (GO:0051170)	36	0	.79	-	 < 0.01	1.00E00
supramolecular fiber organization (GO:0097435)	204	0	4.50	-	 < 0.01	2.52E-02
positive regulation of proteasomal protein catabolic process (GO:1901800)	17	0	.37	-	 < 0.01	1.00E00
polysaccharide biosynthetic process (GO:0000271)	9	0	.20	-	 < 0.01	1.00E00
lymphocyte mediated immunity (GO:0002449)	2	0	.04	-	 < 0.01	1.00E00
leukocyte mediated immunity (GO:0002443)	2	0	.04	-	 < 0.01	1.00E00
apoptotic cell clearance (GO:0043277)	4	0	.09	-	 < 0.01	1.00E00
oligodendrocyte differentiation (GO:0048709)	5	0	.11	-	 < 0.01	1.00E00
negative regulation of monoatomic ion transport (GO:0043271)	17	0	.37	-	 < 0.01	1.00E00
regulation of lipid biosynthetic process (GO:0046890)	7	0	.15	-	 < 0.01	1.00E00
vesicle-mediated transport to the plasma membrane (GO:0098876)	52	0	1.15	-	 < 0.01	6.32E-01
endothelial cell differentiation (GO:0045446)	4	0	.09	-	 < 0.01	1.00E00
neutrophil migration (GO:1990266)	3	0	.07	-	 < 0.01	1.00E00
fat cell differentiation (GO:0045444)	2	0	.04	-	 < 0.01	1.00E00
axo-dendritic transport (GO:0008088)	16	0	.35	-	 < 0.01	1.00E00
regulation of establishment of protein localization (GO:0070201)	15	0	.33	-	 < 0.01	1.00E00
mitochondrial fission (GO:0000266)	8	0	.18	-	 < 0.01	1.00E00
regulation of monoatomic ion transport (GO:0043269)	68	0	1.50	-	 < 0.01	4.08E-01
positive regulation of hormone secretion (GO:0046887)	2	0	.04	-	 < 0.01	1.00E00
regulation of potassium ion transport (GO:0043266)	16	0	.35	-	 < 0.01	1.00E00
membrane invagination (GO:0010324)	11	0	.24	-	 < 0.01	1.00E00
regulation of peptide secretion (GO:0002791)	5	0	.11	-	 < 0.01	1.00E00
peptide secretion (GO:0002790)	3	0	.07	-	 < 0.01	1.00E00
regulation of hormone secretion (GO:0046883)	7	0	.15	-	 < 0.01	1.00E00
glucose 6-phosphate metabolic process (GO:0051156)	10	0	.22	-	 < 0.01	1.00E00
regulation of cell projection assembly (GO:0060491)	23	0	.51	-	 < 0.01	1.00E00
nucleoside catabolic process (GO:0009164)	8	0	.18	-	 < 0.01	1.00E00
negative regulation of protein catabolic process (GO:0042177)	11	0	.24	-	 < 0.01	1.00E00
regulation of protein catabolic process (GO:0042176)	43	0	.95	-	 < 0.01	1.00E00
response to interleukin-1 (GO:0070555)	2	0	.04	-	 < 0.01	1.00E00
immune response-activating cell surface receptor signaling pathway (GO:0002429)	30	0	.66	-	 < 0.01	1.00E00
cytokine-mediated signaling pathway (GO:0019221)	41	0	.90	-	 < 0.01	1.00E00
actin filament bundle organization (GO:0061572)	22	0	.48	-	 < 0.01	1.00E00
hormone secretion (GO:0046879)	3	0	.07	-	 < 0.01	1.00E00
mesenchyme development (GO:0060485)	31	0	.68	-	 < 0.01	1.00E00
ceramide biosynthetic process (GO:0046513)	24	0	.53	-	 < 0.01	1.00E00
regulation of protein-containing complex assembly (GO:0043254)	54	0	1.19	-	 < 0.01	6.34E-01
striated muscle cell differentiation (GO:0051146)	33	0	.73	-	 < 0.01	1.00E00
heme metabolic process (GO:0042168)	8	0	.18	-	 < 0.01	1.00E00
positive regulation of cell cycle (GO:0045787)	26	0	.57	-	 < 0.01	1.00E00
response to fatty acid (GO:0070542)	1	0	.02	-	 < 0.01	1.00E00
regulation of actin polymerization or depolymerization (GO:0008064)	43	0	.95	-	 < 0.01	1.00E00
regulation of lipid metabolic process (GO:0019216)	12	0	.26	-	 < 0.01	1.00E00
protein hydroxylation (GO:0018126)	14	0	.31	-	 < 0.01	1.00E00
glycerolipid catabolic process (GO:0046503)	14	0	.31	-	 < 0.01	1.00E00
regulation of protein-containing complex disassembly (GO:0043244)	36	0	.79	-	 < 0.01	1.00E00
negative regulation of protein-containing complex disassembly (GO:0043242)	26	0	.57	-	 < 0.01	1.00E00
multivesicular body sorting pathway (GO:0071985)	24	0	.53	-	 < 0.01	1.00E00
purine nucleoside triphosphate biosynthetic process (GO:0009145)	1	0	.02	-	 < 0.01	1.00E00
purine nucleoside triphosphate metabolic process (GO:0009144)	20	0	.44	-	 < 0.01	1.00E00
nucleoside triphosphate catabolic process (GO:0009143)	5	0	.11	-	 < 0.01	1.00E00
negative regulation of cytoskeleton organization (GO:0051494)	33	0	.73	-	 < 0.01	1.00E00
nucleoside triphosphate biosynthetic process (GO:0009142)	6	0	.13	-	 < 0.01	1.00E00
chaperone-mediated protein complex assembly (GO:0051131)	4	0	.09	-	 < 0.01	1.00E00
nucleoside triphosphate metabolic process (GO:0009141)	30	0	.66	-	 < 0.01	1.00E00
regulation of stress fiber assembly (GO:0051492)	5	0	.11	-	 < 0.01	1.00E00
negative regulation of blood pressure (GO:0045776)	6	0	.13	-	 < 0.01	1.00E00
protein K63-linked deubiquitination (GO:0070536)	7	0	.15	-	 < 0.01	1.00E00
protein K63-linked ubiquitination (GO:0070534)	5	0	.11	-	 < 0.01	1.00E00
mitochondrial fusion (GO:0008053)	9	0	.20	-	 < 0.01	1.00E00
immune response-regulating cell surface receptor signaling pathway (GO:0002768)	31	0	.68	-	 < 0.01	1.00E00
negative regulation of NF-kappaB transcription factor activity (GO:0032088)	6	0	.13	-	 < 0.01	1.00E00
immune response-regulating signaling pathway (GO:0002764)	37	0	.82	-	 < 0.01	1.00E00
phosphatidylinositol phosphate biosynthetic process (GO:0046854)	35	0	.77	-	 < 0.01	1.00E00
regulation of filopodium assembly (GO:0051489)	6	0	.13	-	 < 0.01	1.00E00
intracellular glucose homeostasis (GO:0001678)	6	0	.13	-	 < 0.01	1.00E00
regulation of bone remodeling (GO:0046850)	3	0	.07	-	 < 0.01	1.00E00
nucleoside diphosphate catabolic process (GO:0009134)	22	0	.48	-	 < 0.01	1.00E00
RNA polymerase II preinitiation complex assembly (GO:0051123)	6	0	.13	-	 < 0.01	1.00E00
long-chain fatty acid metabolic process (GO:0001676)	10	0	.22	-	 < 0.01	1.00E00
nucleoside diphosphate metabolic process (GO:0009132)	25	0	.55	-	 < 0.01	1.00E00
retrograde transport, endosome to Golgi (GO:0042147)	31	0	.68	-	 < 0.01	1.00E00
platelet aggregation (GO:0070527)	5	0	.11	-	 < 0.01	1.00E00
regulation of cytosolic calcium ion concentration (GO:0051480)	17	0	.37	-	 < 0.01	1.00E00
vacuole fusion, non-autophagic (GO:0042144)	1	0	.02	-	 < 0.01	1.00E00
tRNA threonylcarbamoyladenosine metabolic process (GO:0070525)	1	0	.02	-	 < 0.01	1.00E00
regulation of sodium ion transmembrane transporter activity (GO:2000649)	13	0	.29	-	 < 0.01	1.00E00
motor neuron axon guidance (GO:0008045)	6	0	.13	-	 < 0.01	1.00E00
positive regulation of proteolysis involved in protein catabolic process (GO:1903052)	17	0	.37	-	 < 0.01	1.00E00
negative regulation of proteolysis involved in protein catabolic process (GO:1903051)	5	0	.11	-	 < 0.01	1.00E00
regulation of proteolysis involved in protein catabolic process (GO:1903050)	31	0	.68	-	 < 0.01	1.00E00
innate immune response-activating signaling pathway (GO:0002758)	12	0	.26	-	 < 0.01	1.00E00
immune response-activating signaling pathway (GO:0002757)	36	0	.79	-	 < 0.01	1.00E00
peptidyl-tyrosine phosphorylation (GO:0018108)	6	0	.13	-	 < 0.01	1.00E00
peptidyl-threonine phosphorylation (GO:0018107)	17	0	.37	-	 < 0.01	1.00E00
peptidyl-serine phosphorylation (GO:0018105)	74	0	1.63	-	 < 0.01	4.14E-01
filopodium assembly (GO:0046847)	3	0	.07	-	 < 0.01	1.00E00
cytoplasmic pattern recognition receptor signaling pathway (GO:0002753)	4	0	.09	-	 < 0.01	1.00E00
skin development (GO:0043588)	3	0	.07	-	 < 0.01	1.00E00
ear development (GO:0043583)	2	0	.04	-	 < 0.01	1.00E00
regulation of amide metabolic process (GO:0034248)	49	0	1.08	-	 < 0.01	6.29E-01
ameboidal-type cell migration (GO:0001667)	36	0	.79	-	 < 0.01	1.00E00
response to hypoxia (GO:0001666)	16	0	.35	-	 < 0.01	1.00E00
meiotic DNA double-strand break formation (GO:0042138)	3	0	.07	-	 < 0.01	1.00E00
regulation of transforming growth factor beta receptor signaling pathway (GO:0017015)	8	0	.18	-	 < 0.01	1.00E00
regulation of transcription elongation by RNA polymerase II (GO:0034243)	9	0	.20	-	 < 0.01	1.00E00
cell recognition (GO:0008037)	14	0	.31	-	 < 0.01	1.00E00
mitotic cell cycle process (GO:1903047)	128	0	2.82	-	 < 0.01	1.21E-01
negative regulation of T cell proliferation (GO:0042130)	2	0	.04	-	 < 0.01	1.00E00
tRNA processing (GO:0008033)	52	0	1.15	-	 < 0.01	6.32E-01
V(D)J recombination (GO:0033151)	2	0	.04	-	 < 0.01	1.00E00
hippo signaling (GO:0035329)	15	0	.33	-	 < 0.01	1.00E00
carbohydrate phosphorylation (GO:0046835)	6	0	.13	-	 < 0.01	1.00E00
nucleoside metabolic process (GO:0009116)	14	0	.31	-	 < 0.01	1.00E00
cellular response to oxidative stress (GO:0034599)	9	0	.20	-	 < 0.01	1.00E00
regulation of T cell proliferation (GO:0042129)	3	0	.07	-	 < 0.01	1.00E00
eye development (GO:0001654)	31	0	.68	-	 < 0.01	1.00E00
calcium ion import (GO:0070509)	11	0	.24	-	 < 0.01	1.00E00
cytochrome complex assembly (GO:0017004)	2	0	.04	-	 < 0.01	1.00E00
nuclear chromosome segregation (GO:0098813)	54	0	1.19	-	 < 0.01	6.34E-01
negative regulation of Notch signaling pathway (GO:0045746)	3	0	.07	-	 < 0.01	1.00E00
regulation of microtubule cytoskeleton organization (GO:0070507)	32	0	.71	-	 < 0.01	1.00E00
positive regulation of leukocyte cell-cell adhesion (GO:1903039)	3	0	.07	-	 < 0.01	1.00E00
negative regulation of leukocyte cell-cell adhesion (GO:1903038)	4	0	.09	-	 < 0.01	1.00E00
regulation of leukocyte cell-cell adhesion (GO:1903037)	6	0	.13	-	 < 0.01	1.00E00
regulation of response to wounding (GO:1903034)	6	0	.13	-	 < 0.01	1.00E00
sperm motility (GO:0097722)	1	0	.02	-	 < 0.01	1.00E00
regulation of endopeptidase activity (GO:0052548)	41	0	.90	-	 < 0.01	1.00E00
calcineurin-mediated signaling (GO:0097720)	7	0	.15	-	 < 0.01	1.00E00
regulation of peptidase activity (GO:0052547)	42	0	.93	-	 < 0.01	1.00E00
positive regulation of gene expression (GO:0010628)	70	0	1.54	-	 < 0.01	4.09E-01
oligopeptide transmembrane transport (GO:0035672)	2	0	.04	-	 < 0.01	1.00E00
osteoblast differentiation (GO:0001649)	5	0	.11	-	 < 0.01	1.00E00
neutrophil activation (GO:0042119)	1	0	.02	-	 < 0.01	1.00E00
positive regulation of DNA repair (GO:0045739)	9	0	.20	-	 < 0.01	1.00E00
piRNA processing (GO:0034587)	6	0	.13	-	 < 0.01	1.00E00
negative regulation of DNA repair (GO:0045738)	5	0	.11	-	 < 0.01	1.00E00
regulation of intracellular pH (GO:0051453)	26	0	.57	-	 < 0.01	1.00E00
intracellular pH reduction (GO:0051452)	9	0	.20	-	 < 0.01	1.00E00
macrophage activation (GO:0042116)	1	0	.02	-	 < 0.01	1.00E00
odontogenesis (GO:0042476)	2	0	.04	-	 < 0.01	1.00E00
B cell activation (GO:0042113)	7	0	.15	-	 < 0.01	1.00E00
odontogenesis of dentin-containing tooth (GO:0042475)	2	0	.04	-	 < 0.01	1.00E00
positive regulation of protein catabolic process (GO:0045732)	24	0	.53	-	 < 0.01	1.00E00
regulation of heart contraction (GO:0008016)	20	0	.44	-	 < 0.01	1.00E00
blood circulation (GO:0008015)	39	0	.86	-	 < 0.01	1.00E00
T cell activation (GO:0042110)	7	0	.15	-	 < 0.01	1.00E00
inner ear morphogenesis (GO:0042472)	2	0	.04	-	 < 0.01	1.00E00
chromosome localization (GO:0050000)	13	0	.29	-	 < 0.01	1.00E00
vesicle targeting, trans-Golgi to periciliary membrane compartment (GO:0097712)	1	0	.02	-	 < 0.01	1.00E00
protein localization to cilium (GO:0061512)	15	0	.33	-	 < 0.01	1.00E00
centriole elongation (GO:0061511)	1	0	.02	-	 < 0.01	1.00E00
antigen processing and presentation (GO:0019882)	3	0	.07	-	 < 0.01	1.00E00
sperm axoneme assembly (GO:0007288)	1	0	.02	-	 < 0.01	1.00E00
cardiolipin biosynthetic process (GO:0032049)	2	0	.04	-	 < 0.01	1.00E00
epithelium development (GO:0060429)	35	0	.77	-	 < 0.01	1.00E00
spermatid development (GO:0007286)	4	0	.09	-	 < 0.01	1.00E00
regulation of dephosphorylation (GO:0035303)	9	0	.20	-	 < 0.01	1.00E00
spermatogenesis (GO:0007283)	17	0	.37	-	 < 0.01	1.00E00
germ cell development (GO:0007281)	16	0	.35	-	 < 0.01	1.00E00
mitochondrial DNA metabolic process (GO:0032042)	4	0	.09	-	 < 0.01	1.00E00
regulation of neuron projection development (GO:0010975)	40	0	.88	-	 < 0.01	1.00E00
carbohydrate transmembrane transport (GO:0034219)	9	0	.20	-	 < 0.01	1.00E00
positive regulation of translation (GO:0045727)	18	0	.40	-	 < 0.01	1.00E00
signal release (GO:0023061)	38	0	.84	-	 < 0.01	1.00E00
RNA modification (GO:0009451)	75	0	1.65	-	 < 0.01	4.16E-01
positive regulation of T cell proliferation (GO:0042102)	2	0	.04	-	 < 0.01	1.00E00
eye photoreceptor cell development (GO:0042462)	1	0	.02	-	 < 0.01	1.00E00
regulation of natural killer cell mediated immunity (GO:0002715)	2	0	.04	-	 < 0.01	1.00E00
gamete generation (GO:0007276)	27	0	.59	-	 < 0.01	1.00E00
neuromuscular synaptic transmission (GO:0007274)	10	0	.22	-	 < 0.01	1.00E00
regulation of mitotic sister chromatid separation (GO:0010965)	15	0	.33	-	 < 0.01	1.00E00
DNA geometric change (GO:0032392)	12	0	.26	-	 < 0.01	1.00E00
protein acylation (GO:0043543)	28	0	.62	-	 < 0.01	1.00E00
endothelial cell migration (GO:0043542)	4	0	.09	-	 < 0.01	1.00E00
lipid translocation (GO:0034204)	22	0	.48	-	 < 0.01	1.00E00
cGMP biosynthetic process (GO:0006182)	4	0	.09	-	 < 0.01	1.00E00
response to organic cyclic compound (GO:0014070)	27	0	.59	-	 < 0.01	1.00E00
neurotransmitter secretion (GO:0007269)	33	0	.73	-	 < 0.01	1.00E00
negative regulation of macroautophagy (GO:0016242)	4	0	.09	-	 < 0.01	1.00E00
regulation of macroautophagy (GO:0016241)	15	0	.33	-	 < 0.01	1.00E00
Rho protein signal transduction (GO:0007266)	25	0	.55	-	 < 0.01	1.00E00
Ras protein signal transduction (GO:0007265)	27	0	.59	-	 < 0.01	1.00E00
regulation of response to endoplasmic reticulum stress (GO:1905897)	6	0	.13	-	 < 0.01	1.00E00
small GTPase-mediated signal transduction (GO:0007264)	65	0	1.43	-	 < 0.01	4.06E-01
regulation of metal ion transport (GO:0010959)	52	0	1.15	-	 < 0.01	6.32E-01
positive regulation of insulin secretion (GO:0032024)	1	0	.02	-	 < 0.01	1.00E00
regulation of peptide transport (GO:0090087)	5	0	.11	-	 < 0.01	1.00E00
tyrosine phosphorylation of STAT protein (GO:0007260)	1	0	.02	-	 < 0.01	1.00E00
positive regulation of peptidase activity (GO:0010952)	20	0	.44	-	 < 0.01	1.00E00
negative regulation of endopeptidase activity (GO:0010951)	22	0	.48	-	 < 0.01	1.00E00
positive regulation of endopeptidase activity (GO:0010950)	19	0	.42	-	 < 0.01	1.00E00
replication fork processing (GO:0031297)	14	0	.31	-	 < 0.01	1.00E00
regulation of ERBB signaling pathway (GO:1901184)	12	0	.26	-	 < 0.01	1.00E00
hormone biosynthetic process (GO:0042446)	1	0	.02	-	 < 0.01	1.00E00
positive regulation of cell division (GO:0051781)	2	0	.04	-	 < 0.01	1.00E00
mitochondrial respiratory chain complex III assembly (GO:0034551)	1	0	.02	-	 < 0.01	1.00E00
mitochondrial respiratory chain complex assembly (GO:0033108)	10	0	.22	-	 < 0.01	1.00E00
positive regulation of macroautophagy (GO:0016239)	10	0	.22	-	 < 0.01	1.00E00
pigment metabolic process (GO:0042440)	13	0	.29	-	 < 0.01	1.00E00
antimicrobial humoral immune response mediated by antimicrobial peptide (GO:0061844)	1	0	.02	-	 < 0.01	1.00E00
telomere capping (GO:0016233)	3	0	.07	-	 < 0.01	1.00E00
receptor signaling pathway via JAK-STAT (GO:0007259)	8	0	.18	-	 < 0.01	1.00E00
JNK cascade (GO:0007254)	6	0	.13	-	 < 0.01	1.00E00
positive regulation of cytokine-mediated signaling pathway (GO:0001961)	3	0	.07	-	 < 0.01	1.00E00
snRNA transcription by RNA polymerase II (GO:0042795)	5	0	.11	-	 < 0.01	1.00E00
negative regulation of cyclase activity (GO:0031280)	2	0	.04	-	 < 0.01	1.00E00
collagen fibril organization (GO:0030199)	9	0	.20	-	 < 0.01	1.00E00
endosome to lysosome transport (GO:0008333)	14	0	.31	-	 < 0.01	1.00E00
