PANTHER GO-Slim Biological Process	background_genes.thetas.txt - REFLIST (11894)	(457)	(expected)	(over/under)	(fold Enrichment)	P-value
cellular response to topologically incorrect protein (GO:0035967)	26	1	1.00	+	1.00	1.00E00
response to topologically incorrect protein (GO:0035966)	26	1	1.00	+	1.00	1.00E00
protein localization to cell periphery (GO:1990778)	52	2	2.00	+	1.00	1.00E00
telomere maintenance (GO:0000723)	26	1	1.00	+	1.00	1.00E00
telomere organization (GO:0032200)	26	1	1.00	+	1.00	1.00E00
developmental process involved in reproduction (GO:0003006)	26	1	1.00	+	1.00	1.00E00
positive regulation of cell differentiation (GO:0045597)	52	2	2.00	+	1.00	1.00E00
snRNA metabolic process (GO:0016073)	26	1	1.00	+	1.00	1.00E00
mitotic spindle organization (GO:0007052)	26	1	1.00	+	1.00	1.00E00
regulation of response to biotic stimulus (GO:0002831)	26	1	1.00	+	1.00	1.00E00
cellular catabolic process (GO:0044248)	287	11	11.03	-	1.00	1.00E00
biological regulation (GO:0065007)	3708	142	142.47	-	1.00	1.00E00
response to stress (GO:0006950)	446	17	17.14	-	.99	1.00E00
organic cyclic compound metabolic process (GO:1901360)	920	35	35.35	-	.99	1.00E00
regulation of cellular process (GO:0050794)	3314	126	127.33	-	.99	9.15E-01
glycerolipid biosynthetic process (GO:0045017)	79	3	3.04	-	.99	1.00E00
negative regulation of nucleobase-containing compound metabolic process (GO:0045934)	185	7	7.11	-	.98	1.00E00
heterocycle metabolic process (GO:0046483)	873	33	33.54	-	.98	1.00E00
cellular response to organic substance (GO:0071310)	159	6	6.11	-	.98	1.00E00
phosphatidylinositol biosynthetic process (GO:0006661)	53	2	2.04	-	.98	1.00E00
ncRNA metabolic process (GO:0034660)	212	8	8.15	-	.98	1.00E00
phosphorylation (GO:0016310)	212	8	8.15	-	.98	1.00E00
import into cell (GO:0098657)	186	7	7.15	-	.98	1.00E00
gene expression (GO:0010467)	692	26	26.59	-	.98	1.00E00
macromolecule biosynthetic process (GO:0009059)	880	33	33.81	-	.98	1.00E00
regulation of biological process (GO:0050789)	3509	131	134.83	-	.97	7.14E-01
nucleobase-containing compound metabolic process (GO:0006139)	831	31	31.93	-	.97	9.26E-01
mitotic cell cycle (GO:0000278)	161	6	6.19	-	.97	1.00E00
glycerolipid metabolic process (GO:0046486)	135	5	5.19	-	.96	1.00E00
gamete generation (GO:0007276)	27	1	1.04	-	.96	1.00E00
endomembrane system organization (GO:0010256)	108	4	4.15	-	.96	1.00E00
regulation of mitotic cell cycle phase transition (GO:1901990)	54	2	2.07	-	.96	1.00E00
cellular response to endogenous stimulus (GO:0071495)	163	6	6.26	-	.96	1.00E00
regulation of catabolic process (GO:0009894)	136	5	5.23	-	.96	1.00E00
response to nitrogen compound (GO:1901698)	109	4	4.19	-	.96	1.00E00
intracellular signal transduction (GO:0035556)	327	12	12.56	-	.96	1.00E00
positive regulation of cell communication (GO:0010647)	191	7	7.34	-	.95	1.00E00
positive regulation of signaling (GO:0023056)	191	7	7.34	-	.95	1.00E00
microtubule cytoskeleton organization (GO:0000226)	164	6	6.30	-	.95	1.00E00
axon development (GO:0061564)	137	5	5.26	-	.95	1.00E00
protein deubiquitination (GO:0016579)	55	2	2.11	-	.95	1.00E00
canonical Wnt signaling pathway (GO:0060070)	55	2	2.11	-	.95	1.00E00
organelle fusion (GO:0048284)	55	2	2.11	-	.95	1.00E00
carboxylic acid biosynthetic process (GO:0046394)	55	2	2.11	-	.95	1.00E00
organic acid biosynthetic process (GO:0016053)	55	2	2.11	-	.95	1.00E00
anatomical structure formation involved in morphogenesis (GO:0048646)	83	3	3.19	-	.94	1.00E00
small molecule catabolic process (GO:0044282)	83	3	3.19	-	.94	1.00E00
vesicle-mediated transport (GO:0016192)	444	16	17.06	-	.94	9.00E-01
cell cycle (GO:0007049)	250	9	9.61	-	.94	1.00E00
protein maturation (GO:0051604)	167	6	6.42	-	.94	1.00E00
lipoprotein metabolic process (GO:0042157)	56	2	2.15	-	.93	1.00E00
protein acylation (GO:0043543)	28	1	1.08	-	.93	1.00E00
translational initiation (GO:0006413)	28	1	1.08	-	.93	1.00E00
regulation of cellular component size (GO:0032535)	56	2	2.15	-	.93	1.00E00
calcium ion transmembrane import into cytosol (GO:0097553)	28	1	1.08	-	.93	1.00E00
carbohydrate catabolic process (GO:0016052)	28	1	1.08	-	.93	1.00E00
receptor-mediated endocytosis (GO:0006898)	28	1	1.08	-	.93	1.00E00
cytoplasmic translation (GO:0002181)	28	1	1.08	-	.93	1.00E00
cellular component assembly (GO:0022607)	534	19	20.52	-	.93	8.18E-01
nucleobase-containing compound biosynthetic process (GO:0034654)	169	6	6.49	-	.92	1.00E00
regulation of macromolecule metabolic process (GO:0060255)	1664	59	63.94	-	.92	5.36E-01
cell cycle process (GO:0022402)	226	8	8.68	-	.92	1.00E00
chromosome organization (GO:0051276)	113	4	4.34	-	.92	1.00E00
Unclassified (UNCLASSIFIED)	4182	148	160.68	-	.92	2.12E-01
regulation of nitrogen compound metabolic process (GO:0051171)	1534	54	58.94	-	.92	5.22E-01
cellular aromatic compound metabolic process (GO:0006725)	881	31	33.85	-	.92	7.15E-01
cellular nitrogen compound metabolic process (GO:0034641)	997	35	38.31	-	.91	6.67E-01
ncRNA processing (GO:0034470)	171	6	6.57	-	.91	1.00E00
glycoprotein biosynthetic process (GO:0009101)	114	4	4.38	-	.91	1.00E00
Wnt signaling pathway (GO:0016055)	57	2	2.19	-	.91	1.00E00
endoplasmic reticulum to Golgi vesicle-mediated transport (GO:0006888)	57	2	2.19	-	.91	1.00E00
regulation of RNA metabolic process (GO:0051252)	1230	43	47.26	-	.91	5.83E-01
cellular response to oxygen-containing compound (GO:1901701)	86	3	3.30	-	.91	1.00E00
negative regulation of gene expression (GO:0010629)	115	4	4.42	-	.91	1.00E00
regulation of primary metabolic process (GO:0080090)	1553	54	59.67	-	.90	4.79E-01
negative regulation of cellular process (GO:0048523)	693	24	26.63	-	.90	6.84E-01
DNA damage response (GO:0006974)	203	7	7.80	-	.90	1.00E00
neuron projection morphogenesis (GO:0048812)	145	5	5.57	-	.90	1.00E00
negative regulation of Wnt signaling pathway (GO:0030178)	29	1	1.11	-	.90	1.00E00
multicellular organismal reproductive process (GO:0048609)	29	1	1.11	-	.90	1.00E00
organelle localization (GO:0051640)	116	4	4.46	-	.90	1.00E00
proteoglycan metabolic process (GO:0006029)	29	1	1.11	-	.90	1.00E00
microtubule polymerization or depolymerization (GO:0031109)	29	1	1.11	-	.90	1.00E00
multicellular organism reproduction (GO:0032504)	29	1	1.11	-	.90	1.00E00
protein polymerization (GO:0051258)	29	1	1.11	-	.90	1.00E00
cell fate commitment (GO:0045165)	58	2	2.23	-	.90	1.00E00
cell projection morphogenesis (GO:0048858)	146	5	5.61	-	.89	1.00E00
plasma membrane bounded cell projection morphogenesis (GO:0120039)	146	5	5.61	-	.89	1.00E00
protein glycosylation (GO:0006486)	88	3	3.38	-	.89	1.00E00
macromolecule glycosylation (GO:0043413)	88	3	3.38	-	.89	1.00E00
cellular nitrogen compound biosynthetic process (GO:0044271)	353	12	13.56	-	.88	7.79E-01
regulation of vesicle-mediated transport (GO:0060627)	59	2	2.27	-	.88	1.00E00
response to endoplasmic reticulum stress (GO:0034976)	59	2	2.27	-	.88	1.00E00
cell-cell signaling by wnt (GO:0198738)	59	2	2.27	-	.88	1.00E00
regulation of nucleobase-containing compound metabolic process (GO:0019219)	1269	43	48.76	-	.88	4.39E-01
regulation of gene expression (GO:0010468)	1420	48	54.56	-	.88	3.77E-01
response to endogenous stimulus (GO:0009719)	178	6	6.84	-	.88	1.00E00
organelle organization (GO:0006996)	957	32	36.77	-	.87	4.82E-01
immune response-activating cell surface receptor signaling pathway (GO:0002429)	30	1	1.15	-	.87	1.00E00
nucleoside triphosphate metabolic process (GO:0009141)	30	1	1.15	-	.87	1.00E00
circulatory system development (GO:0072359)	90	3	3.46	-	.87	1.00E00
nucleic acid metabolic process (GO:0090304)	690	23	26.51	-	.87	5.41E-01
phosphatidylinositol metabolic process (GO:0046488)	90	3	3.46	-	.87	1.00E00
regulation of proteasomal protein catabolic process (GO:0061136)	30	1	1.15	-	.87	1.00E00
regulation of macromolecule biosynthetic process (GO:0010556)	1440	48	55.33	-	.87	3.06E-01
positive regulation of nervous system development (GO:0051962)	30	1	1.15	-	.87	1.00E00
phospholipid transport (GO:0015914)	30	1	1.15	-	.87	1.00E00
DNA metabolic process (GO:0006259)	240	8	9.22	-	.87	8.65E-01
regulation of metabolic process (GO:0019222)	1772	59	68.09	-	.87	2.54E-01
RNA processing (GO:0006396)	301	10	11.57	-	.86	7.61E-01
regulation of cellular biosynthetic process (GO:0031326)	1448	48	55.64	-	.86	3.07E-01
regulation of biosynthetic process (GO:0009889)	1453	48	55.83	-	.86	2.75E-01
regulation of cell migration (GO:0030334)	91	3	3.50	-	.86	1.00E00
regulation of cell differentiation (GO:0045595)	91	3	3.50	-	.86	1.00E00
dephosphorylation (GO:0016311)	91	3	3.50	-	.86	1.00E00
regulation of intracellular signal transduction (GO:1902531)	243	8	9.34	-	.86	8.65E-01
intracellular signaling cassette (GO:0141124)	152	5	5.84	-	.86	1.00E00
translation (GO:0006412)	122	4	4.69	-	.85	1.00E00
regulation of developmental process (GO:0050793)	183	6	7.03	-	.85	8.47E-01
RNA metabolic process (GO:0016070)	460	15	17.67	-	.85	6.20E-01
regulation of kinase activity (GO:0043549)	123	4	4.73	-	.85	1.00E00
cellular component organization (GO:0016043)	1578	51	60.63	-	.84	2.05E-01
regulation of cellular metabolic process (GO:0031323)	1671	54	64.20	-	.84	1.70E-01
immune response-regulating cell surface receptor signaling pathway (GO:0002768)	31	1	1.19	-	.84	1.00E00
regulation of proteolysis involved in protein catabolic process (GO:1903050)	31	1	1.19	-	.84	1.00E00
alcohol biosynthetic process (GO:0046165)	31	1	1.19	-	.84	1.00E00
response to chemical (GO:0042221)	310	10	11.91	-	.84	7.63E-01
peptide biosynthetic process (GO:0043043)	125	4	4.80	-	.83	1.00E00
heterocycle biosynthetic process (GO:0018130)	188	6	7.22	-	.83	8.48E-01
regulation of cell motility (GO:2000145)	94	3	3.61	-	.83	1.00E00
regulation of locomotion (GO:0040012)	94	3	3.61	-	.83	1.00E00
regulation of transferase activity (GO:0051338)	126	4	4.84	-	.83	1.00E00
cellular response to hormone stimulus (GO:0032870)	63	2	2.42	-	.83	1.00E00
cellular component biogenesis (GO:0044085)	631	20	24.24	-	.82	4.55E-01
cytoskeleton organization (GO:0007010)	412	13	15.83	-	.82	6.00E-01
phospholipid dephosphorylation (GO:0046839)	32	1	1.23	-	.81	1.00E00
aromatic compound biosynthetic process (GO:0019438)	192	6	7.38	-	.81	8.49E-01
synapse organization (GO:0050808)	64	2	2.46	-	.81	1.00E00
nucleoside phosphate catabolic process (GO:1901292)	32	1	1.23	-	.81	1.00E00
positive regulation of biological process (GO:0048518)	899	28	34.54	-	.81	2.78E-01
cellular component organization or biogenesis (GO:0071840)	1673	52	64.28	-	.81	9.94E-02
small GTPase-mediated signal transduction (GO:0007264)	65	2	2.50	-	.80	1.00E00
glycoprotein metabolic process (GO:0009100)	132	4	5.07	-	.79	8.20E-01
meiotic nuclear division (GO:0140013)	33	1	1.27	-	.79	1.00E00
regulation of defense response (GO:0031347)	33	1	1.27	-	.79	1.00E00
glycosylation (GO:0070085)	100	3	3.84	-	.78	1.00E00
regulation of phosphorylation (GO:0042325)	167	5	6.42	-	.78	8.38E-01
peptide metabolic process (GO:0006518)	167	5	6.42	-	.78	8.38E-01
regulation of anatomical structure size (GO:0090066)	67	2	2.57	-	.78	1.00E00
response to organic substance (GO:0010033)	235	7	9.03	-	.78	6.07E-01
regulation of DNA-templated transcription (GO:0006355)	1114	33	42.80	-	.77	1.19E-01
regulation of RNA biosynthetic process (GO:2001141)	1114	33	42.80	-	.77	1.19E-01
positive regulation of cellular process (GO:0048522)	813	24	31.24	-	.77	1.86E-01
post-Golgi vesicle-mediated transport (GO:0006892)	34	1	1.31	-	.77	1.00E00
cellular anatomical entity morphogenesis (GO:0032989)	171	5	6.57	-	.76	6.89E-01
positive regulation of catabolic process (GO:0009896)	69	2	2.65	-	.75	1.00E00
phosphatidylinositol phosphate biosynthetic process (GO:0046854)	35	1	1.34	-	.74	1.00E00
epithelium development (GO:0060429)	35	1	1.34	-	.74	1.00E00
taxis (GO:0042330)	35	1	1.34	-	.74	1.00E00
chemotaxis (GO:0006935)	35	1	1.34	-	.74	1.00E00
ERAD pathway (GO:0036503)	35	1	1.34	-	.74	1.00E00
locomotion (GO:0040011)	35	1	1.34	-	.74	1.00E00
regulation of neurogenesis (GO:0050767)	35	1	1.34	-	.74	1.00E00
organic cyclic compound biosynthetic process (GO:1901362)	211	6	8.11	-	.74	5.87E-01
small molecule biosynthetic process (GO:0044283)	106	3	4.07	-	.74	8.00E-01
cell morphogenesis (GO:0000902)	177	5	6.80	-	.74	6.91E-01
nuclear division (GO:0000280)	71	2	2.73	-	.73	1.00E00
immune response-activating signaling pathway (GO:0002757)	36	1	1.38	-	.72	1.00E00
autophagy of mitochondrion (GO:0000422)	36	1	1.38	-	.72	1.00E00
transition metal ion transport (GO:0000041)	36	1	1.38	-	.72	1.00E00
negative regulation of catabolic process (GO:0009895)	36	1	1.38	-	.72	1.00E00
response to oxygen-containing compound (GO:1901700)	109	3	4.19	-	.72	8.01E-01
regulation of transcription by RNA polymerase II (GO:0006357)	953	26	36.62	-	.71	6.47E-02
positive regulation of molecular function (GO:0044093)	184	5	7.07	-	.71	5.61E-01
immune response-regulating signaling pathway (GO:0002764)	37	1	1.42	-	.70	1.00E00
peptidyl-serine phosphorylation (GO:0018105)	74	2	2.84	-	.70	1.00E00
microtubule cytoskeleton organization involved in mitosis (GO:1902850)	37	1	1.42	-	.70	1.00E00
regulation of protein localization (GO:0032880)	37	1	1.42	-	.70	1.00E00
mitotic sister chromatid segregation (GO:0000070)	37	1	1.42	-	.70	1.00E00
peptidyl-serine modification (GO:0018209)	74	2	2.84	-	.70	1.00E00
positive regulation of developmental process (GO:0051094)	75	2	2.88	-	.69	1.00E00
mRNA processing (GO:0006397)	113	3	4.34	-	.69	8.03E-01
neuron projection development (GO:0031175)	189	5	7.26	-	.69	5.64E-01
regulation of cell cycle phase transition (GO:1901987)	76	2	2.92	-	.68	1.00E00
positive regulation of catalytic activity (GO:0043085)	153	4	5.88	-	.68	6.68E-01
neuron differentiation (GO:0030182)	268	7	10.30	-	.68	4.18E-01
regulation of cytoskeleton organization (GO:0051493)	115	3	4.42	-	.68	8.05E-01
organic hydroxy compound metabolic process (GO:1901615)	77	2	2.96	-	.68	7.71E-01
response to hormone (GO:0009725)	78	2	3.00	-	.67	7.71E-01
carbohydrate metabolic process (GO:0005975)	78	2	3.00	-	.67	7.71E-01
regulation of trans-synaptic signaling (GO:0099177)	78	2	3.00	-	.67	7.71E-01
energy derivation by oxidation of organic compounds (GO:0015980)	39	1	1.50	-	.67	1.00E00
modulation of chemical synaptic transmission (GO:0050804)	78	2	3.00	-	.67	7.71E-01
regulation of anatomical structure morphogenesis (GO:0022603)	78	2	3.00	-	.67	7.71E-01
Golgi vesicle transport (GO:0048193)	119	3	4.57	-	.66	6.31E-01
anatomical structure morphogenesis (GO:0009653)	359	9	13.79	-	.65	2.10E-01
regulation of transmembrane transporter activity (GO:0022898)	40	1	1.54	-	.65	1.00E00
RNA 3'-end processing (GO:0031123)	40	1	1.54	-	.65	1.00E00
ribosomal large subunit biogenesis (GO:0042273)	40	1	1.54	-	.65	1.00E00
spindle organization (GO:0007051)	40	1	1.54	-	.65	1.00E00
regulation of monoatomic ion transmembrane transporter activity (GO:0032412)	40	1	1.54	-	.65	1.00E00
generation of neurons (GO:0048699)	280	7	10.76	-	.65	3.42E-01
organelle fission (GO:0048285)	81	2	3.11	-	.64	7.71E-01
regulation of mitotic cell cycle (GO:0007346)	81	2	3.11	-	.64	7.71E-01
DNA repair (GO:0006281)	163	4	6.26	-	.64	5.34E-01
sister chromatid segregation (GO:0000819)	41	1	1.58	-	.63	1.00E00
protein-containing complex disassembly (GO:0032984)	41	1	1.58	-	.63	1.00E00
neuron development (GO:0048666)	205	5	7.88	-	.63	3.61E-01
mitotic nuclear division (GO:0140014)	41	1	1.58	-	.63	1.00E00
activation of immune response (GO:0002253)	41	1	1.58	-	.63	1.00E00
chromosome segregation (GO:0007059)	82	2	3.15	-	.63	7.72E-01
sensory perception (GO:0007600)	41	1	1.58	-	.63	1.00E00
enzyme-linked receptor protein signaling pathway (GO:0007167)	206	5	7.92	-	.63	3.61E-01
organic hydroxy compound biosynthetic process (GO:1901617)	42	1	1.61	-	.62	1.00E00
regulation of transporter activity (GO:0032409)	42	1	1.61	-	.62	1.00E00
transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169)	169	4	6.49	-	.62	4.20E-01
cell migration (GO:0016477)	169	4	6.49	-	.62	4.20E-01
regulation of protein catabolic process (GO:0042176)	43	1	1.65	-	.61	1.00E00
meiotic cell cycle process (GO:1903046)	43	1	1.65	-	.61	1.00E00
positive regulation of cellular component biogenesis (GO:0044089)	43	1	1.65	-	.61	1.00E00
neurogenesis (GO:0022008)	304	7	11.68	-	.60	1.75E-01
positive regulation of RNA metabolic process (GO:0051254)	261	6	10.03	-	.60	2.52E-01
cell surface receptor signaling pathway (GO:0007166)	439	10	16.87	-	.59	9.82E-02
chemical synaptic transmission (GO:0007268)	132	3	5.07	-	.59	4.93E-01
organophosphate catabolic process (GO:0046434)	44	1	1.69	-	.59	1.00E00
autophagosome assembly (GO:0000045)	44	1	1.69	-	.59	1.00E00
anterograde trans-synaptic signaling (GO:0098916)	132	3	5.07	-	.59	4.93E-01
multicellular organismal process (GO:0032501)	840	19	32.28	-	.59	1.16E-02
trans-synaptic signaling (GO:0099537)	133	3	5.11	-	.59	4.93E-01
nervous system development (GO:0007399)	403	9	15.48	-	.58	1.11E-01
adenylate cyclase-modulating G protein-coupled receptor signaling pathway (GO:0007188)	90	2	3.46	-	.58	5.86E-01
regulation of multicellular organismal development (GO:2000026)	91	2	3.50	-	.57	5.87E-01
system development (GO:0048731)	546	12	20.98	-	.57	3.96E-02
organelle disassembly (GO:1903008)	46	1	1.77	-	.57	1.00E00
protein folding (GO:0006457)	92	2	3.53	-	.57	5.87E-01
mRNA splicing, via spliceosome (GO:0000398)	92	2	3.53	-	.57	5.87E-01
RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)	92	2	3.53	-	.57	5.87E-01
RNA splicing, via transesterification reactions (GO:0000375)	92	2	3.53	-	.57	5.87E-01
protein-containing complex assembly (GO:0065003)	184	4	7.07	-	.57	3.30E-01
cell-cell signaling (GO:0007267)	232	5	8.91	-	.56	2.25E-01
double-strand break repair (GO:0006302)	93	2	3.57	-	.56	5.87E-01
regulation of cellular localization (GO:0060341)	47	1	1.81	-	.55	1.00E00
positive regulation of nucleobase-containing compound metabolic process (GO:0045935)	282	6	10.84	-	.55	1.57E-01
regionalization (GO:0003002)	47	1	1.81	-	.55	1.00E00
synaptic signaling (GO:0099536)	142	3	5.46	-	.55	3.80E-01
regulation of cellular component organization (GO:0051128)	287	6	11.03	-	.54	1.58E-01
secretion by cell (GO:0032940)	96	2	3.69	-	.54	5.90E-01
regulation of protein polymerization (GO:0032271)	48	1	1.84	-	.54	1.00E00
regulation of nervous system development (GO:0051960)	48	1	1.84	-	.54	1.00E00
vesicle organization (GO:0016050)	96	2	3.69	-	.54	5.90E-01
positive regulation of macromolecule biosynthetic process (GO:0010557)	296	6	11.37	-	.53	1.23E-01
secretion (GO:0046903)	99	2	3.80	-	.53	5.93E-01
establishment or maintenance of cell polarity (GO:0007163)	50	1	1.92	-	.52	1.00E00
negative regulation of apoptotic process (GO:0043066)	50	1	1.92	-	.52	1.00E00
positive regulation of cellular biosynthetic process (GO:0031328)	301	6	11.57	-	.52	9.50E-02
positive regulation of biosynthetic process (GO:0009891)	302	6	11.60	-	.52	9.50E-02
membrane organization (GO:0061024)	152	3	5.84	-	.51	2.90E-01
supramolecular fiber organization (GO:0097435)	204	4	7.84	-	.51	1.97E-01
RNA splicing (GO:0008380)	102	2	3.92	-	.51	4.42E-01
meiotic cell cycle (GO:0051321)	51	1	1.96	-	.51	7.23E-01
negative regulation of programmed cell death (GO:0043069)	51	1	1.96	-	.51	7.23E-01
multicellular organism development (GO:0007275)	667	13	25.63	-	.51	6.71E-03
positive regulation of nitrogen compound metabolic process (GO:0051173)	416	8	15.98	-	.50	3.68E-02
anatomical structure development (GO:0048856)	885	17	34.00	-	.50	1.02E-03
protein-containing complex organization (GO:0043933)	314	6	12.06	-	.50	7.35E-02
regulation of cell cycle process (GO:0010564)	105	2	4.03	-	.50	4.43E-01
actin cytoskeleton organization (GO:0030036)	212	4	8.15	-	.49	1.51E-01
regulation of protein-containing complex assembly (GO:0043254)	54	1	2.07	-	.48	7.24E-01
nuclear chromosome segregation (GO:0098813)	54	1	2.07	-	.48	7.24E-01
recombinational repair (GO:0000725)	54	1	2.07	-	.48	7.24E-01
double-strand break repair via homologous recombination (GO:0000724)	54	1	2.07	-	.48	7.24E-01
export from cell (GO:0140352)	109	2	4.19	-	.48	4.46E-01
positive regulation of macromolecule metabolic process (GO:0010604)	437	8	16.79	-	.48	2.19E-02
actin filament-based process (GO:0030029)	219	4	8.41	-	.48	1.52E-01
macroautophagy (GO:0016236)	55	1	2.11	-	.47	7.25E-01
developmental process (GO:0032502)	997	18	38.31	-	.47	1.94E-04
alcohol metabolic process (GO:0006066)	56	1	2.15	-	.46	7.25E-01
positive regulation of cellular metabolic process (GO:0031325)	455	8	17.48	-	.46	1.72E-02
regulation of Wnt signaling pathway (GO:0030111)	57	1	2.19	-	.46	7.26E-01
defense response (GO:0006952)	57	1	2.19	-	.46	7.26E-01
pattern specification process (GO:0007389)	57	1	2.19	-	.46	7.26E-01
carbohydrate derivative catabolic process (GO:1901136)	58	1	2.23	-	.45	7.27E-01
muscle structure development (GO:0061061)	58	1	2.23	-	.45	7.27E-01
regulation of cellular component biogenesis (GO:0044087)	116	2	4.46	-	.45	3.30E-01
endocytosis (GO:0006897)	117	2	4.50	-	.44	3.31E-01
cell development (GO:0048468)	300	5	11.53	-	.43	4.66E-02
nervous system process (GO:0050877)	61	1	2.34	-	.43	7.32E-01
adenylate cyclase-activating G protein-coupled receptor signaling pathway (GO:0007189)	62	1	2.38	-	.42	7.33E-01
regulation of plasma membrane bounded cell projection organization (GO:0120035)	62	1	2.38	-	.42	7.33E-01
actin filament organization (GO:0007015)	125	2	4.80	-	.42	2.44E-01
vacuole organization (GO:0007033)	63	1	2.42	-	.41	5.20E-01
positive regulation of metabolic process (GO:0009893)	504	8	19.37	-	.41	4.25E-03
regulation of cell projection organization (GO:0031344)	63	1	2.42	-	.41	5.20E-01
positive regulation of transcription by RNA polymerase II (GO:0045944)	190	3	7.30	-	.41	1.25E-01
regulation of organelle organization (GO:0033043)	191	3	7.34	-	.41	1.25E-01
generation of precursor metabolites and energy (GO:0006091)	64	1	2.46	-	.41	5.20E-01
autophagy (GO:0006914)	64	1	2.46	-	.41	5.20E-01
process utilizing autophagic mechanism (GO:0061919)	64	1	2.46	-	.41	5.20E-01
positive regulation of protein metabolic process (GO:0051247)	134	2	5.15	-	.39	2.51E-01
positive regulation of MAPK cascade (GO:0043410)	68	1	2.61	-	.38	5.23E-01
tissue development (GO:0009888)	138	2	5.30	-	.38	1.80E-01
regulation of cell cycle (GO:0051726)	143	2	5.49	-	.36	1.83E-01
sexual reproduction (GO:0019953)	74	1	2.84	-	.35	5.34E-01
positive regulation of DNA-templated transcription (GO:0045893)	227	3	8.72	-	.34	5.19E-02
positive regulation of RNA biosynthetic process (GO:1902680)	227	3	8.72	-	.34	5.19E-02
DNA recombination (GO:0006310)	77	1	2.96	-	.34	3.72E-01
reproductive process (GO:0022414)	77	1	2.96	-	.34	3.72E-01
reproduction (GO:0000003)	77	1	2.96	-	.34	3.72E-01
response to growth factor (GO:0070848)	79	1	3.04	-	.33	3.74E-01
exocytosis (GO:0006887)	79	1	3.04	-	.33	3.74E-01
cellular response to growth factor stimulus (GO:0071363)	79	1	3.04	-	.33	3.74E-01
lipid transport (GO:0006869)	80	1	3.07	-	.33	3.75E-01
regulation of actin cytoskeleton organization (GO:0032956)	81	1	3.11	-	.32	3.77E-01
regulation of actin filament-based process (GO:0032970)	82	1	3.15	-	.32	3.78E-01
cellular component disassembly (GO:0022411)	82	1	3.15	-	.32	3.78E-01
lipid localization (GO:0010876)	83	1	3.19	-	.31	3.80E-01
cell differentiation (GO:0030154)	603	7	23.17	-	.30	1.14E-04
cellular developmental process (GO:0048869)	603	7	23.17	-	.30	1.14E-04
animal organ morphogenesis (GO:0009887)	88	1	3.38	-	.30	2.65E-01
rRNA metabolic process (GO:0016072)	90	1	3.46	-	.29	2.66E-01
positive regulation of cellular component organization (GO:0051130)	92	1	3.53	-	.28	2.69E-01
regulation of apoptotic process (GO:0042981)	93	1	3.57	-	.28	2.70E-01
chromatin remodeling (GO:0006338)	93	1	3.57	-	.28	2.70E-01
regulation of programmed cell death (GO:0043067)	97	1	3.73	-	.27	1.87E-01
animal organ development (GO:0048513)	293	3	11.26	-	.27	7.84E-03
non-membrane-bounded organelle assembly (GO:0140694)	99	1	3.80	-	.26	1.88E-01
chromatin organization (GO:0006325)	100	1	3.84	-	.26	1.88E-01
mitochondrion organization (GO:0007005)	104	1	4.00	-	.25	1.92E-01
immune system process (GO:0002376)	111	1	4.26	-	.23	1.33E-01
system process (GO:0003008)	111	1	4.26	-	.23	1.33E-01
regulation of MAPK cascade (GO:0043408)	114	1	4.38	-	.23	1.35E-01
protein-DNA complex organization (GO:0071824)	118	1	4.53	-	.22	9.32E-02
ribosome biogenesis (GO:0042254)	121	1	4.65	-	.22	9.35E-02
ribonucleoprotein complex biogenesis (GO:0022613)	167	1	6.42	-	.16	2.29E-02
adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains (GO:0002460)	2	0	.08	-	 < 0.01	1.00E00
mononuclear cell migration (GO:0071674)	4	0	.15	-	 < 0.01	1.00E00
intermediate filament organization (GO:0045109)	10	0	.38	-	 < 0.01	1.00E00
negative regulation of supramolecular fiber organization (GO:1902904)	32	0	1.23	-	 < 0.01	6.35E-01
regulation of supramolecular fiber organization (GO:1902903)	71	0	2.73	-	 < 0.01	1.16E-01
centriole assembly (GO:0098534)	9	0	.35	-	 < 0.01	1.00E00
intermediate filament cytoskeleton organization (GO:0045104)	15	0	.58	-	 < 0.01	1.00E00
intermediate filament-based process (GO:0045103)	15	0	.58	-	 < 0.01	1.00E00
vitamin transport (GO:0051180)	12	0	.46	-	 < 0.01	1.00E00
TOR signaling (GO:0031929)	9	0	.35	-	 < 0.01	1.00E00
nuclear-transcribed mRNA poly(A) tail shortening (GO:0000289)	5	0	.19	-	 < 0.01	1.00E00
establishment or maintenance of bipolar cell polarity (GO:0061245)	16	0	.61	-	 < 0.01	1.00E00
negative regulation of actin filament polymerization (GO:0030837)	22	0	.85	-	 < 0.01	1.00E00
sperm-egg recognition (GO:0035036)	1	0	.04	-	 < 0.01	1.00E00
negative regulation of actin filament depolymerization (GO:0030835)	18	0	.69	-	 < 0.01	1.00E00
regulation of actin filament depolymerization (GO:0030834)	20	0	.77	-	 < 0.01	1.00E00
regulation of actin filament polymerization (GO:0030833)	42	0	1.61	-	 < 0.01	4.10E-01
regulation of actin filament length (GO:0030832)	45	0	1.73	-	 < 0.01	4.20E-01
meiotic sister chromatid cohesion (GO:0051177)	2	0	.08	-	 < 0.01	1.00E00
regulation of cysteine-type endopeptidase activity involved in apoptotic process (GO:0043281)	17	0	.65	-	 < 0.01	1.00E00
