PANTHER GO-Slim Biological Process	background_genes.par_all.raisd.txt - REFLIST (10833)	(146)	(expected)	(over/under)	(fold Enrichment)	P-value
negative regulation of Notch signaling pathway (GO:0045746)	3	0	.04	-	 < 0.01	1.00E00
regulation of microtubule cytoskeleton organization (GO:0070507)	26	0	.35	-	 < 0.01	1.00E00
positive regulation of leukocyte cell-cell adhesion (GO:1903039)	3	0	.04	-	 < 0.01	1.00E00
negative regulation of leukocyte cell-cell adhesion (GO:1903038)	4	0	.05	-	 < 0.01	1.00E00
regulation of leukocyte cell-cell adhesion (GO:1903037)	6	0	.08	-	 < 0.01	1.00E00
sperm motility (GO:0097722)	1	0	.01	-	 < 0.01	1.00E00
regulation of endopeptidase activity (GO:0052548)	40	0	.54	-	 < 0.01	1.00E00
regulation of peptidase activity (GO:0052547)	40	0	.54	-	 < 0.01	1.00E00
negative regulation of gene expression (GO:0010629)	95	0	1.28	-	 < 0.01	6.41E-01
positive regulation of gene expression (GO:0010628)	62	0	.84	-	 < 0.01	1.00E00
response to external biotic stimulus (GO:0043207)	36	0	.49	-	 < 0.01	1.00E00
oligopeptide transmembrane transport (GO:0035672)	2	0	.03	-	 < 0.01	1.00E00
osteoblast differentiation (GO:0001649)	3	0	.04	-	 < 0.01	1.00E00
neutrophil activation (GO:0042119)	1	0	.01	-	 < 0.01	1.00E00
positive regulation of DNA repair (GO:0045739)	9	0	.12	-	 < 0.01	1.00E00
piRNA processing (GO:0034587)	3	0	.04	-	 < 0.01	1.00E00
negative regulation of DNA repair (GO:0045738)	5	0	.07	-	 < 0.01	1.00E00
intracellular pH reduction (GO:0051452)	9	0	.12	-	 < 0.01	1.00E00
odontogenesis (GO:0042476)	2	0	.03	-	 < 0.01	1.00E00
B cell activation (GO:0042113)	6	0	.08	-	 < 0.01	1.00E00
odontogenesis of dentin-containing tooth (GO:0042475)	2	0	.03	-	 < 0.01	1.00E00
positive regulation of protein catabolic process (GO:0045732)	21	0	.28	-	 < 0.01	1.00E00
regulation of heart contraction (GO:0008016)	16	0	.22	-	 < 0.01	1.00E00
blood circulation (GO:0008015)	35	0	.47	-	 < 0.01	1.00E00
T cell activation (GO:0042110)	5	0	.07	-	 < 0.01	1.00E00
inner ear morphogenesis (GO:0042472)	2	0	.03	-	 < 0.01	1.00E00
chromosome localization (GO:0050000)	12	0	.16	-	 < 0.01	1.00E00
vesicle targeting, trans-Golgi to periciliary membrane compartment (GO:0097712)	1	0	.01	-	 < 0.01	1.00E00
protein localization to cilium (GO:0061512)	11	0	.15	-	 < 0.01	1.00E00
antigen processing and presentation (GO:0019882)	3	0	.04	-	 < 0.01	1.00E00
sperm axoneme assembly (GO:0007288)	1	0	.01	-	 < 0.01	1.00E00
cardiolipin biosynthetic process (GO:0032049)	2	0	.03	-	 < 0.01	1.00E00
epithelium development (GO:0060429)	30	0	.40	-	 < 0.01	1.00E00
spermatid development (GO:0007286)	4	0	.05	-	 < 0.01	1.00E00
regulation of dephosphorylation (GO:0035303)	7	0	.09	-	 < 0.01	1.00E00
spermatogenesis (GO:0007283)	14	0	.19	-	 < 0.01	1.00E00
germ cell development (GO:0007281)	14	0	.19	-	 < 0.01	1.00E00
mitochondrial DNA metabolic process (GO:0032042)	4	0	.05	-	 < 0.01	1.00E00
carbohydrate transmembrane transport (GO:0034219)	6	0	.08	-	 < 0.01	1.00E00
negative regulation of G2/M transition of mitotic cell cycle (GO:0010972)	13	0	.18	-	 < 0.01	1.00E00
regulation of meiotic cell cycle (GO:0051445)	10	0	.13	-	 < 0.01	1.00E00
transport along microtubule (GO:0010970)	48	0	.65	-	 < 0.01	1.00E00
purine nucleotide catabolic process (GO:0006195)	17	0	.23	-	 < 0.01	1.00E00
positive regulation of translation (GO:0045727)	17	0	.23	-	 < 0.01	1.00E00
RNA modification (GO:0009451)	70	0	.94	-	 < 0.01	1.00E00
response to growth factor (GO:0070848)	73	0	.98	-	 < 0.01	6.28E-01
positive regulation of T cell proliferation (GO:0042102)	2	0	.03	-	 < 0.01	1.00E00
mitochondrial transmembrane transport (GO:1990542)	33	0	.44	-	 < 0.01	1.00E00
regulation of cell size (GO:0008361)	12	0	.16	-	 < 0.01	1.00E00
regulation of cell shape (GO:0008360)	24	0	.32	-	 < 0.01	1.00E00
regulation of natural killer cell mediated immunity (GO:0002715)	1	0	.01	-	 < 0.01	1.00E00
gamete generation (GO:0007276)	24	0	.32	-	 < 0.01	1.00E00
post-transcriptional regulation of gene expression (GO:0010608)	91	0	1.23	-	 < 0.01	6.37E-01
neuromuscular synaptic transmission (GO:0007274)	10	0	.13	-	 < 0.01	1.00E00
regulation of mitotic sister chromatid separation (GO:0010965)	15	0	.20	-	 < 0.01	1.00E00
DNA geometric change (GO:0032392)	9	0	.12	-	 < 0.01	1.00E00
protein acylation (GO:0043543)	27	0	.36	-	 < 0.01	1.00E00
endothelial cell migration (GO:0043542)	3	0	.04	-	 < 0.01	1.00E00
IMP biosynthetic process (GO:0006188)	6	0	.08	-	 < 0.01	1.00E00
regulation of transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0090092)	32	0	.43	-	 < 0.01	1.00E00
negative regulation of canonical Wnt signaling pathway (GO:0090090)	15	0	.20	-	 < 0.01	1.00E00
lipid translocation (GO:0034204)	21	0	.28	-	 < 0.01	1.00E00
cGMP biosynthetic process (GO:0006182)	3	0	.04	-	 < 0.01	1.00E00
response to organic cyclic compound (GO:0014070)	27	0	.36	-	 < 0.01	1.00E00
negative regulation of macroautophagy (GO:0016242)	4	0	.05	-	 < 0.01	1.00E00
regulation of macroautophagy (GO:0016241)	14	0	.19	-	 < 0.01	1.00E00
regulation of lymphocyte mediated immunity (GO:0002706)	3	0	.04	-	 < 0.01	1.00E00
Rho protein signal transduction (GO:0007266)	21	0	.28	-	 < 0.01	1.00E00
Ras protein signal transduction (GO:0007265)	24	0	.32	-	 < 0.01	1.00E00
regulation of response to endoplasmic reticulum stress (GO:1905897)	6	0	.08	-	 < 0.01	1.00E00
regulation of leukocyte mediated immunity (GO:0002703)	3	0	.04	-	 < 0.01	1.00E00
regulation of metal ion transport (GO:0010959)	48	0	.65	-	 < 0.01	1.00E00
regulation of chromatin organization (GO:1902275)	3	0	.04	-	 < 0.01	1.00E00
regulation of peptide transport (GO:0090087)	3	0	.04	-	 < 0.01	1.00E00
tyrosine phosphorylation of STAT protein (GO:0007260)	1	0	.01	-	 < 0.01	1.00E00
positive regulation of peptidase activity (GO:0010952)	18	0	.24	-	 < 0.01	1.00E00
negative regulation of endopeptidase activity (GO:0010951)	22	0	.30	-	 < 0.01	1.00E00
positive regulation of endopeptidase activity (GO:0010950)	18	0	.24	-	 < 0.01	1.00E00
negative regulation of nuclear division (GO:0051784)	13	0	.18	-	 < 0.01	1.00E00
replication fork processing (GO:0031297)	14	0	.19	-	 < 0.01	1.00E00
regulation of nuclear division (GO:0051783)	24	0	.32	-	 < 0.01	1.00E00
heterochromatin organization (GO:0070828)	18	0	.24	-	 < 0.01	1.00E00
regulation of ERBB signaling pathway (GO:1901184)	11	0	.15	-	 < 0.01	1.00E00
hormone biosynthetic process (GO:0042446)	1	0	.01	-	 < 0.01	1.00E00
positive regulation of cell division (GO:0051781)	2	0	.03	-	 < 0.01	1.00E00
hormone metabolic process (GO:0042445)	11	0	.15	-	 < 0.01	1.00E00
mitochondrial respiratory chain complex III assembly (GO:0034551)	1	0	.01	-	 < 0.01	1.00E00
mitochondrial respiratory chain complex assembly (GO:0033108)	10	0	.13	-	 < 0.01	1.00E00
positive regulation of macroautophagy (GO:0016239)	9	0	.12	-	 < 0.01	1.00E00
pigment metabolic process (GO:0042440)	12	0	.16	-	 < 0.01	1.00E00
antimicrobial humoral immune response mediated by antimicrobial peptide (GO:0061844)	1	0	.01	-	 < 0.01	1.00E00
telomere capping (GO:0016233)	2	0	.03	-	 < 0.01	1.00E00
receptor signaling pathway via JAK-STAT (GO:0007259)	5	0	.07	-	 < 0.01	1.00E00
JNK cascade (GO:0007254)	6	0	.08	-	 < 0.01	1.00E00
negative regulation of cell cycle process (GO:0010948)	44	0	.59	-	 < 0.01	1.00E00
purine nucleotide biosynthetic process (GO:0006164)	43	0	.58	-	 < 0.01	1.00E00
purine nucleotide metabolic process (GO:0006163)	82	0	1.11	-	 < 0.01	6.31E-01
positive regulation of cytokine-mediated signaling pathway (GO:0001961)	3	0	.04	-	 < 0.01	1.00E00
positive regulation of cyclase activity (GO:0031281)	9	0	.12	-	 < 0.01	1.00E00
acetylcholine receptor signaling pathway (GO:0095500)	18	0	.24	-	 < 0.01	1.00E00
snRNA transcription by RNA polymerase II (GO:0042795)	3	0	.04	-	 < 0.01	1.00E00
negative regulation of cyclase activity (GO:0031280)	2	0	.03	-	 < 0.01	1.00E00
collagen fibril organization (GO:0030199)	9	0	.12	-	 < 0.01	1.00E00
endosome to lysosome transport (GO:0008333)	14	0	.19	-	 < 0.01	1.00E00
extracellular matrix organization (GO:0030198)	95	0	1.28	-	 < 0.01	6.41E-01
iron-sulfur cluster assembly (GO:0016226)	8	0	.11	-	 < 0.01	1.00E00
nucleolar large rRNA transcription by RNA polymerase I (GO:0042790)	5	0	.07	-	 < 0.01	1.00E00
negative regulation of blood coagulation (GO:0030195)	4	0	.05	-	 < 0.01	1.00E00
canonical NF-kappaB signal transduction (GO:0007249)	3	0	.04	-	 < 0.01	1.00E00
positive regulation of TOR signaling (GO:0032008)	14	0	.19	-	 < 0.01	1.00E00
negative regulation of TOR signaling (GO:0032007)	8	0	.11	-	 < 0.01	1.00E00
non-motile cilium assembly (GO:1905515)	12	0	.16	-	 < 0.01	1.00E00
regulation of TOR signaling (GO:0032006)	25	0	.34	-	 < 0.01	1.00E00
intracellular sterol transport (GO:0032366)	3	0	.04	-	 < 0.01	1.00E00
intracellular lipid transport (GO:0032365)	5	0	.07	-	 < 0.01	1.00E00
positive regulation of cell cycle process (GO:0090068)	21	0	.28	-	 < 0.01	1.00E00
regulation of anatomical structure size (GO:0090066)	61	0	.82	-	 < 0.01	1.00E00
regulation of cyclase activity (GO:0031279)	12	0	.16	-	 < 0.01	1.00E00
neuron apoptotic process (GO:0051402)	4	0	.05	-	 < 0.01	1.00E00
purine nucleoside catabolic process (GO:0006152)	3	0	.04	-	 < 0.01	1.00E00
regulation of cell-matrix adhesion (GO:0001952)	4	0	.05	-	 < 0.01	1.00E00
positive regulation of epithelial cell proliferation (GO:0050679)	7	0	.09	-	 < 0.01	1.00E00
protein deubiquitination (GO:0016579)	51	0	.69	-	 < 0.01	1.00E00
tRNA 3'-end processing (GO:0042780)	1	0	.01	-	 < 0.01	1.00E00
epithelial cell proliferation (GO:0050673)	1	0	.01	-	 < 0.01	1.00E00
regulation of lymphocyte proliferation (GO:0050670)	5	0	.07	-	 < 0.01	1.00E00
B cell differentiation (GO:0030183)	3	0	.04	-	 < 0.01	1.00E00
neuron differentiation (GO:0030182)	250	0	3.37	-	 < 0.01	5.21E-02
developmental pigmentation (GO:0048066)	6	0	.08	-	 < 0.01	1.00E00
response to cold (GO:0009409)	1	0	.01	-	 < 0.01	1.00E00
response to heat (GO:0009408)	11	0	.15	-	 < 0.01	1.00E00
regulation of phosphatase activity (GO:0010921)	5	0	.07	-	 < 0.01	1.00E00
vasculature development (GO:0001944)	36	0	.49	-	 < 0.01	1.00E00
neural crest cell differentiation (GO:0014033)	24	0	.32	-	 < 0.01	1.00E00
neural crest cell development (GO:0014032)	24	0	.32	-	 < 0.01	1.00E00
mitochondrial ATP synthesis coupled electron transport (GO:0042775)	6	0	.08	-	 < 0.01	1.00E00
ATP synthesis coupled electron transport (GO:0042773)	6	0	.08	-	 < 0.01	1.00E00
negative regulation of Wnt signaling pathway (GO:0030178)	28	0	.38	-	 < 0.01	1.00E00
intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator (GO:0042771)	3	0	.04	-	 < 0.01	1.00E00
signal transduction in response to DNA damage (GO:0042770)	17	0	.23	-	 < 0.01	1.00E00
integrin-mediated signaling pathway (GO:0007229)	24	0	.32	-	 < 0.01	1.00E00
smoothened signaling pathway (GO:0007224)	13	0	.18	-	 < 0.01	1.00E00
digestion (GO:0007586)	1	0	.01	-	 < 0.01	1.00E00
cellular response to topologically incorrect protein (GO:0035967)	24	0	.32	-	 < 0.01	1.00E00
response to topologically incorrect protein (GO:0035966)	24	0	.32	-	 < 0.01	1.00E00
protein lipidation (GO:0006497)	48	0	.65	-	 < 0.01	1.00E00
hormone-mediated signaling pathway (GO:0009755)	23	0	.31	-	 < 0.01	1.00E00
endothelial cell proliferation (GO:0001935)	1	0	.01	-	 < 0.01	1.00E00
negative regulation of protein phosphorylation (GO:0001933)	32	0	.43	-	 < 0.01	1.00E00
protein O-linked glycosylation (GO:0006493)	39	0	.53	-	 < 0.01	1.00E00
RNA transport (GO:0050658)	34	0	.46	-	 < 0.01	1.00E00
nucleic acid transport (GO:0050657)	34	0	.46	-	 < 0.01	1.00E00
protein import into peroxisome matrix (GO:0016558)	11	0	.15	-	 < 0.01	1.00E00
positive regulation of mRNA metabolic process (GO:1903313)	30	0	.40	-	 < 0.01	1.00E00
isoprenoid catabolic process (GO:0008300)	4	0	.05	-	 < 0.01	1.00E00
mRNA modification (GO:0016556)	8	0	.11	-	 < 0.01	1.00E00
chondroitin sulfate proteoglycan biosynthetic process (GO:0050650)	10	0	.13	-	 < 0.01	1.00E00
neuropeptide signaling pathway (GO:0007218)	28	0	.38	-	 < 0.01	1.00E00
regulation of proteolysis (GO:0030162)	71	0	.96	-	 < 0.01	1.00E00
dopamine receptor signaling pathway (GO:0007212)	6	0	.08	-	 < 0.01	1.00E00
response to glucose (GO:0009749)	4	0	.05	-	 < 0.01	1.00E00
carbohydrate derivative catabolic process (GO:1901136)	55	0	.74	-	 < 0.01	1.00E00
mitochondrial electron transport, succinate to ubiquinone (GO:0006121)	1	0	.01	-	 < 0.01	1.00E00
mitochondrial electron transport, NADH to ubiquinone (GO:0006120)	3	0	.04	-	 < 0.01	1.00E00
protein localization to kinetochore (GO:0034501)	5	0	.07	-	 < 0.01	1.00E00
regulation of circadian rhythm (GO:0042752)	8	0	.11	-	 < 0.01	1.00E00
phospholipid biosynthetic process (GO:0008654)	66	0	.89	-	 < 0.01	1.00E00
amino acid biosynthetic process (GO:0008652)	22	0	.30	-	 < 0.01	1.00E00
protein import into mitochondrial matrix (GO:0030150)	9	0	.12	-	 < 0.01	1.00E00
alanine transport (GO:0032328)	3	0	.04	-	 < 0.01	1.00E00
positive regulation of cytosolic calcium ion concentration (GO:0007204)	17	0	.23	-	 < 0.01	1.00E00
oxidative phosphorylation (GO:0006119)	6	0	.08	-	 < 0.01	1.00E00
energy reserve metabolic process (GO:0006112)	5	0	.07	-	 < 0.01	1.00E00
protein acetylation (GO:0006473)	5	0	.07	-	 < 0.01	1.00E00
regulation of leukocyte mediated cytotoxicity (GO:0001910)	1	0	.01	-	 < 0.01	1.00E00
sphingolipid catabolic process (GO:0030149)	10	0	.13	-	 < 0.01	1.00E00
defense response to bacterium (GO:0042742)	5	0	.07	-	 < 0.01	1.00E00
sphingolipid biosynthetic process (GO:0030148)	35	0	.47	-	 < 0.01	1.00E00
carbohydrate transport (GO:0008643)	6	0	.08	-	 < 0.01	1.00E00
negative regulation of protein kinase activity (GO:0006469)	31	0	.42	-	 < 0.01	1.00E00
protein phosphorylation (GO:0006468)	187	0	2.52	-	 < 0.01	1.86E-01
response to hormone (GO:0009725)	69	0	.93	-	 < 0.01	1.00E00
cell-substrate adhesion (GO:0031589)	43	0	.58	-	 < 0.01	1.00E00
signal peptide processing (GO:0006465)	4	0	.05	-	 < 0.01	1.00E00
sister chromatid segregation (GO:0000819)	37	0	.50	-	 < 0.01	1.00E00
apoptotic mitochondrial changes (GO:0008637)	9	0	.12	-	 < 0.01	1.00E00
proteinogenic amino acid metabolic process (GO:0170039)	37	0	.50	-	 < 0.01	1.00E00
proteinogenic amino acid biosynthetic process (GO:0170038)	20	0	.27	-	 < 0.01	1.00E00
negative regulation of angiogenesis (GO:0016525)	8	0	.11	-	 < 0.01	1.00E00
detection of mechanical stimulus (GO:0050982)	8	0	.11	-	 < 0.01	1.00E00
intrinsic apoptotic signaling pathway in response to DNA damage (GO:0008630)	11	0	.15	-	 < 0.01	1.00E00
L-amino acid biosynthetic process (GO:0170034)	20	0	.27	-	 < 0.01	1.00E00
L-amino acid metabolic process (GO:0170033)	44	0	.59	-	 < 0.01	1.00E00
negative regulation of chromosome separation (GO:1905819)	9	0	.12	-	 < 0.01	1.00E00
sex differentiation (GO:0007548)	4	0	.05	-	 < 0.01	1.00E00
regulation of chromosome separation (GO:1905818)	15	0	.20	-	 < 0.01	1.00E00
response to endogenous stimulus (GO:0009719)	161	0	2.17	-	 < 0.01	2.83E-01
response to other organism (GO:0051707)	36	0	.49	-	 < 0.01	1.00E00
'de novo' protein folding (GO:0006458)	7	0	.09	-	 < 0.01	1.00E00
protein folding (GO:0006457)	78	0	1.05	-	 < 0.01	6.29E-01
vascular endothelial growth factor receptor signaling pathway (GO:0048010)	9	0	.12	-	 < 0.01	1.00E00
biological process involved in interaction with host (GO:0051701)	1	0	.01	-	 < 0.01	1.00E00
RNA decapping (GO:0110154)	8	0	.11	-	 < 0.01	1.00E00
biomineral tissue development (GO:0031214)	4	0	.05	-	 < 0.01	1.00E00
mitotic intra-S DNA damage checkpoint signaling (GO:0031573)	4	0	.05	-	 < 0.01	1.00E00
DNA integrity checkpoint signaling (GO:0031570)	19	0	.26	-	 < 0.01	1.00E00
extrinsic apoptotic signaling pathway via death domain receptors (GO:0008625)	2	0	.03	-	 < 0.01	1.00E00
tRNA methylation (GO:0030488)	15	0	.20	-	 < 0.01	1.00E00
insulin-like growth factor receptor signaling pathway (GO:0048009)	4	0	.05	-	 < 0.01	1.00E00
regulation of translational initiation (GO:0006446)	9	0	.12	-	 < 0.01	1.00E00
nucleotide-sugar transmembrane transport (GO:0015780)	3	0	.04	-	 < 0.01	1.00E00
post-translational protein targeting to membrane, translocation (GO:0031204)	5	0	.07	-	 < 0.01	1.00E00
tRNA wobble uridine modification (GO:0002098)	6	0	.08	-	 < 0.01	1.00E00
lipid biosynthetic process (GO:0008610)	151	0	2.04	-	 < 0.01	2.74E-01
neuromuscular junction development (GO:0007528)	9	0	.12	-	 < 0.01	1.00E00
attachment of spindle microtubules to kinetochore (GO:0008608)	7	0	.09	-	 < 0.01	1.00E00
lens development in camera-type eye (GO:0002088)	16	0	.22	-	 < 0.01	1.00E00
organelle transport along microtubule (GO:0072384)	25	0	.34	-	 < 0.01	1.00E00
sensory perception of mechanical stimulus (GO:0050954)	9	0	.12	-	 < 0.01	1.00E00
skeletal muscle tissue development (GO:0007519)	13	0	.18	-	 < 0.01	1.00E00
positive regulation of innate immune response (GO:0045089)	17	0	.23	-	 < 0.01	1.00E00
positive regulation of cysteine-type endopeptidase activity (GO:2001056)	16	0	.22	-	 < 0.01	1.00E00
regulation of innate immune response (GO:0045088)	22	0	.30	-	 < 0.01	1.00E00
innate immune response (GO:0045087)	22	0	.30	-	 < 0.01	1.00E00
negative regulation of proteasomal protein catabolic process (GO:1901799)	5	0	.07	-	 < 0.01	1.00E00
heme biosynthetic process (GO:0006783)	4	0	.05	-	 < 0.01	1.00E00
protein activation cascade (GO:0072376)	5	0	.07	-	 < 0.01	1.00E00
alcohol biosynthetic process (GO:0046165)	27	0	.36	-	 < 0.01	1.00E00
generation of neurons (GO:0048699)	261	0	3.52	-	 < 0.01	5.26E-02
protein-containing complex disassembly (GO:0032984)	38	0	.51	-	 < 0.01	1.00E00
regulation of translation (GO:0006417)	41	0	.55	-	 < 0.01	1.00E00
mitochondrial respiratory chain complex I assembly (GO:0032981)	6	0	.08	-	 < 0.01	1.00E00
mesoderm morphogenesis (GO:0048332)	7	0	.09	-	 < 0.01	1.00E00
porphyrin-containing compound metabolic process (GO:0006778)	9	0	.12	-	 < 0.01	1.00E00
translational termination (GO:0006415)	3	0	.04	-	 < 0.01	1.00E00
translational elongation (GO:0006414)	17	0	.23	-	 < 0.01	1.00E00
chromosome organization involved in meiotic cell cycle (GO:0070192)	9	0	.12	-	 < 0.01	1.00E00
regulation of complement activation (GO:0030449)	1	0	.01	-	 < 0.01	1.00E00
organophosphate ester transport (GO:0015748)	41	0	.55	-	 < 0.01	1.00E00
citrate transport (GO:0015746)	2	0	.03	-	 < 0.01	1.00E00
succinate transport (GO:0015744)	2	0	.03	-	 < 0.01	1.00E00
mRNA export from nucleus (GO:0006406)	24	0	.32	-	 < 0.01	1.00E00
C4-dicarboxylate transport (GO:0015740)	11	0	.15	-	 < 0.01	1.00E00
RNA export from nucleus (GO:0006405)	30	0	.40	-	 < 0.01	1.00E00
RNA localization (GO:0006403)	37	0	.50	-	 < 0.01	1.00E00
mRNA catabolic process (GO:0006402)	41	0	.55	-	 < 0.01	1.00E00
RNA catabolic process (GO:0006401)	45	0	.61	-	 < 0.01	1.00E00
tRNA modification (GO:0006400)	34	0	.46	-	 < 0.01	1.00E00
folic acid-containing compound metabolic process (GO:0006760)	8	0	.11	-	 < 0.01	1.00E00
pigment biosynthetic process (GO:0046148)	9	0	.12	-	 < 0.01	1.00E00
positive regulation of chemotaxis (GO:0050921)	7	0	.09	-	 < 0.01	1.00E00
regulation of chemotaxis (GO:0050920)	7	0	.09	-	 < 0.01	1.00E00
positive regulation of transcription elongation by RNA polymerase II (GO:0032968)	5	0	.07	-	 < 0.01	1.00E00
mitotic spindle assembly (GO:0090307)	11	0	.15	-	 < 0.01	1.00E00
axon extension (GO:0048675)	2	0	.03	-	 < 0.01	1.00E00
nucleoside phosphate metabolic process (GO:0006753)	102	0	1.37	-	 < 0.01	6.50E-01
regulation of membrane lipid distribution (GO:0097035)	24	0	.32	-	 < 0.01	1.00E00
positive chemotaxis (GO:0050918)	2	0	.03	-	 < 0.01	1.00E00
regulation of transmembrane transporter activity (GO:0022898)	38	0	.51	-	 < 0.01	1.00E00
sensory perception of bitter taste (GO:0050913)	1	0	.01	-	 < 0.01	1.00E00
detection of chemical stimulus involved in sensory perception of taste (GO:0050912)	1	0	.01	-	 < 0.01	1.00E00
chemical synaptic transmission, postsynaptic (GO:0099565)	4	0	.05	-	 < 0.01	1.00E00
nicotinamide nucleotide metabolic process (GO:0046496)	27	0	.36	-	 < 0.01	1.00E00
sprouting angiogenesis (GO:0002040)	8	0	.11	-	 < 0.01	1.00E00
synaptic membrane adhesion (GO:0099560)	5	0	.07	-	 < 0.01	1.00E00
protein insertion into ER membrane (GO:0045048)	3	0	.04	-	 < 0.01	1.00E00
cell morphogenesis involved in neuron differentiation (GO:0048667)	112	0	1.51	-	 < 0.01	4.09E-01
neuron development (GO:0048666)	187	0	2.52	-	 < 0.01	1.86E-01
bile acid and bile salt transport (GO:0015721)	5	0	.07	-	 < 0.01	1.00E00
heterochromatin formation (GO:0031507)	15	0	.20	-	 < 0.01	1.00E00
ubiquinone biosynthetic process (GO:0006744)	5	0	.07	-	 < 0.01	1.00E00
sensory perception of taste (GO:0050909)	1	0	.01	-	 < 0.01	1.00E00
detection of chemical stimulus involved in sensory perception (GO:0050907)	2	0	.03	-	 < 0.01	1.00E00
detection of stimulus involved in sensory perception (GO:0050906)	6	0	.08	-	 < 0.01	1.00E00
intrinsic apoptotic signaling pathway by p53 class mediator (GO:0072332)	4	0	.05	-	 < 0.01	1.00E00
signal transduction by p53 class mediator (GO:0072331)	5	0	.07	-	 < 0.01	1.00E00
monocarboxylic acid biosynthetic process (GO:0072330)	25	0	.34	-	 < 0.01	1.00E00
phosphatidylinositol metabolic process (GO:0046488)	81	0	1.09	-	 < 0.01	6.30E-01
leukocyte migration (GO:0050900)	7	0	.09	-	 < 0.01	1.00E00
glycerolipid metabolic process (GO:0046486)	122	0	1.64	-	 < 0.01	4.16E-01
monocarboxylic acid transport (GO:0015718)	33	0	.44	-	 < 0.01	1.00E00
protein insertion into mitochondrial inner membrane (GO:0045039)	3	0	.04	-	 < 0.01	1.00E00
regulation of mononuclear cell proliferation (GO:0032944)	5	0	.07	-	 < 0.01	1.00E00
mononuclear cell proliferation (GO:0032943)	1	0	.01	-	 < 0.01	1.00E00
NADP metabolic process (GO:0006739)	4	0	.05	-	 < 0.01	1.00E00
monocarboxylic acid catabolic process (GO:0072329)	31	0	.42	-	 < 0.01	1.00E00
regulation of sodium ion transport (GO:0002028)	19	0	.26	-	 < 0.01	1.00E00
glycerophospholipid catabolic process (GO:0046475)	8	0	.11	-	 < 0.01	1.00E00
glycerophospholipid biosynthetic process (GO:0046474)	60	0	.81	-	 < 0.01	1.00E00
phosphatidylcholine metabolic process (GO:0046470)	7	0	.09	-	 < 0.01	1.00E00
SREBP signaling pathway (GO:0032933)	6	0	.08	-	 < 0.01	1.00E00
early endosome to late endosome transport (GO:0045022)	4	0	.05	-	 < 0.01	1.00E00
terpenoid metabolic process (GO:0006721)	6	0	.08	-	 < 0.01	1.00E00
isoprenoid metabolic process (GO:0006720)	13	0	.18	-	 < 0.01	1.00E00
lymphocyte migration (GO:0072676)	2	0	.03	-	 < 0.01	1.00E00
immune system process (GO:0002376)	100	0	1.35	-	 < 0.01	6.47E-01
monosaccharide metabolic process (GO:0005996)	24	0	.32	-	 < 0.01	1.00E00
regulation of postsynaptic membrane potential (GO:0060078)	11	0	.15	-	 < 0.01	1.00E00
membrane lipid biosynthetic process (GO:0046467)	51	0	.69	-	 < 0.01	1.00E00
acylglycerol catabolic process (GO:0046464)	9	0	.12	-	 < 0.01	1.00E00
canonical Wnt signaling pathway (GO:0060070)	48	0	.65	-	 < 0.01	1.00E00
cellular response to lipopolysaccharide (GO:0071222)	7	0	.09	-	 < 0.01	1.00E00
neutral lipid catabolic process (GO:0046461)	9	0	.12	-	 < 0.01	1.00E00
activin receptor signaling pathway (GO:0032924)	3	0	.04	-	 < 0.01	1.00E00
glycerolipid biosynthetic process (GO:0045017)	69	0	.93	-	 < 0.01	1.00E00
positive regulation of developmental process (GO:0051094)	67	0	.90	-	 < 0.01	1.00E00
circadian regulation of gene expression (GO:0032922)	18	0	.24	-	 < 0.01	1.00E00
positive regulation of NF-kappaB transcription factor activity (GO:0051092)	10	0	.13	-	 < 0.01	1.00E00
positive regulation of DNA-binding transcription factor activity (GO:0051091)	15	0	.20	-	 < 0.01	1.00E00
regulation of DNA-binding transcription factor activity (GO:0051090)	22	0	.30	-	 < 0.01	1.00E00
mRNA destabilization (GO:0061157)	24	0	.32	-	 < 0.01	1.00E00
morphogenesis of an epithelium (GO:0002009)	10	0	.13	-	 < 0.01	1.00E00
establishment of protein localization to vacuole (GO:0072666)	20	0	.27	-	 < 0.01	1.00E00
autophagosome maturation (GO:0097352)	5	0	.07	-	 < 0.01	1.00E00
protein localization to vacuole (GO:0072665)	22	0	.30	-	 < 0.01	1.00E00
small molecule biosynthetic process (GO:0044283)	99	0	1.33	-	 < 0.01	6.46E-01
small molecule catabolic process (GO:0044282)	79	0	1.06	-	 < 0.01	6.29E-01
leukocyte activation involved in immune response (GO:0002366)	2	0	.03	-	 < 0.01	1.00E00
TORC2 signaling (GO:0038203)	4	0	.05	-	 < 0.01	1.00E00
cellular response to molecule of bacterial origin (GO:0071219)	7	0	.09	-	 < 0.01	1.00E00
TORC1 signaling (GO:0038202)	1	0	.01	-	 < 0.01	1.00E00
icosanoid biosynthetic process (GO:0046456)	5	0	.07	-	 < 0.01	1.00E00
cellular response to biotic stimulus (GO:0071216)	7	0	.09	-	 < 0.01	1.00E00
positive regulation of cell cycle G1/S phase transition (GO:1902808)	8	0	.11	-	 < 0.01	1.00E00
leucine biosynthetic process (GO:0009098)	1	0	.01	-	 < 0.01	1.00E00
regulation of cell cycle G1/S phase transition (GO:1902806)	18	0	.24	-	 < 0.01	1.00E00
