PANTHER GO-Slim Biological Process	background_genes.for_all.raisd.txt - REFLIST (10898)	(91)	(expected)	(over/under)	(fold Enrichment)	P-value
positive regulation of cell cycle process (GO:0090068)	21	0	.18	-	 < 0.01	1.00E00
regulation of anatomical structure size (GO:0090066)	60	0	.50	-	 < 0.01	1.00E00
response to light stimulus (GO:0009416)	24	0	.20	-	 < 0.01	1.00E00
regulation of cyclase activity (GO:0031279)	12	0	.10	-	 < 0.01	1.00E00
neuron apoptotic process (GO:0051402)	4	0	.03	-	 < 0.01	1.00E00
response to UV (GO:0009411)	7	0	.06	-	 < 0.01	1.00E00
purine nucleoside catabolic process (GO:0006152)	3	0	.03	-	 < 0.01	1.00E00
regulation of cell-matrix adhesion (GO:0001952)	4	0	.03	-	 < 0.01	1.00E00
positive regulation of epithelial cell proliferation (GO:0050679)	7	0	.06	-	 < 0.01	1.00E00
tRNA 3'-end processing (GO:0042780)	1	0	.01	-	 < 0.01	1.00E00
epithelial cell proliferation (GO:0050673)	1	0	.01	-	 < 0.01	1.00E00
regulation of lymphocyte proliferation (GO:0050670)	5	0	.04	-	 < 0.01	1.00E00
B cell differentiation (GO:0030183)	3	0	.03	-	 < 0.01	1.00E00
cellular component assembly involved in morphogenesis (GO:0010927)	23	0	.19	-	 < 0.01	1.00E00
developmental pigmentation (GO:0048066)	6	0	.05	-	 < 0.01	1.00E00
response to cold (GO:0009409)	1	0	.01	-	 < 0.01	1.00E00
response to heat (GO:0009408)	11	0	.09	-	 < 0.01	1.00E00
regulation of phosphatase activity (GO:0010921)	5	0	.04	-	 < 0.01	1.00E00
purine nucleobase metabolic process (GO:0006144)	8	0	.07	-	 < 0.01	1.00E00
vasculature development (GO:0001944)	36	0	.30	-	 < 0.01	1.00E00
neural crest cell differentiation (GO:0014033)	24	0	.20	-	 < 0.01	1.00E00
neural crest cell development (GO:0014032)	24	0	.20	-	 < 0.01	1.00E00
mitochondrial ATP synthesis coupled electron transport (GO:0042775)	6	0	.05	-	 < 0.01	1.00E00
ATP synthesis coupled electron transport (GO:0042773)	6	0	.05	-	 < 0.01	1.00E00
negative regulation of Wnt signaling pathway (GO:0030178)	29	0	.24	-	 < 0.01	1.00E00
intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator (GO:0042771)	3	0	.03	-	 < 0.01	1.00E00
positive regulation of Wnt signaling pathway (GO:0030177)	22	0	.18	-	 < 0.01	1.00E00
signal transduction in response to DNA damage (GO:0042770)	19	0	.16	-	 < 0.01	1.00E00
integrin-mediated signaling pathway (GO:0007229)	25	0	.21	-	 < 0.01	1.00E00
smoothened signaling pathway (GO:0007224)	13	0	.11	-	 < 0.01	1.00E00
digestion (GO:0007586)	1	0	.01	-	 < 0.01	1.00E00
cellular response to topologically incorrect protein (GO:0035967)	25	0	.21	-	 < 0.01	1.00E00
response to topologically incorrect protein (GO:0035966)	25	0	.21	-	 < 0.01	1.00E00
protein lipidation (GO:0006497)	47	0	.39	-	 < 0.01	1.00E00
hormone-mediated signaling pathway (GO:0009755)	23	0	.19	-	 < 0.01	1.00E00
endothelial cell proliferation (GO:0001935)	1	0	.01	-	 < 0.01	1.00E00
positive regulation of protein phosphorylation (GO:0001934)	63	0	.53	-	 < 0.01	1.00E00
RNA transport (GO:0050658)	36	0	.30	-	 < 0.01	1.00E00
nucleic acid transport (GO:0050657)	36	0	.30	-	 < 0.01	1.00E00
platelet activation (GO:0030168)	6	0	.05	-	 < 0.01	1.00E00
protein import into peroxisome matrix (GO:0016558)	11	0	.09	-	 < 0.01	1.00E00
positive regulation of mRNA metabolic process (GO:1903313)	31	0	.26	-	 < 0.01	1.00E00
proteoglycan biosynthetic process (GO:0030166)	23	0	.19	-	 < 0.01	1.00E00
isoprenoid catabolic process (GO:0008300)	4	0	.03	-	 < 0.01	1.00E00
mRNA modification (GO:0016556)	7	0	.06	-	 < 0.01	1.00E00
regulation of mRNA metabolic process (GO:1903311)	76	0	.63	-	 < 0.01	1.00E00
chondroitin sulfate proteoglycan biosynthetic process (GO:0050650)	10	0	.08	-	 < 0.01	1.00E00
neuropeptide signaling pathway (GO:0007218)	28	0	.23	-	 < 0.01	1.00E00
regulation of proteolysis (GO:0030162)	69	0	.58	-	 < 0.01	1.00E00
glutamate receptor signaling pathway (GO:0007215)	8	0	.07	-	 < 0.01	1.00E00
dopamine receptor signaling pathway (GO:0007212)	6	0	.05	-	 < 0.01	1.00E00
response to glucose (GO:0009749)	4	0	.03	-	 < 0.01	1.00E00
protein N-linked glycosylation (GO:0006487)	30	0	.25	-	 < 0.01	1.00E00
carbohydrate derivative catabolic process (GO:1901136)	56	0	.47	-	 < 0.01	1.00E00
protein localization to nucleus (GO:0034504)	38	0	.32	-	 < 0.01	1.00E00
mitochondrial electron transport, succinate to ubiquinone (GO:0006121)	1	0	.01	-	 < 0.01	1.00E00
mitochondrial electron transport, NADH to ubiquinone (GO:0006120)	3	0	.03	-	 < 0.01	1.00E00
protein localization to kinetochore (GO:0034501)	5	0	.04	-	 < 0.01	1.00E00
regulation of circadian rhythm (GO:0042752)	8	0	.07	-	 < 0.01	1.00E00
phospholipid biosynthetic process (GO:0008654)	68	0	.57	-	 < 0.01	1.00E00
amino acid biosynthetic process (GO:0008652)	22	0	.18	-	 < 0.01	1.00E00
protein import into mitochondrial matrix (GO:0030150)	9	0	.08	-	 < 0.01	1.00E00
alanine transport (GO:0032328)	3	0	.03	-	 < 0.01	1.00E00
positive regulation of cytosolic calcium ion concentration (GO:0007204)	18	0	.15	-	 < 0.01	1.00E00
phospholipase C-activating G protein-coupled receptor signaling pathway (GO:0007200)	24	0	.20	-	 < 0.01	1.00E00
oxidative phosphorylation (GO:0006119)	6	0	.05	-	 < 0.01	1.00E00
regulation of cell cycle (GO:0051726)	132	0	1.10	-	 < 0.01	6.31E-01
energy reserve metabolic process (GO:0006112)	5	0	.04	-	 < 0.01	1.00E00
protein acetylation (GO:0006473)	5	0	.04	-	 < 0.01	1.00E00
regulation of leukocyte mediated cytotoxicity (GO:0001910)	2	0	.02	-	 < 0.01	1.00E00
sphingolipid catabolic process (GO:0030149)	10	0	.08	-	 < 0.01	1.00E00
defense response to bacterium (GO:0042742)	4	0	.03	-	 < 0.01	1.00E00
sphingolipid biosynthetic process (GO:0030148)	36	0	.30	-	 < 0.01	1.00E00
carbohydrate transport (GO:0008643)	6	0	.05	-	 < 0.01	1.00E00
regulation of mRNA splicing, via spliceosome (GO:0048024)	26	0	.22	-	 < 0.01	1.00E00
protein phosphorylation (GO:0006468)	186	0	1.55	-	 < 0.01	4.11E-01
response to hormone (GO:0009725)	70	0	.58	-	 < 0.01	1.00E00
signal peptide processing (GO:0006465)	4	0	.03	-	 < 0.01	1.00E00
sister chromatid segregation (GO:0000819)	38	0	.32	-	 < 0.01	1.00E00
apoptotic mitochondrial changes (GO:0008637)	9	0	.08	-	 < 0.01	1.00E00
proteinogenic amino acid biosynthetic process (GO:0170038)	20	0	.17	-	 < 0.01	1.00E00
negative regulation of angiogenesis (GO:0016525)	8	0	.07	-	 < 0.01	1.00E00
detection of mechanical stimulus (GO:0050982)	8	0	.07	-	 < 0.01	1.00E00
intrinsic apoptotic signaling pathway in response to DNA damage (GO:0008630)	11	0	.09	-	 < 0.01	1.00E00
L-amino acid biosynthetic process (GO:0170034)	20	0	.17	-	 < 0.01	1.00E00
negative regulation of chromosome separation (GO:1905819)	9	0	.08	-	 < 0.01	1.00E00
sex differentiation (GO:0007548)	4	0	.03	-	 < 0.01	1.00E00
regulation of chromosome separation (GO:1905818)	15	0	.13	-	 < 0.01	1.00E00
maturation of SSU-rRNA (GO:0030490)	27	0	.23	-	 < 0.01	1.00E00
response to other organism (GO:0051707)	39	0	.33	-	 < 0.01	1.00E00
'de novo' protein folding (GO:0006458)	7	0	.06	-	 < 0.01	1.00E00
vascular endothelial growth factor receptor signaling pathway (GO:0048010)	9	0	.08	-	 < 0.01	1.00E00
biological process involved in interaction with host (GO:0051701)	1	0	.01	-	 < 0.01	1.00E00
RNA decapping (GO:0110154)	8	0	.07	-	 < 0.01	1.00E00
biomineral tissue development (GO:0031214)	4	0	.03	-	 < 0.01	1.00E00
mitotic intra-S DNA damage checkpoint signaling (GO:0031573)	4	0	.03	-	 < 0.01	1.00E00
DNA integrity checkpoint signaling (GO:0031570)	21	0	.18	-	 < 0.01	1.00E00
extrinsic apoptotic signaling pathway via death domain receptors (GO:0008625)	2	0	.02	-	 < 0.01	1.00E00
insulin-like growth factor receptor signaling pathway (GO:0048009)	4	0	.03	-	 < 0.01	1.00E00
regulation of translational initiation (GO:0006446)	9	0	.08	-	 < 0.01	1.00E00
nucleotide-sugar transmembrane transport (GO:0015780)	4	0	.03	-	 < 0.01	1.00E00
post-translational protein targeting to membrane, translocation (GO:0031204)	5	0	.04	-	 < 0.01	1.00E00
tRNA wobble uridine modification (GO:0002098)	6	0	.05	-	 < 0.01	1.00E00
lipid biosynthetic process (GO:0008610)	154	0	1.29	-	 < 0.01	6.42E-01
regulation of Wnt signaling pathway (GO:0030111)	56	0	.47	-	 < 0.01	1.00E00
neuromuscular junction development (GO:0007528)	9	0	.08	-	 < 0.01	1.00E00
attachment of spindle microtubules to kinetochore (GO:0008608)	7	0	.06	-	 < 0.01	1.00E00
sulfur compound metabolic process (GO:0006790)	67	0	.56	-	 < 0.01	1.00E00
lens development in camera-type eye (GO:0002088)	16	0	.13	-	 < 0.01	1.00E00
organelle transport along microtubule (GO:0072384)	25	0	.21	-	 < 0.01	1.00E00
sensory perception of mechanical stimulus (GO:0050954)	9	0	.08	-	 < 0.01	1.00E00
skeletal muscle tissue development (GO:0007519)	13	0	.11	-	 < 0.01	1.00E00
regulation of endocytosis (GO:0030100)	18	0	.15	-	 < 0.01	1.00E00
muscle organ development (GO:0007517)	19	0	.16	-	 < 0.01	1.00E00
positive regulation of innate immune response (GO:0045089)	18	0	.15	-	 < 0.01	1.00E00
positive regulation of cysteine-type endopeptidase activity (GO:2001056)	15	0	.13	-	 < 0.01	1.00E00
innate immune response (GO:0045087)	25	0	.21	-	 < 0.01	1.00E00
negative regulation of proteasomal protein catabolic process (GO:1901799)	5	0	.04	-	 < 0.01	1.00E00
heme biosynthetic process (GO:0006783)	4	0	.03	-	 < 0.01	1.00E00
protein activation cascade (GO:0072376)	5	0	.04	-	 < 0.01	1.00E00
alcohol biosynthetic process (GO:0046165)	27	0	.23	-	 < 0.01	1.00E00
heart development (GO:0007507)	47	0	.39	-	 < 0.01	1.00E00
cellular anatomical entity morphogenesis (GO:0032989)	158	0	1.32	-	 < 0.01	6.45E-01
mitochondrial respiratory chain complex I assembly (GO:0032981)	5	0	.04	-	 < 0.01	1.00E00
mesoderm morphogenesis (GO:0048332)	7	0	.06	-	 < 0.01	1.00E00
porphyrin-containing compound metabolic process (GO:0006778)	9	0	.08	-	 < 0.01	1.00E00
translational elongation (GO:0006414)	17	0	.14	-	 < 0.01	1.00E00
chromosome organization involved in meiotic cell cycle (GO:0070192)	9	0	.08	-	 < 0.01	1.00E00
regulation of complement activation (GO:0030449)	1	0	.01	-	 < 0.01	1.00E00
organophosphate ester transport (GO:0015748)	45	0	.38	-	 < 0.01	1.00E00
citrate transport (GO:0015746)	3	0	.03	-	 < 0.01	1.00E00
succinate transport (GO:0015744)	3	0	.03	-	 < 0.01	1.00E00
regulation of actin filament-based process (GO:0032970)	73	0	.61	-	 < 0.01	1.00E00
mRNA export from nucleus (GO:0006406)	25	0	.21	-	 < 0.01	1.00E00
C4-dicarboxylate transport (GO:0015740)	12	0	.10	-	 < 0.01	1.00E00
RNA export from nucleus (GO:0006405)	31	0	.26	-	 < 0.01	1.00E00
RNA localization (GO:0006403)	39	0	.33	-	 < 0.01	1.00E00
mRNA catabolic process (GO:0006402)	41	0	.34	-	 < 0.01	1.00E00
RNA catabolic process (GO:0006401)	45	0	.38	-	 < 0.01	1.00E00
circulatory system development (GO:0072359)	86	0	.72	-	 < 0.01	1.00E00
folic acid-containing compound metabolic process (GO:0006760)	8	0	.07	-	 < 0.01	1.00E00
pigment biosynthetic process (GO:0046148)	9	0	.08	-	 < 0.01	1.00E00
positive regulation of chemotaxis (GO:0050921)	7	0	.06	-	 < 0.01	1.00E00
regulation of chemotaxis (GO:0050920)	7	0	.06	-	 < 0.01	1.00E00
positive regulation of transcription elongation by RNA polymerase II (GO:0032968)	5	0	.04	-	 < 0.01	1.00E00
mitotic spindle assembly (GO:0090307)	12	0	.10	-	 < 0.01	1.00E00
regulated exocytosis (GO:0045055)	24	0	.20	-	 < 0.01	1.00E00
axon extension (GO:0048675)	2	0	.02	-	 < 0.01	1.00E00
microtubule cytoskeleton organization involved in mitosis (GO:1902850)	36	0	.30	-	 < 0.01	1.00E00
nucleoside phosphate metabolic process (GO:0006753)	106	0	.89	-	 < 0.01	1.00E00
regulation of membrane lipid distribution (GO:0097035)	24	0	.20	-	 < 0.01	1.00E00
positive chemotaxis (GO:0050918)	2	0	.02	-	 < 0.01	1.00E00
regulation of transmembrane transporter activity (GO:0022898)	38	0	.32	-	 < 0.01	1.00E00
sensory perception of bitter taste (GO:0050913)	1	0	.01	-	 < 0.01	1.00E00
detection of chemical stimulus involved in sensory perception of taste (GO:0050912)	1	0	.01	-	 < 0.01	1.00E00
chemical synaptic transmission, postsynaptic (GO:0099565)	4	0	.03	-	 < 0.01	1.00E00
nicotinamide nucleotide metabolic process (GO:0046496)	28	0	.23	-	 < 0.01	1.00E00
sprouting angiogenesis (GO:0002040)	8	0	.07	-	 < 0.01	1.00E00
synaptic membrane adhesion (GO:0099560)	5	0	.04	-	 < 0.01	1.00E00
regulation of actin cytoskeleton organization (GO:0032956)	72	0	.60	-	 < 0.01	1.00E00
protein insertion into ER membrane (GO:0045048)	3	0	.03	-	 < 0.01	1.00E00
protein targeting to ER (GO:0045047)	12	0	.10	-	 < 0.01	1.00E00
cell morphogenesis involved in neuron differentiation (GO:0048667)	115	0	.96	-	 < 0.01	1.00E00
neuron development (GO:0048666)	189	0	1.58	-	 < 0.01	4.12E-01
glutathione metabolic process (GO:0006749)	13	0	.11	-	 < 0.01	1.00E00
heterochromatin formation (GO:0031507)	17	0	.14	-	 < 0.01	1.00E00
protein-containing complex localization (GO:0031503)	49	0	.41	-	 < 0.01	1.00E00
sensory perception of taste (GO:0050909)	1	0	.01	-	 < 0.01	1.00E00
detection of chemical stimulus involved in sensory perception (GO:0050907)	2	0	.02	-	 < 0.01	1.00E00
detection of stimulus involved in sensory perception (GO:0050906)	6	0	.05	-	 < 0.01	1.00E00
intrinsic apoptotic signaling pathway by p53 class mediator (GO:0072332)	4	0	.03	-	 < 0.01	1.00E00
signal transduction by p53 class mediator (GO:0072331)	5	0	.04	-	 < 0.01	1.00E00
monocarboxylic acid biosynthetic process (GO:0072330)	25	0	.21	-	 < 0.01	1.00E00
phosphatidylinositol metabolic process (GO:0046488)	82	0	.68	-	 < 0.01	1.00E00
leukocyte migration (GO:0050900)	8	0	.07	-	 < 0.01	1.00E00
glycerolipid metabolic process (GO:0046486)	124	0	1.04	-	 < 0.01	6.29E-01
protein insertion into mitochondrial inner membrane (GO:0045039)	2	0	.02	-	 < 0.01	1.00E00
regulation of mononuclear cell proliferation (GO:0032944)	5	0	.04	-	 < 0.01	1.00E00
mononuclear cell proliferation (GO:0032943)	1	0	.01	-	 < 0.01	1.00E00
NADP metabolic process (GO:0006739)	4	0	.03	-	 < 0.01	1.00E00
secretion by cell (GO:0032940)	83	0	.69	-	 < 0.01	1.00E00
monocarboxylic acid catabolic process (GO:0072329)	31	0	.26	-	 < 0.01	1.00E00
regulation of sodium ion transport (GO:0002028)	19	0	.16	-	 < 0.01	1.00E00
glycerophospholipid catabolic process (GO:0046475)	8	0	.07	-	 < 0.01	1.00E00
glycerophospholipid biosynthetic process (GO:0046474)	62	0	.52	-	 < 0.01	1.00E00
phosphatidylcholine metabolic process (GO:0046470)	7	0	.06	-	 < 0.01	1.00E00
SREBP signaling pathway (GO:0032933)	6	0	.05	-	 < 0.01	1.00E00
anatomical structure formation involved in morphogenesis (GO:0048646)	80	0	.67	-	 < 0.01	1.00E00
early endosome to late endosome transport (GO:0045022)	4	0	.03	-	 < 0.01	1.00E00
terpenoid metabolic process (GO:0006721)	7	0	.06	-	 < 0.01	1.00E00
isoprenoid metabolic process (GO:0006720)	14	0	.12	-	 < 0.01	1.00E00
lymphocyte migration (GO:0072676)	2	0	.02	-	 < 0.01	1.00E00
trans-synaptic signaling (GO:0099537)	120	0	1.00	-	 < 0.01	6.29E-01
immune system process (GO:0002376)	105	0	.88	-	 < 0.01	1.00E00
monosaccharide metabolic process (GO:0005996)	24	0	.20	-	 < 0.01	1.00E00
regulation of postsynaptic membrane potential (GO:0060078)	11	0	.09	-	 < 0.01	1.00E00
synaptic signaling (GO:0099536)	129	0	1.08	-	 < 0.01	6.30E-01
membrane lipid biosynthetic process (GO:0046467)	52	0	.43	-	 < 0.01	1.00E00
acylglycerol catabolic process (GO:0046464)	9	0	.08	-	 < 0.01	1.00E00
cellular response to lipopolysaccharide (GO:0071222)	8	0	.07	-	 < 0.01	1.00E00
neutral lipid catabolic process (GO:0046461)	9	0	.08	-	 < 0.01	1.00E00
activin receptor signaling pathway (GO:0032924)	3	0	.03	-	 < 0.01	1.00E00
glycerolipid biosynthetic process (GO:0045017)	71	0	.59	-	 < 0.01	1.00E00
circadian regulation of gene expression (GO:0032922)	18	0	.15	-	 < 0.01	1.00E00
positive regulation of NF-kappaB transcription factor activity (GO:0051092)	11	0	.09	-	 < 0.01	1.00E00
positive regulation of DNA-binding transcription factor activity (GO:0051091)	16	0	.13	-	 < 0.01	1.00E00
regulation of DNA-binding transcription factor activity (GO:0051090)	23	0	.19	-	 < 0.01	1.00E00
mRNA destabilization (GO:0061157)	24	0	.20	-	 < 0.01	1.00E00
morphogenesis of an epithelium (GO:0002009)	11	0	.09	-	 < 0.01	1.00E00
establishment of protein localization to vacuole (GO:0072666)	21	0	.18	-	 < 0.01	1.00E00
autophagosome maturation (GO:0097352)	5	0	.04	-	 < 0.01	1.00E00
protein localization to vacuole (GO:0072665)	23	0	.19	-	 < 0.01	1.00E00
small molecule catabolic process (GO:0044282)	79	0	.66	-	 < 0.01	1.00E00
leukocyte activation involved in immune response (GO:0002366)	2	0	.02	-	 < 0.01	1.00E00
TORC2 signaling (GO:0038203)	4	0	.03	-	 < 0.01	1.00E00
cellular response to molecule of bacterial origin (GO:0071219)	8	0	.07	-	 < 0.01	1.00E00
TORC1 signaling (GO:0038202)	1	0	.01	-	 < 0.01	1.00E00
endomembrane system organization (GO:0010256)	96	0	.80	-	 < 0.01	1.00E00
icosanoid biosynthetic process (GO:0046456)	5	0	.04	-	 < 0.01	1.00E00
cellular response to biotic stimulus (GO:0071216)	8	0	.07	-	 < 0.01	1.00E00
positive regulation of cell cycle G1/S phase transition (GO:1902808)	8	0	.07	-	 < 0.01	1.00E00
leucine biosynthetic process (GO:0009098)	1	0	.01	-	 < 0.01	1.00E00
regulation of cell cycle G1/S phase transition (GO:1902806)	18	0	.15	-	 < 0.01	1.00E00
chaperone cofactor-dependent protein refolding (GO:0051085)	5	0	.04	-	 < 0.01	1.00E00
response to oxygen levels (GO:0070482)	16	0	.13	-	 < 0.01	1.00E00
protein localization to plasma membrane (GO:0072659)	41	0	.34	-	 < 0.01	1.00E00
nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)	10	0	.08	-	 < 0.01	1.00E00
protein localization to membrane (GO:0072657)	97	0	.81	-	 < 0.01	1.00E00
establishment of protein localization to mitochondrion (GO:0072655)	18	0	.15	-	 < 0.01	1.00E00
sulfur compound catabolic process (GO:0044273)	7	0	.06	-	 < 0.01	1.00E00
glycogen biosynthetic process (GO:0005978)	1	0	.01	-	 < 0.01	1.00E00
vesicle cytoskeletal trafficking (GO:0099518)	16	0	.13	-	 < 0.01	1.00E00
glycogen metabolic process (GO:0005977)	5	0	.04	-	 < 0.01	1.00E00
polysaccharide metabolic process (GO:0005976)	12	0	.10	-	 < 0.01	1.00E00
cellular nitrogen compound catabolic process (GO:0044270)	101	0	.84	-	 < 0.01	1.00E00
carbohydrate metabolic process (GO:0005975)	70	0	.58	-	 < 0.01	1.00E00
tube development (GO:0035295)	37	0	.31	-	 < 0.01	1.00E00
lysine biosynthetic process (GO:0009085)	1	0	.01	-	 < 0.01	1.00E00
branched-chain amino acid biosynthetic process (GO:0009082)	2	0	.02	-	 < 0.01	1.00E00
branched-chain amino acid metabolic process (GO:0009081)	9	0	.08	-	 < 0.01	1.00E00
rRNA base methylation (GO:0070475)	5	0	.04	-	 < 0.01	1.00E00
ncRNA transcription (GO:0098781)	12	0	.10	-	 < 0.01	1.00E00
regulation of proteasomal protein catabolic process (GO:0061136)	27	0	.23	-	 < 0.01	1.00E00
receptor signaling pathway via STAT (GO:0097696)	6	0	.05	-	 < 0.01	1.00E00
cardiac muscle contraction (GO:0060048)	14	0	.12	-	 < 0.01	1.00E00
heart contraction (GO:0060047)	18	0	.15	-	 < 0.01	1.00E00
synaptic vesicle cycle (GO:0099504)	43	0	.36	-	 < 0.01	1.00E00
organophosphate catabolic process (GO:0046434)	42	0	.35	-	 < 0.01	1.00E00
vesicle fusion to plasma membrane (GO:0099500)	6	0	.05	-	 < 0.01	1.00E00
multicellular organismal reproductive process (GO:0048609)	27	0	.23	-	 < 0.01	1.00E00
cellular response to amino acid starvation (GO:0034198)	8	0	.07	-	 < 0.01	1.00E00
peptide catabolic process (GO:0043171)	7	0	.06	-	 < 0.01	1.00E00
reproductive structure development (GO:0048608)	2	0	.02	-	 < 0.01	1.00E00
aromatic amino acid family catabolic process (GO:0009074)	9	0	.08	-	 < 0.01	1.00E00
aromatic amino acid metabolic process (GO:0009072)	12	0	.10	-	 < 0.01	1.00E00
MAPK cascade (GO:0000165)	18	0	.15	-	 < 0.01	1.00E00
cellular lipid metabolic process (GO:0044255)	270	0	2.25	-	 < 0.01	1.76E-01
regulation of immune effector process (GO:0002697)	5	0	.04	-	 < 0.01	1.00E00
positive regulation of leukocyte activation (GO:0002696)	5	0	.04	-	 < 0.01	1.00E00
positive regulation of receptor signaling pathway via JAK-STAT (GO:0046427)	2	0	.02	-	 < 0.01	1.00E00
negative regulation of leukocyte activation (GO:0002695)	6	0	.05	-	 < 0.01	1.00E00
regulation of leukocyte activation (GO:0002694)	11	0	.09	-	 < 0.01	1.00E00
regulation of receptor signaling pathway via JAK-STAT (GO:0046425)	6	0	.05	-	 < 0.01	1.00E00
microtubule polymerization (GO:0046785)	18	0	.15	-	 < 0.01	1.00E00
negative regulation of small GTPase mediated signal transduction (GO:0051058)	9	0	.08	-	 < 0.01	1.00E00
positive regulation of leukocyte chemotaxis (GO:0002690)	7	0	.06	-	 < 0.01	1.00E00
aspartate family amino acid biosynthetic process (GO:0009067)	8	0	.07	-	 < 0.01	1.00E00
ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway (GO:0043162)	9	0	.08	-	 < 0.01	1.00E00
regulation of small GTPase mediated signal transduction (GO:0051056)	40	0	.33	-	 < 0.01	1.00E00
negative regulation of DNA metabolic process (GO:0051053)	12	0	.10	-	 < 0.01	1.00E00
amino acid catabolic process (GO:0009063)	31	0	.26	-	 < 0.01	1.00E00
regulation of DNA metabolic process (GO:0051052)	32	0	.27	-	 < 0.01	1.00E00
fatty acid catabolic process (GO:0009062)	28	0	.23	-	 < 0.01	1.00E00
negative regulation of transport (GO:0051051)	28	0	.23	-	 < 0.01	1.00E00
positive regulation of transport (GO:0051050)	33	0	.28	-	 < 0.01	1.00E00
aerobic respiration (GO:0009060)	22	0	.18	-	 < 0.01	1.00E00
cellular respiration (GO:0045333)	27	0	.23	-	 < 0.01	1.00E00
phospholipid translocation (GO:0045332)	20	0	.17	-	 < 0.01	1.00E00
intraciliary transport (GO:0042073)	17	0	.14	-	 < 0.01	1.00E00
cellular catabolic process (GO:0044248)	272	0	2.27	-	 < 0.01	1.76E-01
rRNA modification (GO:0000154)	17	0	.14	-	 < 0.01	1.00E00
protein O-linked mannosylation (GO:0035269)	5	0	.04	-	 < 0.01	1.00E00
cellular lipid catabolic process (GO:0044242)	58	0	.48	-	 < 0.01	1.00E00
protein mannosylation (GO:0035268)	8	0	.07	-	 < 0.01	1.00E00
positive regulation of leukocyte migration (GO:0002687)	10	0	.08	-	 < 0.01	1.00E00
cytoskeleton-dependent intracellular transport (GO:0030705)	56	0	.47	-	 < 0.01	1.00E00
regulation of leukocyte migration (GO:0002685)	13	0	.11	-	 < 0.01	1.00E00
positive regulation of immune system process (GO:0002684)	65	0	.54	-	 < 0.01	1.00E00
regulation of transport (GO:0051049)	150	0	1.25	-	 < 0.01	6.39E-01
DNA biosynthetic process (GO:0071897)	17	0	.14	-	 < 0.01	1.00E00
positive regulation of secretion (GO:0051047)	6	0	.05	-	 < 0.01	1.00E00
regulation of secretion (GO:0051046)	41	0	.34	-	 < 0.01	1.00E00
regulation of monoatomic cation transmembrane transport (GO:1904062)	43	0	.36	-	 < 0.01	1.00E00
detoxification (GO:0098754)	6	0	.05	-	 < 0.01	1.00E00
late endosome to vacuole transport (GO:0045324)	22	0	.18	-	 < 0.01	1.00E00
gliogenesis (GO:0042063)	12	0	.10	-	 < 0.01	1.00E00
leukocyte activation (GO:0045321)	16	0	.13	-	 < 0.01	1.00E00
protein localization to lysosome (GO:0061462)	6	0	.05	-	 < 0.01	1.00E00
stress fiber assembly (GO:0043149)	5	0	.04	-	 < 0.01	1.00E00
regulation of double-strand break repair via homologous recombination (GO:0010569)	6	0	.05	-	 < 0.01	1.00E00
regulation of cell cycle process (GO:0010564)	96	0	.80	-	 < 0.01	1.00E00
neuron projection extension (GO:1990138)	5	0	.04	-	 < 0.01	1.00E00
regulation of epidermal growth factor receptor signaling pathway (GO:0042058)	10	0	.08	-	 < 0.01	1.00E00
cell-cell adhesion via plasma-membrane adhesion molecules (GO:0098742)	62	0	.52	-	 < 0.01	1.00E00
detection of chemical stimulus involved in sensory perception of bitter taste (GO:0001580)	1	0	.01	-	 < 0.01	1.00E00
reproductive system development (GO:0061458)	2	0	.02	-	 < 0.01	1.00E00
establishment of mitotic spindle orientation (GO:0000132)	9	0	.08	-	 < 0.01	1.00E00
synaptic transmission, glutamatergic (GO:0035249)	16	0	.13	-	 < 0.01	1.00E00
negative regulation of macromolecule biosynthetic process (GO:0010558)	241	0	2.01	-	 < 0.01	2.72E-01
mRNA transport (GO:0051028)	27	0	.23	-	 < 0.01	1.00E00
import across plasma membrane (GO:0098739)	64	0	.53	-	 < 0.01	1.00E00
phosphatidylinositol 3-kinase/protein kinase B signal transduction (GO:0043491)	8	0	.07	-	 < 0.01	1.00E00
phospholipid catabolic process (GO:0009395)	12	0	.10	-	 < 0.01	1.00E00
kinetochore organization (GO:0051383)	8	0	.07	-	 < 0.01	1.00E00
kinetochore assembly (GO:0051382)	6	0	.05	-	 < 0.01	1.00E00
fluid transport (GO:0042044)	4	0	.03	-	 < 0.01	1.00E00
regulation of neuron differentiation (GO:0045664)	9	0	.08	-	 < 0.01	1.00E00
vasculogenesis (GO:0001570)	3	0	.03	-	 < 0.01	1.00E00
exocytic process (GO:0140029)	11	0	.09	-	 < 0.01	1.00E00
negative regulation of transcription by RNA polymerase II (GO:0000122)	100	0	.84	-	 < 0.01	1.00E00
tube morphogenesis (GO:0035239)	35	0	.29	-	 < 0.01	1.00E00
RNA stabilization (GO:0043489)	11	0	.09	-	 < 0.01	1.00E00
regulation of mRNA stability (GO:0043488)	45	0	.38	-	 < 0.01	1.00E00
regulation of RNA stability (GO:0043487)	45	0	.38	-	 < 0.01	1.00E00
establishment of protein localization to extracellular region (GO:0035592)	15	0	.13	-	 < 0.01	1.00E00
